Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Afghanistan,Southern Asia,Asia,2000-01-01,2000-01-16
Epidemic,Afghanistan,Southern Asia,Asia,2000-05-04,2000-07-11
Epidemic,Afghanistan,Southern Asia,Asia,2000-08-07,2000-09-13
Epidemic,Afghanistan,Southern Asia,Asia,2000-09-12,2000-09-18
Drought,Afghanistan,Southern Asia,Asia,2000-05-07,2002-08-31
Extreme_temperature,Afghanistan,Southern Asia,Asia,2001-01-31,2001-02-20
Earthquake,Afghanistan,Southern Asia,Asia,2001-02-25,2001-02-25
Earthquake,Afghanistan,Southern Asia,Asia,2001-06-01,2001-06-01
Epidemic,Afghanistan,Southern Asia,Asia,2001-06-01,2001-07-25
Extreme_temperature,Afghanistan,Southern Asia,Asia,2001-11-12,2001-11-19
Epidemic,Afghanistan,Southern Asia,Asia,2001-12-01,2001-12-01
Mass_movement_wet,Afghanistan,Southern Asia,Asia,2002-02-06,2002-02-06
Earthquake,Afghanistan,Southern Asia,Asia,2002-03-03,2002-03-03
Epidemic,Afghanistan,Southern Asia,Asia,2002-03-02,2002-03-15
Earthquake,Afghanistan,Southern Asia,Asia,2002-03-25,2002-03-25
Flood,Afghanistan,Southern Asia,Asia,2002-03-22,2002-03-22
Epidemic,Afghanistan,Southern Asia,Asia,2002-03-28,2002-03-28
Flood,Afghanistan,Southern Asia,Asia,2002-04-04,2002-07-04
Epidemic,Afghanistan,Southern Asia,Asia,2002-04-10,2002-04-10
Earthquake,Afghanistan,Southern Asia,Asia,2002-04-12,2002-04-12
Flood,Afghanistan,Southern Asia,Asia,2002-04-23,2002-04-26
Epidemic,Afghanistan,Southern Asia,Asia,2002-01-03,2002-05-28
Epidemic,Afghanistan,Southern Asia,Asia,2002-07-04,2002-07-14
Epidemic,Afghanistan,Southern Asia,Asia,2002-07-01,2002-07-17
Flood,Afghanistan,Southern Asia,Asia,2002-08-28,2002-08-28
Epidemic,Afghanistan,Southern Asia,Asia,2002-10-24,2002-10-24
Epidemic,Afghanistan,Southern Asia,Asia,2002-09-01,2003-01-22
Flood,Afghanistan,Southern Asia,Asia,2003-01-08,2003-01-15
