Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Algeria,Northern Africa,Africa,2000-10-22,2000-10-25
Storm,Algeria,Northern Africa,Africa,2000-12-29,2000-12-29
Flood,Algeria,Northern Africa,Africa,2001-11-10,2001-11-14
Flood,Algeria,Northern Africa,Africa,2002-08-17,2002-08-28
Flood,Algeria,Northern Africa,Africa,2002-10-09,2002-10-12
Storm,Algeria,Northern Africa,Africa,2003-01-31,2003-01-31
Flood,Algeria,Northern Africa,Africa,2003-04-02,2003-04-05
Earthquake,Algeria,Northern Africa,Africa,2003-05-21,2003-05-21
Earthquake,Algeria,Northern Africa,Africa,2003-05-27,2003-05-27
Flood,Algeria,Northern Africa,Africa,2003-08-09,2003-08-11
Flood,Algeria,Northern Africa,Africa,2003-10-15,2003-10-18
Extreme_temperature,Algeria,Northern Africa,Africa,2003-06-21,2003-07-21
Earthquake,Algeria,Northern Africa,Africa,2004-01-10,2004-01-10
Flood,Algeria,Northern Africa,Africa,2004-04-14,2004-04-16
Flood,Algeria,Northern Africa,Africa,2004-11-13,2004-11-14
Earthquake,Algeria,Northern Africa,Africa,2004-12-01,2004-12-01
Storm,Algeria,Northern Africa,Africa,2005-02-18,2005-02-24
Flood,Algeria,Northern Africa,Africa,2005-03-06,2005-03-09
Flood,Algeria,Northern Africa,Africa,2005-06-18,2005-06-20
Flood,Algeria,Northern Africa,Africa,2006-02-10,2006-02-15
Earthquake,Algeria,Northern Africa,Africa,2006-03-20,2006-03-20
Flood,Algeria,Northern Africa,Africa,2007-03-21,2007-03-23
Flood,Algeria,Northern Africa,Africa,2007-04-13,2007-04-15
Flood,Algeria,Northern Africa,Africa,2007-08-03,2007-08-03
Flood,Algeria,Northern Africa,Africa,2007-08-12,2007-08-12
Flood,Algeria,Northern Africa,Africa,2007-09-21,2007-09-24
Flood,Algeria,Northern Africa,Africa,2007-11-24,2007-12-02
Wildfire,Algeria,Northern Africa,Africa,2007-09-23,2007-09-13
Flood,Algeria,Northern Africa,Africa,2008-10-01,2008-10-17
Flood,Algeria,Northern Africa,Africa,2009-01-20,2009-01-27
Flood,Algeria,Northern Africa,Africa,2009-09-10,2009-09-13
Flood,Algeria,Northern Africa,Africa,2011-10-01,2011-10-02
Flood,Algeria,Northern Africa,Africa,2012-02-03,2012-02-14
Flood,Algeria,Northern Africa,Africa,2012-08-31,2012-09-02
Earthquake,Algeria,Northern Africa,Africa,2014-08-01,2014-08-01
Flood,Algeria,Northern Africa,Africa,2015-09-16,2015-09-17
Flood,Algeria,Northern Africa,Africa,2015-10-16,2015-10-28
Extreme_temperature,Algeria,Northern Africa,Africa,2017-01-16,2017-01-20
Flood,Algeria,Northern Africa,Africa,2018-04-24,2018-04-28
Extreme_temperature,Algeria,Northern Africa,Africa,2019-01-11,2019-03-22
Earthquake,Algeria,Northern Africa,Africa,2020-08-07,2020-08-07
Flood,Algeria,Northern Africa,Africa,2021-03-06,2021-03-07
Wildfire,Algeria,Northern Africa,Africa,2021-08-09,2021-08-16
Flood,Algeria,Northern Africa,Africa,2021-10-23,2021-10-26
Wildfire,Algeria,Northern Africa,Africa,2022-08-14,2022-08-21
Wildfire,Algeria,Northern Africa,Africa,2023-07-23,2023-07-24
Flood,Algeria,Northern Africa,Africa,2023-09-02,2023-09-03
Flood,Algeria,Northern Africa,Africa,2024-02-29,2024-02-29
Flood,Algeria,Northern Africa,Africa,2024-09-06,2024-09-09
