Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Angola,Sub-Saharan Africa,Africa,2000-01-08,2000-01-15
Flood,Angola,Sub-Saharan Africa,Africa,2000-03-27,2000-03-27
Flood,Angola,Sub-Saharan Africa,Africa,2000-04-10,2000-04-10
Flood,Angola,Sub-Saharan Africa,Africa,2000-05-03,2000-05-03
Epidemic,Angola,Sub-Saharan Africa,Africa,2000-08-11,2000-08-15
Mass_movement_wet,Angola,Sub-Saharan Africa,Africa,2000-10-09,2000-10-09
Flood,Angola,Sub-Saharan Africa,Africa,2001-04-02,2001-04-09
Epidemic,Angola,Sub-Saharan Africa,Africa,2001-05-10,2001-10-02
Epidemic,Angola,Sub-Saharan Africa,Africa,2001-05-10,2001-05-15
Drought,Angola,Sub-Saharan Africa,Africa,2001-01-01,2001-07-31
Flood,Angola,Sub-Saharan Africa,Africa,2003-02-06,2003-02-20
Flood,Angola,Sub-Saharan Africa,Africa,2003-11-22,2003-11-23
Flood,Angola,Sub-Saharan Africa,Africa,2004-01-27,2004-03-01
Flood,Angola,Sub-Saharan Africa,Africa,2004-02-01,2004-06-02
Flood,Angola,Sub-Saharan Africa,Africa,2004-12-18,2004-12-19
Epidemic,Angola,Sub-Saharan Africa,Africa,2004-10-13,2005-09-06
Drought,Angola,Sub-Saharan Africa,Africa,2004-09-01,2005-07-31
Flood,Angola,Sub-Saharan Africa,Africa,2005-01-27,2005-03-28
Flood,Angola,Sub-Saharan Africa,Africa,2006-01-12,2006-01-17
Epidemic,Angola,Sub-Saharan Africa,Africa,2006-02-13,2007-02-08
Epidemic,Angola,Sub-Saharan Africa,Africa,2006-10-24,2006-11-14
Flood,Angola,Sub-Saharan Africa,Africa,2007-01-10,2007-05-10
Flood,Angola,Sub-Saharan Africa,Africa,2007-01-17,2007-01-25
Epidemic,Angola,Sub-Saharan Africa,Africa,2007-01-01,2007-12-31
Epidemic,Angola,Sub-Saharan Africa,Africa,2007-10-02,2007-11-29
Flood,Angola,Sub-Saharan Africa,Africa,2008-01-31,2008-03-03
Epidemic,Angola,Sub-Saharan Africa,Africa,2008-01-01,2009-05-17
Flood,Angola,Sub-Saharan Africa,Africa,2009-02-14,2009-02-16
Flood,Angola,Sub-Saharan Africa,Africa,2009-03-01,2009-04-16
Epidemic,Angola,Sub-Saharan Africa,Africa,2009-03-11,2009-03-15
Flood,Angola,Sub-Saharan Africa,Africa,2009-12-10,2009-12-10
Epidemic,Angola,Sub-Saharan Africa,Africa,2009-01-12,2009-12-15
Flood,Angola,Sub-Saharan Africa,Africa,2010-03-01,2010-03-17
Flood,Angola,Sub-Saharan Africa,Africa,2010-03-21,2010-03-22
Flood,Angola,Sub-Saharan Africa,Africa,2010-10-15,2010-10-18
Flood,Angola,Sub-Saharan Africa,Africa,2011-01-03,2011-01-04
Flood,Angola,Sub-Saharan Africa,Africa,2011-03-13,2011-03-17
Flood,Angola,Sub-Saharan Africa,Africa,2011-12-15,2012-01-09
Flood,Angola,Sub-Saharan Africa,Africa,2011-12-15,2011-12-23
Drought,Angola,Sub-Saharan Africa,Africa,2012-03-01,2013-05-30
Flood,Angola,Sub-Saharan Africa,Africa,2013-04-06,2013-04-07
Flood,Angola,Sub-Saharan Africa,Africa,2015-02-13,2015-02-14
Flood,Angola,Sub-Saharan Africa,Africa,2015-03-09,2015-03-23
Flood,Angola,Sub-Saharan Africa,Africa,2015-03-09,2015-03-23
Epidemic,Angola,Sub-Saharan Africa,Africa,2015-12-05,2016-10-20
Flood,Angola,Sub-Saharan Africa,Africa,2016-02-29,2016-03-01
Flood,Angola,Sub-Saharan Africa,Africa,2016-03-03,2016-03-06
Flood,Angola,Sub-Saharan Africa,Africa,2016-04-16,2016-04-22
Flood,Angola,Sub-Saharan Africa,Africa,2016-03-01,2016-03-10
Flood,Angola,Sub-Saharan Africa,Africa,2017-03-21,2017-04-08
Drought,Angola,Sub-Saharan Africa,Africa,2017-05-01,2017-06-23
Flood,Angola,Sub-Saharan Africa,Africa,2018-02-22,2018-03-03
Epidemic,Angola,Sub-Saharan Africa,Africa,2018-10-09,2018-11-12
Flood,Angola,Sub-Saharan Africa,Africa,2019-02-20,2019-02-28
Flood,Angola,Sub-Saharan Africa,Africa,2019-03-16,2019-03-22
Flood,Angola,Sub-Saharan Africa,Africa,2019-03-09,2020-01-10
Flood,Angola,Sub-Saharan Africa,Africa,2020-03-16,2020-03-17
Flood,Angola,Sub-Saharan Africa,Africa,2020-04-18,2020-04-24
Drought,Angola,Sub-Saharan Africa,Africa,2020-12-01,2022-02-28
Flood,Angola,Sub-Saharan Africa,Africa,2021-03-15,2021-03-16
Flood,Angola,Sub-Saharan Africa,Africa,2021-04-19,2021-04-19
Flood,Angola,Sub-Saharan Africa,Africa,2023-04-13,2023-04-30
Flood,Angola,Sub-Saharan Africa,Africa,2023-11-30,2023-12-05
Drought,Angola,Sub-Saharan Africa,Africa,2024-06-07,2024-08-31
