Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Argentina,Latin America and the Caribbean,Americas,2000-03-09,2000-03-17
Flood,Argentina,Latin America and the Caribbean,Americas,2000-05-15,2000-05-15
Extreme_temperature,Argentina,Latin America and the Caribbean,Americas,2000-06-17,2000-06-17
Storm,Argentina,Latin America and the Caribbean,Americas,2000-09-18,2000-09-17
Flood,Argentina,Latin America and the Caribbean,Americas,2000-11-09,2000-11-16
Flood,Argentina,Latin America and the Caribbean,Americas,2000-11-22,2000-11-22
Storm,Argentina,Latin America and the Caribbean,Americas,2000-12-27,2000-12-27
Wildfire,Argentina,Latin America and the Caribbean,Americas,2000-12-12,2000-12-19
Storm,Argentina,Latin America and the Caribbean,Americas,2001-01-10,2001-01-10
Flood,Argentina,Latin America and the Caribbean,Americas,2001-03-21,2001-03-21
Storm,Argentina,Latin America and the Caribbean,Americas,2001-04-05,2001-04-05
Extreme_temperature,Argentina,Latin America and the Caribbean,Americas,2001-07-08,2001-07-23
Flood,Argentina,Latin America and the Caribbean,Americas,2001-07-15,2001-07-18
Wildfire,Argentina,Latin America and the Caribbean,Americas,2001-08-12,2001-08-12
Flood,Argentina,Latin America and the Caribbean,Americas,2001-10-01,2001-12-01
Earthquake,Argentina,Latin America and the Caribbean,Americas,2002-05-28,2002-05-28
Extreme_temperature,Argentina,Latin America and the Caribbean,Americas,2002-07-08,2002-07-23
Storm,Argentina,Latin America and the Caribbean,Americas,2002-10-22,2002-10-22
Flood,Argentina,Latin America and the Caribbean,Americas,2002-10-12,2002-11-02
Flood,Argentina,Latin America and the Caribbean,Americas,2003-02-10,2003-02-10
Flood,Argentina,Latin America and the Caribbean,Americas,2003-04-28,2003-05-10
Storm,Argentina,Latin America and the Caribbean,Americas,2003-11-11,2003-11-13
Drought,Argentina,Latin America and the Caribbean,Americas,2003-06-01,2003-09-30
Flood,Argentina,Latin America and the Caribbean,Americas,2004-07-01,2004-07-01
Extreme_temperature,Argentina,Latin America and the Caribbean,Americas,2004-07-08,2004-07-23
Flood,Argentina,Latin America and the Caribbean,Americas,2004-12-06,2004-12-10
Storm,Argentina,Latin America and the Caribbean,Americas,2005-01-30,2005-01-30
Flood,Argentina,Latin America and the Caribbean,Americas,2006-03-15,2006-04-17
Flood,Argentina,Latin America and the Caribbean,Americas,2007-01-18,2007-03-20
Flood,Argentina,Latin America and the Caribbean,Americas,2007-03-20,2007-04-26
Extreme_temperature,Argentina,Latin America and the Caribbean,Americas,2007-05-08,2007-07-18
Flood,Argentina,Latin America and the Caribbean,Americas,2008-01-28,2008-03-30
Volcanic_activity,Argentina,Latin America and the Caribbean,Americas,2008-05-07,2008-05-07
Mass_movement_wet,Argentina,Latin America and the Caribbean,Americas,2009-02-09,2009-02-10
Epidemic,Argentina,Latin America and the Caribbean,Americas,2009-03-13,2009-04-14
Storm,Argentina,Latin America and the Caribbean,Americas,2009-09-09,2009-09-09
Flood,Argentina,Latin America and the Caribbean,Americas,2009-11-14,2009-11-22
Flood,Argentina,Latin America and the Caribbean,Americas,2009-12-28,2009-12-28
Drought,Argentina,Latin America and the Caribbean,Americas,2009-01-01,2009-07-31
Extreme_temperature,Argentina,Latin America and the Caribbean,Americas,2010-07-08,2010-07-23
Volcanic_activity,Argentina,Latin America and the Caribbean,Americas,2011-06-04,2011-06-17
Storm,Argentina,Latin America and the Caribbean,Americas,2012-04-04,2012-04-04
Storm,Argentina,Latin America and the Caribbean,Americas,2012-10-29,2012-10-31
Flood,Argentina,Latin America and the Caribbean,Americas,2012-11-20,2012-12-04
Flood,Argentina,Latin America and the Caribbean,Americas,2013-04-01,2013-04-07
Storm,Argentina,Latin America and the Caribbean,Americas,2013-12-03,2013-12-03
Mass_movement_wet,Argentina,Latin America and the Caribbean,Americas,2014-01-25,2014-01-25
Flood,Argentina,Latin America and the Caribbean,Americas,2014-04-01,2014-04-08
Flood,Argentina,Latin America and the Caribbean,Americas,2014-06-07,2014-06-30
Flood,Argentina,Latin America and the Caribbean,Americas,2014-10-30,2014-11-04
Storm,Argentina,Latin America and the Caribbean,Americas,2015-02-15,2015-02-24
Flood,Argentina,Latin America and the Caribbean,Americas,2015-03-04,2015-03-04
Volcanic_activity,Argentina,Latin America and the Caribbean,Americas,2015-04-24,2015-04-24
Flood,Argentina,Latin America and the Caribbean,Americas,2015-08-05,2015-08-12
Flood,Argentina,Latin America and the Caribbean,Americas,2015-12-20,2016-01-11
Flood,Argentina,Latin America and the Caribbean,Americas,2016-04-04,2016-04-15
Flood,Argentina,Latin America and the Caribbean,Americas,2016-12-25,2016-12-26
Mass_movement_wet,Argentina,Latin America and the Caribbean,Americas,2017-01-10,2017-01-10
Flood,Argentina,Latin America and the Caribbean,Americas,2017-03-27,2017-04-07
Flood,Argentina,Latin America and the Caribbean,Americas,2017-05-29,2017-06-14
Flood,Argentina,Latin America and the Caribbean,Americas,2017-04-05,2017-04-21
Flood,Argentina,Latin America and the Caribbean,Americas,2018-01-31,2018-02-21
Flood,Argentina,Latin America and the Caribbean,Americas,2018-01-20,2018-01-20
Storm,Argentina,Latin America and the Caribbean,Americas,2018-04-28,2018-04-29
Flood,Argentina,Latin America and the Caribbean,Americas,2018-11-12,2018-11-12
Drought,Argentina,Latin America and the Caribbean,Americas,2018-01-01,2018-03-31
Flood,Argentina,Latin America and the Caribbean,Americas,2019-01-11,2019-01-17
Flood,Argentina,Latin America and the Caribbean,Americas,2019-04-23,2019-04-23
Flood,Argentina,Latin America and the Caribbean,Americas,2019-05-10,2019-05-20
Drought,Argentina,Latin America and the Caribbean,Americas,2019-03-01,2021-12-30
Storm,Argentina,Latin America and the Caribbean,Americas,2020-01-15,2020-01-16
Flood,Argentina,Latin America and the Caribbean,Americas,2020-02-11,2020-02-19
Earthquake,Argentina,Latin America and the Caribbean,Americas,2021-01-18,2021-01-18
Wildfire,Argentina,Latin America and the Caribbean,Americas,2021-03-08,2021-03-12
Flood,Argentina,Latin America and the Caribbean,Americas,2021-03-01,2021-03-01
Wildfire,Argentina,Latin America and the Caribbean,Americas,2022-01-06,2022-03-11
Flood,Argentina,Latin America and the Caribbean,Americas,2023-05-29,2023-07-05
Storm,Argentina,Latin America and the Caribbean,Americas,2023-09-01,2023-09-14
Wildfire,Argentina,Latin America and the Caribbean,Americas,2023-10-10,2023-10-13
Storm,Argentina,Latin America and the Caribbean,Americas,2023-12-13,2023-12-18
Flood,Argentina,Latin America and the Caribbean,Americas,2024-03-03,2024-03-03
Storm,Argentina,Latin America and the Caribbean,Americas,2024-03-18,2024-03-19
Flood,Argentina,Latin America and the Caribbean,Americas,2024-05-14,2024-05-13
