Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Australia,Australia and New Zealand,Oceania,2000-02-27,2000-03-13
Storm,Australia,Australia and New Zealand,Oceania,2000-04-03,2000-04-03
Infestation,Australia,Australia and New Zealand,Oceania,2000-04-01,2000-04-30
Wildfire,Australia,Australia and New Zealand,Oceania,2000-10-04,2000-10-16
Flood,Australia,Australia and New Zealand,Oceania,2000-11-17,2000-12-02
Storm,Australia,Australia and New Zealand,Oceania,2000-12-07,2000-12-07
Flood,Australia,Australia and New Zealand,Oceania,2001-01-07,2001-01-15
Storm,Australia,Australia and New Zealand,Oceania,2001-01-16,2001-01-16
Storm,Australia,Australia and New Zealand,Oceania,2001-01-18,2001-01-18
Flood,Australia,Australia and New Zealand,Oceania,2001-02-01,2001-02-01
Flood,Australia,Australia and New Zealand,Oceania,2001-02-18,2001-02-23
Flood,Australia,Australia and New Zealand,Oceania,2001-03-08,2001-03-15
Storm,Australia,Australia and New Zealand,Oceania,2001-04-26,2001-04-26
Wildfire,Australia,Australia and New Zealand,Oceania,2001-10-04,2001-10-16
Wildfire,Australia,Australia and New Zealand,Oceania,2001-12-25,2002-01-16
Storm,Australia,Australia and New Zealand,Oceania,2002-02-16,2002-02-16
Storm,Australia,Australia and New Zealand,Oceania,2002-09-19,2002-09-19
Wildfire,Australia,Australia and New Zealand,Oceania,2002-10-08,2002-12-06
Storm,Australia,Australia and New Zealand,Oceania,2002-12-05,2002-12-05
Drought,Australia,Australia and New Zealand,Oceania,2002-04-01,2002-11-26
Wildfire,Australia,Australia and New Zealand,Oceania,2003-01-08,2003-02-18
Storm,Australia,Australia and New Zealand,Oceania,2003-01-09,2003-01-09
Flood,Australia,Australia and New Zealand,Oceania,2003-02-05,2003-02-12
Flood,Australia,Australia and New Zealand,Oceania,2003-02-21,2003-02-24
Storm,Australia,Australia and New Zealand,Oceania,2003-05-18,2003-05-18
Flood,Australia,Australia and New Zealand,Oceania,2003-05-13,2003-05-18
Storm,Australia,Australia and New Zealand,Oceania,2003-10-24,2003-10-24
Flood,Australia,Australia and New Zealand,Oceania,2003-12-02,2003-12-02
Storm,Australia,Australia and New Zealand,Oceania,2003-12-03,2003-12-03
