Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Bahamas,Latin America and the Caribbean,Americas,2001-11-09,2001-11-09
Storm,Bahamas,Latin America and the Caribbean,Americas,2004-09-02,2004-09-03
Storm,Bahamas,Latin America and the Caribbean,Americas,2004-08-25,2004-09-08
Storm,Bahamas,Latin America and the Caribbean,Americas,2004-09-25,2004-09-25
Storm,Bahamas,Latin America and the Caribbean,Americas,2005-10-19,2005-10-25
Storm,Bahamas,Latin America and the Caribbean,Americas,2007-10-28,2007-11-02
Storm,Bahamas,Latin America and the Caribbean,Americas,2008-08-26,2008-08-26
Storm,Bahamas,Latin America and the Caribbean,Americas,2008-09-07,2008-09-07
Storm,Bahamas,Latin America and the Caribbean,Americas,2011-08-23,2011-08-26
Storm,Bahamas,Latin America and the Caribbean,Americas,2012-10-24,2012-10-24
Flood,Bahamas,Latin America and the Caribbean,Americas,2013-05-22,2013-05-22
Storm,Bahamas,Latin America and the Caribbean,Americas,2015-10-01,2015-10-04
Storm,Bahamas,Latin America and the Caribbean,Americas,2016-09-28,2016-10-10
Storm,Bahamas,Latin America and the Caribbean,Americas,2017-09-08,2017-09-09
Storm,Bahamas,Latin America and the Caribbean,Americas,2019-09-01,2019-09-04
