Disaster_Type,Country,Subregion,Region,Start Date,End Date
Extreme_temperature,Bangladesh,Southern Asia,Asia,2000-01-15,2000-01-20
Earthquake,Bangladesh,Southern Asia,Asia,2000-01-02,2000-01-02
Storm,Bangladesh,Southern Asia,Asia,2000-03-05,2000-03-05
Epidemic,Bangladesh,Southern Asia,Asia,2000-03-02,2000-03-15
Storm,Bangladesh,Southern Asia,Asia,2000-04-21,2000-04-21
Storm,Bangladesh,Southern Asia,Asia,2000-04-11,2000-04-11
Storm,Bangladesh,Southern Asia,Asia,2000-05-27,2000-06-19
Storm,Bangladesh,Southern Asia,Asia,2000-05-23,2000-05-23
Flood,Bangladesh,Southern Asia,Asia,2000-06-24,2000-06-24
Epidemic,Bangladesh,Southern Asia,Asia,2000-07-04,2000-07-14
Flood,Bangladesh,Southern Asia,Asia,2000-08-30,2000-08-30
Flood,Bangladesh,Southern Asia,Asia,2000-09-15,2000-10-15
Storm,Bangladesh,Southern Asia,Asia,2000-06-25,2000-06-25
Epidemic,Bangladesh,Southern Asia,Asia,2000-10-12,2000-10-12
Storm,Bangladesh,Southern Asia,Asia,2000-10-28,2000-10-28
Storm,Bangladesh,Southern Asia,Asia,2001-05-11,2001-05-11
Storm,Bangladesh,Southern Asia,Asia,2001-04-01,2001-04-01
Storm,Bangladesh,Southern Asia,Asia,2001-04-28,2001-04-28
Flood,Bangladesh,Southern Asia,Asia,2001-06-05,2001-06-05
Flood,Bangladesh,Southern Asia,Asia,2001-08-31,2001-08-31
Storm,Bangladesh,Southern Asia,Asia,2001-10-05,2001-10-05
Extreme_temperature,Bangladesh,Southern Asia,Asia,2001-12-13,2001-12-20
Storm,Bangladesh,Southern Asia,Asia,2002-03-25,2002-03-25
Storm,Bangladesh,Southern Asia,Asia,2002-04-22,2002-04-22
Epidemic,Bangladesh,Southern Asia,Asia,2002-06-04,2002-06-16
Flood,Bangladesh,Southern Asia,Asia,2002-07-15,2002-08-16
Storm,Bangladesh,Southern Asia,Asia,2002-07-14,2002-07-14
Storm,Bangladesh,Southern Asia,Asia,2002-11-14,2002-11-14
Extreme_temperature,Bangladesh,Southern Asia,Asia,2002-12-15,2003-01-25
Storm,Bangladesh,Southern Asia,Asia,2003-04-16,2003-04-16
Storm,Bangladesh,Southern Asia,Asia,2003-05-04,2003-05-04
Extreme_temperature,Bangladesh,Southern Asia,Asia,2003-05-10,2003-06-12
Flood,Bangladesh,Southern Asia,Asia,2003-06-11,2003-10-10
Flood,Bangladesh,Southern Asia,Asia,2003-06-19,2003-07-03
Earthquake,Bangladesh,Southern Asia,Asia,2003-07-26,2003-07-26
Extreme_temperature,Bangladesh,Southern Asia,Asia,2003-12-15,2004-01-25
Storm,Bangladesh,Southern Asia,Asia,2003-12-20,2003-12-20
Epidemic,Bangladesh,Southern Asia,Asia,2004-01-04,2004-02-08
Storm,Bangladesh,Southern Asia,Asia,2004-04-14,2004-04-15
Epidemic,Bangladesh,Southern Asia,Asia,2004-02-04,2004-04-20
Storm,Bangladesh,Southern Asia,Asia,2004-06-12,2004-06-13
Flood,Bangladesh,Southern Asia,Asia,2004-06-20,2004-08-03
Flood,Bangladesh,Southern Asia,Asia,2004-09-11,2004-09-18
Flood,Bangladesh,Southern Asia,Asia,2004-10-07,2004-10-18
Earthquake,Bangladesh,Southern Asia,Asia,2004-12-26,2004-12-26
Storm,Bangladesh,Southern Asia,Asia,2004-05-13,2004-05-13
Storm,Bangladesh,Southern Asia,Asia,2004-07-17,2004-07-17
Storm,Bangladesh,Southern Asia,Asia,2005-03-20,2005-03-23
Storm,Bangladesh,Southern Asia,Asia,2005-03-31,2005-03-31
Storm,Bangladesh,Southern Asia,Asia,2005-05-21,2005-05-22
Flood,Bangladesh,Southern Asia,Asia,2005-05-25,2005-05-28
Storm,Bangladesh,Southern Asia,Asia,2005-05-14,2005-05-14
Storm,Bangladesh,Southern Asia,Asia,2005-05-06,2005-05-06
Extreme_temperature,Bangladesh,Southern Asia,Asia,2005-07-12,2005-07-19
Flood,Bangladesh,Southern Asia,Asia,2005-07-07,2005-07-27
Storm,Bangladesh,Southern Asia,Asia,2005-06-30,2005-06-30
Storm,Bangladesh,Southern Asia,Asia,2005-09-20,2005-09-20
Flood,Bangladesh,Southern Asia,Asia,2005-10-03,2005-10-20
