Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Benin,Sub-Saharan Africa,Africa,2000-03-11,2000-03-15
Epidemic,Benin,Sub-Saharan Africa,Africa,2000-02-13,2000-02-15
Epidemic,Benin,Sub-Saharan Africa,Africa,2000-10-16,2000-10-16
Epidemic,Benin,Sub-Saharan Africa,Africa,2001-01-07,2001-01-15
Epidemic,Benin,Sub-Saharan Africa,Africa,2001-08-27,2001-08-27
Epidemic,Benin,Sub-Saharan Africa,Africa,2001-01-01,2001-03-25
Epidemic,Benin,Sub-Saharan Africa,Africa,2002-01-07,2002-01-15
Epidemic,Benin,Sub-Saharan Africa,Africa,2003-01-01,2003-11-15
Epidemic,Benin,Sub-Saharan Africa,Africa,2005-06-06,2005-09-04
Flood,Benin,Sub-Saharan Africa,Africa,2007-07-14,2007-09-17
Epidemic,Benin,Sub-Saharan Africa,Africa,2008-01-13,2008-02-15
Flood,Benin,Sub-Saharan Africa,Africa,2008-07-14,2008-07-17
Epidemic,Benin,Sub-Saharan Africa,Africa,2008-09-22,2008-10-02
Epidemic,Benin,Sub-Saharan Africa,Africa,2008-07-21,2008-08-15
Storm,Benin,Sub-Saharan Africa,Africa,2009-05-15,2009-05-16
Flood,Benin,Sub-Saharan Africa,Africa,2009-06-22,2009-07-03
Flood,Benin,Sub-Saharan Africa,Africa,2009-08-14,2009-08-18
Epidemic,Benin,Sub-Saharan Africa,Africa,2010-02-11,2010-03-16
Epidemic,Benin,Sub-Saharan Africa,Africa,2010-01-15,2010-02-08
Flood,Benin,Sub-Saharan Africa,Africa,2010-07-14,2010-11-17
Epidemic,Benin,Sub-Saharan Africa,Africa,2010-10-11,2010-10-15
Flood,Benin,Sub-Saharan Africa,Africa,2011-06-20,2011-07-17
Flood,Benin,Sub-Saharan Africa,Africa,2012-09-01,2012-10-31
Flood,Benin,Sub-Saharan Africa,Africa,2013-09-05,2013-09-20
Wildfire,Benin,Sub-Saharan Africa,Africa,2013-01-06,2013-01-06
Epidemic,Benin,Sub-Saharan Africa,Africa,2013-08-12,2013-12-31
Epidemic,Benin,Sub-Saharan Africa,Africa,2016-08-16,2016-09-03
Epidemic,Benin,Sub-Saharan Africa,Africa,2019-01-06,2020-01-22
Flood,Benin,Sub-Saharan Africa,Africa,2020-10-01,2020-10-02
Flood,Benin,Sub-Saharan Africa,Africa,2021-09-15,2021-10-26
Flood,Benin,Sub-Saharan Africa,Africa,2022-09-01,2022-10-31
