Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2000-03-13,2000-03-15
Extreme_temperature,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2000-07-08,2000-07-23
Flood,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2000-02-03,2000-02-03
Drought,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2000-04-01,2000-07-26
Flood,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2001-01-01,2001-03-22
Extreme_temperature,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2001-07-08,2001-07-23
Flood,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2002-02-19,2002-02-21
Storm,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2002-06-19,2002-07-15
Wildfire,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2002-08-17,2002-08-17
Flood,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2003-01-03,2003-01-08
Flood,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2003-01-21,2003-01-22
Mass_movement_wet,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2003-03-31,2003-03-31
Flood,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2003-12-22,2004-01-22
Drought,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2004-10-01,2005-03-31
Wildfire,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2005-09-11,2005-09-12
Flood,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2006-01-01,2006-01-01
Flood,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2006-01-25,2006-04-17
Flood,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2007-01-10,2007-05-01
Epidemic,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2007-02-08,2007-02-14
Extreme_temperature,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2007-07-08,2007-07-23
Flood,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2007-12-15,2008-02-20
Epidemic,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2008-01-08,2008-02-14
Storm,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2008-11-08,2008-11-09
Epidemic,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2008-10-13,2009-06-17
Drought,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2008-12-01,2009-05-31
Flood,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2009-02-12,2009-02-23
