Disaster_Type,Country,Subregion,Region,Start Date,End Date
Mass_movement_wet,Bosnia and Herzegovina,Southern Europe,Europe,2000-02-10,2000-02-10
Epidemic,Bosnia and Herzegovina,Southern Europe,Europe,2000-08-29,2000-08-29
Drought,Bosnia and Herzegovina,Southern Europe,Europe,2000-08-01,2000-07-31
Flood,Bosnia and Herzegovina,Southern Europe,Europe,2001-06-15,2001-06-12
Drought,Bosnia and Herzegovina,Southern Europe,Europe,2003-05-07,2003-08-31
Flood,Bosnia and Herzegovina,Southern Europe,Europe,2004-04-06,2004-04-14
Flood,Bosnia and Herzegovina,Southern Europe,Europe,2004-03-23,2004-04-03
Storm,Bosnia and Herzegovina,Southern Europe,Europe,2005-02-16,2005-02-18
Flood,Bosnia and Herzegovina,Southern Europe,Europe,2005-12-06,2005-12-09
Extreme_temperature,Bosnia and Herzegovina,Southern Europe,Europe,2007-07-15,2007-07-22
Extreme_temperature,Bosnia and Herzegovina,Southern Europe,Europe,2009-01-20,2009-01-15
Flood,Bosnia and Herzegovina,Southern Europe,Europe,2009-02-01,2009-02-16
Flood,Bosnia and Herzegovina,Southern Europe,Europe,2009-07-07,2009-07-15
Flood,Bosnia and Herzegovina,Southern Europe,Europe,2010-06-20,2010-06-22
Flood,Bosnia and Herzegovina,Southern Europe,Europe,2010-12-03,2010-12-05
Extreme_temperature,Bosnia and Herzegovina,Southern Europe,Europe,2010-12-19,2010-12-30
Extreme_temperature,Bosnia and Herzegovina,Southern Europe,Europe,2012-02-02,2012-02-07
Flood,Bosnia and Herzegovina,Southern Europe,Europe,2014-04-19,2014-04-24
Flood,Bosnia and Herzegovina,Southern Europe,Europe,2014-05-13,2014-05-20
Flood,Bosnia and Herzegovina,Southern Europe,Europe,2014-08-06,2014-08-06
Flood,Bosnia and Herzegovina,Southern Europe,Europe,2014-09-14,2014-09-15
Flood,Bosnia and Herzegovina,Southern Europe,Europe,2015-10-14,2015-10-16
Flood,Bosnia and Herzegovina,Southern Europe,Europe,2019-05-12,2019-05-13
Flood,Bosnia and Herzegovina,Southern Europe,Europe,2019-06-01,2019-06-25
Flood,Bosnia and Herzegovina,Southern Europe,Europe,2020-06-22,2020-06-23
Flood,Bosnia and Herzegovina,Southern Europe,Europe,2021-11-04,2021-11-05
Earthquake,Bosnia and Herzegovina,Southern Europe,Europe,2022-04-23,2022-04-23
Flood,Bosnia and Herzegovina,Southern Europe,Europe,2022-12-11,2022-12-22
Flood,Bosnia and Herzegovina,Southern Europe,Europe,2023-05-14,2023-05-19
Storm,Bosnia and Herzegovina,Southern Europe,Europe,2023-07-18,2023-07-19
Flood,Bosnia and Herzegovina,Southern Europe,Europe,2024-10-03,2024-10-04
