Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Brazil,Latin America and the Caribbean,Americas,2000-01-01,2000-01-06
Extreme_temperature,Brazil,Latin America and the Caribbean,Americas,2000-07-08,2000-07-23
Mass_movement_wet,Brazil,Latin America and the Caribbean,Americas,2000-07-30,2000-08-17
Flood,Brazil,Latin America and the Caribbean,Americas,2000-09-16,2000-09-18
Flood,Brazil,Latin America and the Caribbean,Americas,2000-10-12,2000-10-15
Flood,Brazil,Latin America and the Caribbean,Americas,2000-12-17,2000-12-26
Flood,Brazil,Latin America and the Caribbean,Americas,2001-04-25,2001-04-26
Storm,Brazil,Latin America and the Caribbean,Americas,2001-09-29,2001-10-04
Flood,Brazil,Latin America and the Caribbean,Americas,2001-12-24,2001-12-25
Flood,Brazil,Latin America and the Caribbean,Americas,2001-11-19,2001-11-23
Drought,Brazil,Latin America and the Caribbean,Americas,2001-06-07,2001-08-31
Flood,Brazil,Latin America and the Caribbean,Americas,2002-02-03,2002-02-05
Epidemic,Brazil,Latin America and the Caribbean,Americas,2002-01-01,2002-04-25
Flood,Brazil,Latin America and the Caribbean,Americas,2002-06-12,2002-06-19
Mass_movement_wet,Brazil,Latin America and the Caribbean,Americas,2002-12-09,2002-12-12
Mass_movement_wet,Brazil,Latin America and the Caribbean,Americas,2002-12-21,2002-12-21
Drought,Brazil,Latin America and the Caribbean,Americas,2002-09-07,2002-08-31
Flood,Brazil,Latin America and the Caribbean,Americas,2003-01-14,2003-01-24
Flood,Brazil,Latin America and the Caribbean,Americas,2003-10-27,2003-10-31
Flood,Brazil,Latin America and the Caribbean,Americas,2003-11-29,2003-11-29
Flood,Brazil,Latin America and the Caribbean,Americas,2003-12-12,2004-02-19
Flood,Brazil,Latin America and the Caribbean,Americas,2003-01-11,2003-02-04
Storm,Brazil,Latin America and the Caribbean,Americas,2004-03-27,2004-03-29
Flood,Brazil,Latin America and the Caribbean,Americas,2004-06-01,2004-06-02
Flood,Brazil,Latin America and the Caribbean,Americas,2004-06-17,2004-06-18
Extreme_temperature,Brazil,Latin America and the Caribbean,Americas,2004-07-08,2004-07-23
