Disaster_Type,Country,Subregion,Region,Start Date,End Date
Extreme_temperature,Bulgaria,Eastern Europe,Europe,2000-01-14,2000-01-20
Extreme_temperature,Bulgaria,Eastern Europe,Europe,2000-06-18,2000-07-20
Wildfire,Bulgaria,Eastern Europe,Europe,2000-07-01,2000-07-01
Drought,Bulgaria,Eastern Europe,Europe,2000-03-01,2001-07-25
Wildfire,Bulgaria,Eastern Europe,Europe,2001-08-11,2001-08-05
Storm,Bulgaria,Eastern Europe,Europe,2001-12-24,2001-12-24
Flood,Bulgaria,Eastern Europe,Europe,2002-08-10,2002-08-11
Storm,Bulgaria,Eastern Europe,Europe,2005-01-18,2005-02-19
Flood,Bulgaria,Eastern Europe,Europe,2005-05-26,2005-06-13
Flood,Bulgaria,Eastern Europe,Europe,2005-07-02,2005-07-06
Flood,Bulgaria,Eastern Europe,Europe,2005-08-14,2005-08-26
Flood,Bulgaria,Eastern Europe,Europe,2005-09-21,2005-09-23
Extreme_temperature,Bulgaria,Eastern Europe,Europe,2006-01-22,2006-01-25
Flood,Bulgaria,Eastern Europe,Europe,2005-08-04,2005-08-11
Earthquake,Bulgaria,Eastern Europe,Europe,2006-02-20,2006-02-20
Flood,Bulgaria,Eastern Europe,Europe,2006-04-10,2006-04-13
Flood,Bulgaria,Eastern Europe,Europe,2006-04-07,2006-05-24
Flood,Bulgaria,Eastern Europe,Europe,2007-05-22,2007-06-06
Extreme_temperature,Bulgaria,Eastern Europe,Europe,2007-06-18,2007-07-20
Flood,Bulgaria,Eastern Europe,Europe,2007-08-04,2007-08-07
Wildfire,Bulgaria,Eastern Europe,Europe,2007-07-11,2007-07-06
Wildfire,Bulgaria,Eastern Europe,Europe,2007-08-25,2007-08-26
Flood,Bulgaria,Eastern Europe,Europe,2007-11-16,2007-11-21
Extreme_temperature,Bulgaria,Eastern Europe,Europe,2008-01-14,2008-01-20
Extreme_temperature,Bulgaria,Eastern Europe,Europe,2010-01-14,2010-01-20
Flood,Bulgaria,Eastern Europe,Europe,2010-12-04,2010-12-05
Extreme_temperature,Bulgaria,Eastern Europe,Europe,2012-01-20,2012-02-20
Flood,Bulgaria,Eastern Europe,Europe,2012-02-01,2012-02-06
Earthquake,Bulgaria,Eastern Europe,Europe,2012-05-22,2012-05-22
Extreme_temperature,Bulgaria,Eastern Europe,Europe,2012-12-01,2012-12-15
Flood,Bulgaria,Eastern Europe,Europe,2014-04-17,2014-05-01
Flood,Bulgaria,Eastern Europe,Europe,2014-06-19,2014-06-25
Flood,Bulgaria,Eastern Europe,Europe,2014-07-31,2014-08-02
Flood,Bulgaria,Eastern Europe,Europe,2014-09-04,2014-09-06
Storm,Bulgaria,Eastern Europe,Europe,2014-07-08,2014-07-08
Flood,Bulgaria,Eastern Europe,Europe,2015-02-01,2015-02-04
Flood,Bulgaria,Eastern Europe,Europe,2018-06-28,2018-07-02
Flood,Bulgaria,Eastern Europe,Europe,2021-01-11,2021-01-12
Wildfire,Bulgaria,Eastern Europe,Europe,2021-08-02,2021-08-04
Extreme_temperature,Bulgaria,Eastern Europe,Europe,2022-05-30,2022-09-04
Flood,Bulgaria,Eastern Europe,Europe,2022-09-02,2022-09-02
Extreme_temperature,Bulgaria,Eastern Europe,Europe,2023-07-19,2023-08-17
Flood,Bulgaria,Eastern Europe,Europe,2023-09-07,2023-09-08
Storm,Bulgaria,Eastern Europe,Europe,2023-11-18,2023-11-19
Storm,Bulgaria,Eastern Europe,Europe,2023-11-25,2023-11-27
