Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Burundi,Sub-Saharan Africa,Africa,2000-09-10,2000-09-14
Epidemic,Burundi,Sub-Saharan Africa,Africa,2000-05-10,2000-06-15
Epidemic,Burundi,Sub-Saharan Africa,Africa,2000-10-11,2000-10-15
Flood,Burundi,Sub-Saharan Africa,Africa,2000-12-27,2000-12-27
Flood,Burundi,Sub-Saharan Africa,Africa,2002-05-06,2002-05-06
Epidemic,Burundi,Sub-Saharan Africa,Africa,2002-06-17,2002-08-22
Epidemic,Burundi,Sub-Saharan Africa,Africa,2002-07-11,2002-07-15
Epidemic,Burundi,Sub-Saharan Africa,Africa,2002-07-06,2002-09-22
Flood,Burundi,Sub-Saharan Africa,Africa,2002-03-13,2002-03-17
Epidemic,Burundi,Sub-Saharan Africa,Africa,2003-12-08,2004-02-10
Drought,Burundi,Sub-Saharan Africa,Africa,2003-09-01,2004-07-31
Storm,Burundi,Sub-Saharan Africa,Africa,2004-01-04,2004-01-04
Storm,Burundi,Sub-Saharan Africa,Africa,2004-02-20,2004-02-20
Flood,Burundi,Sub-Saharan Africa,Africa,2004-03-07,2004-03-07
Earthquake,Burundi,Sub-Saharan Africa,Africa,2004-02-24,2004-02-24
Flood,Burundi,Sub-Saharan Africa,Africa,2005-02-02,2005-02-02
Drought,Burundi,Sub-Saharan Africa,Africa,2005-01-01,2006-01-31
Storm,Burundi,Sub-Saharan Africa,Africa,2006-01-31,2006-01-31
Flood,Burundi,Sub-Saharan Africa,Africa,2006-04-24,2006-04-24
Flood,Burundi,Sub-Saharan Africa,Africa,2006-05-18,2006-05-18
Flood,Burundi,Sub-Saharan Africa,Africa,2006-05-17,2006-05-28
Flood,Burundi,Sub-Saharan Africa,Africa,2006-06-13,2006-06-18
Flood,Burundi,Sub-Saharan Africa,Africa,2006-08-26,2006-08-18
Flood,Burundi,Sub-Saharan Africa,Africa,2006-12-12,2007-01-22
Flood,Burundi,Sub-Saharan Africa,Africa,2007-01-01,2007-01-17
Flood,Burundi,Sub-Saharan Africa,Africa,2007-10-15,2007-10-31
Flood,Burundi,Sub-Saharan Africa,Africa,2008-04-10,2008-04-11
Flood,Burundi,Sub-Saharan Africa,Africa,2008-09-20,2008-10-18
Drought,Burundi,Sub-Saharan Africa,Africa,2008-09-01,2009-01-31
Flood,Burundi,Sub-Saharan Africa,Africa,2009-04-12,2009-04-15
Drought,Burundi,Sub-Saharan Africa,Africa,2009-12-01,2010-02-28
Flood,Burundi,Sub-Saharan Africa,Africa,2010-01-12,2010-01-17
Flood,Burundi,Sub-Saharan Africa,Africa,2010-02-12,2010-02-17
Storm,Burundi,Sub-Saharan Africa,Africa,2010-10-08,2010-10-08
Storm,Burundi,Sub-Saharan Africa,Africa,2011-02-16,2011-02-16
Flood,Burundi,Sub-Saharan Africa,Africa,2011-03-20,2011-04-03
Epidemic,Burundi,Sub-Saharan Africa,Africa,2011-08-05,2011-09-14
Flood,Burundi,Sub-Saharan Africa,Africa,2014-02-19,2014-03-10
Mass_movement_wet,Burundi,Sub-Saharan Africa,Africa,2015-03-29,2015-03-29
Flood,Burundi,Sub-Saharan Africa,Africa,2015-11-12,2016-02-01
Epidemic,Burundi,Sub-Saharan Africa,Africa,2016-08-03,2016-09-08
Mass_movement_wet,Burundi,Sub-Saharan Africa,Africa,2017-03-16,2017-03-22
Flood,Burundi,Sub-Saharan Africa,Africa,2018-01-14,2018-01-24
Flood,Burundi,Sub-Saharan Africa,Africa,2018-04-28,2018-05-01
Flood,Burundi,Sub-Saharan Africa,Africa,2018-05-04,2018-05-09
Flood,Burundi,Sub-Saharan Africa,Africa,2019-01-17,2019-01-21
Mass_movement_wet,Burundi,Sub-Saharan Africa,Africa,2019-12-05,2019-12-05
Flood,Burundi,Sub-Saharan Africa,Africa,2019-12-21,2019-12-28
Flood,Burundi,Sub-Saharan Africa,Africa,2020-01-28,2020-02-13
Storm,Burundi,Sub-Saharan Africa,Africa,2020-03-16,2020-03-22
Flood,Burundi,Sub-Saharan Africa,Africa,2020-04-13,2020-04-19
Flood,Burundi,Sub-Saharan Africa,Africa,2021-04-12,2021-05-20
Flood,Burundi,Sub-Saharan Africa,Africa,2023-03-31,2023-04-12
Flood,Burundi,Sub-Saharan Africa,Africa,2023-10-26,2023-10-27
Storm,Burundi,Sub-Saharan Africa,Africa,2024-03-02,2024-03-07
Flood,Burundi,Sub-Saharan Africa,Africa,2024-04-14,2024-05-02
