Disaster_Type,Country,Subregion,Region,Start Date,End Date
Drought,Cabo Verde,Sub-Saharan Africa,Africa,2002-06-07,2002-08-31
Infestation,Cabo Verde,Sub-Saharan Africa,Africa,2004-08-01,2004-08-31
Epidemic,Cabo Verde,Sub-Saharan Africa,Africa,2009-09-30,2009-11-29
Flood,Cabo Verde,Sub-Saharan Africa,Africa,2009-09-14,2009-10-18
Volcanic_activity,Cabo Verde,Sub-Saharan Africa,Africa,2014-11-23,2015-01-31
Storm,Cabo Verde,Sub-Saharan Africa,Africa,2015-08-31,2015-08-31
Drought,Cabo Verde,Sub-Saharan Africa,Africa,2017-11-01,2017-12-31
Flood,Cabo Verde,Sub-Saharan Africa,Africa,2020-09-11,2020-09-13
Drought,Cabo Verde,Sub-Saharan Africa,Africa,2022-02-01,2022-04-30
Epidemic,Cabo Verde,Sub-Saharan Africa,Africa,2023-11-06,2024-09-18
