Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Cameroon,Sub-Saharan Africa,Africa,2000-01-07,2000-01-15
Flood,Cameroon,Sub-Saharan Africa,Africa,2000-08-03,2000-08-05
Epidemic,Cameroon,Sub-Saharan Africa,Africa,2001-01-01,2001-02-25
Flood,Cameroon,Sub-Saharan Africa,Africa,2001-06-28,2001-06-29
Epidemic,Cameroon,Sub-Saharan Africa,Africa,2001-06-25,2001-06-25
Drought,Cameroon,Sub-Saharan Africa,Africa,2001-01-01,2001-07-31
Mass_movement_wet,Cameroon,Sub-Saharan Africa,Africa,2003-07-20,2003-07-20
Epidemic,Cameroon,Sub-Saharan Africa,Africa,2004-01-01,2004-06-09
Epidemic,Cameroon,Sub-Saharan Africa,Africa,2005-01-03,2005-05-15
Flood,Cameroon,Sub-Saharan Africa,Africa,2005-08-19,2005-08-19
Drought,Cameroon,Sub-Saharan Africa,Africa,2005-03-01,2005-05-30
Epidemic,Cameroon,Sub-Saharan Africa,Africa,2006-03-12,2006-04-24
Flood,Cameroon,Sub-Saharan Africa,Africa,2007-08-02,2007-08-17
Flood,Cameroon,Sub-Saharan Africa,Africa,2008-07-14,2008-09-17
Epidemic,Cameroon,Sub-Saharan Africa,Africa,2009-09-15,2010-08-01
Flood,Cameroon,Sub-Saharan Africa,Africa,2010-07-22,2010-07-22
Epidemic,Cameroon,Sub-Saharan Africa,Africa,2010-05-11,2010-08-15
Epidemic,Cameroon,Sub-Saharan Africa,Africa,2011-01-10,2011-10-14
Flood,Cameroon,Sub-Saharan Africa,Africa,2012-08-25,2012-08-31
Flood,Cameroon,Sub-Saharan Africa,Africa,2012-08-27,2012-08-27
Drought,Cameroon,Sub-Saharan Africa,Africa,2012-06-01,2012-12-31
Flood,Cameroon,Sub-Saharan Africa,Africa,2013-09-17,2013-09-18
Epidemic,Cameroon,Sub-Saharan Africa,Africa,2014-04-24,2014-08-12
Flood,Cameroon,Sub-Saharan Africa,Africa,2014-08-21,2014-08-21
Epidemic,Cameroon,Sub-Saharan Africa,Africa,2014-08-18,2014-08-28
Flood,Cameroon,Sub-Saharan Africa,Africa,2015-06-22,2015-06-29
Epidemic,Cameroon,Sub-Saharan Africa,Africa,2015-01-01,2015-11-16
Flood,Cameroon,Sub-Saharan Africa,Africa,2017-08-04,2017-08-29
Epidemic,Cameroon,Sub-Saharan Africa,Africa,2018-05-18,2018-11-23
Mass_movement_wet,Cameroon,Sub-Saharan Africa,Africa,2019-10-28,2019-10-28
Flood,Cameroon,Sub-Saharan Africa,Africa,2020-09-11,2020-09-12
Flood,Cameroon,Sub-Saharan Africa,Africa,2022-06-26,2022-10-31
Mass_movement_wet,Cameroon,Sub-Saharan Africa,Africa,2022-08-11,2022-08-11
Mass_movement_wet,Cameroon,Sub-Saharan Africa,Africa,2022-11-27,2022-11-27
Epidemic,Cameroon,Sub-Saharan Africa,Africa,2022-08-12,2022-12-15
Drought,Cameroon,Sub-Saharan Africa,Africa,2022-05-01,2022-11-23
Flood,Cameroon,Sub-Saharan Africa,Africa,2023-07-18,2023-07-19
Mass_movement_wet,Cameroon,Sub-Saharan Africa,Africa,2023-10-08,2023-10-09
Flood,Cameroon,Sub-Saharan Africa,Africa,2024-08-14,2024-09-18
