Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Canada,Northern America,Americas,2000-07-14,2000-07-14
Storm,Canada,Northern America,Americas,2001-02-10,2001-02-10
Epidemic,Canada,Northern America,Americas,2001-04-13,2001-04-14
Wildfire,Canada,Northern America,Americas,2001-05-28,2001-05-28
Flood,Canada,Northern America,Americas,2002-06-09,2002-06-12
Wildfire,Canada,Northern America,Americas,2002-07-13,2002-07-15
Epidemic,Canada,Northern America,Americas,2002-09-15,2002-10-12
Flood,Canada,Northern America,Americas,2003-02-15,2003-02-21
Flood,Canada,Northern America,Americas,2003-03-31,2003-04-03
Wildfire,Canada,Northern America,Americas,2003-08-01,2003-09-14
Flood,Canada,Northern America,Americas,2003-08-04,2003-08-05
Storm,Canada,Northern America,Americas,2003-09-18,2003-09-18
Storm,Canada,Northern America,Americas,2003-09-28,2003-09-29
Flood,Canada,Northern America,Americas,2003-10-17,2003-10-26
Storm,Canada,Northern America,Americas,2004-01-17,2004-01-16
Storm,Canada,Northern America,Americas,2004-02-19,2004-02-19
Flood,Canada,Northern America,Americas,2004-03-28,2004-04-11
Flood,Canada,Northern America,Americas,2004-07-13,2004-07-16
Wildfire,Canada,Northern America,Americas,2005-07-13,2005-07-15
Wildfire,Canada,Northern America,Americas,2005-08-13,2005-08-19
Storm,Canada,Northern America,Americas,2005-09-26,2005-09-29
Flood,Canada,Northern America,Americas,2005-09-27,2005-09-29
Flood,Canada,Northern America,Americas,2005-06-07,2005-07-01
Flood,Canada,Northern America,Americas,2006-04-18,2006-04-24
Flood,Canada,Northern America,Americas,2006-04-12,2006-04-20
Flood,Canada,Northern America,Americas,2006-04-22,2006-05-31
Flood,Canada,Northern America,Americas,2006-05-26,2006-06-02
Flood,Canada,Northern America,Americas,2006-05-20,2006-05-28
Storm,Canada,Northern America,Americas,2007-02-14,2007-02-15
Flood,Canada,Northern America,Americas,2007-06-06,2007-06-11
Storm,Canada,Northern America,Americas,2007-12-23,2007-12-26
Flood,Canada,Northern America,Americas,2008-04-10,2008-04-24
Flood,Canada,Northern America,Americas,2008-04-26,2008-05-01
Flood,Canada,Northern America,Americas,2009-04-01,2009-04-09
Storm,Canada,Northern America,Americas,2009-08-23,2009-08-23
Storm,Canada,Northern America,Americas,2009-08-01,2009-08-03
Storm,Canada,Northern America,Americas,2010-12-26,2010-12-28
Flood,Canada,Northern America,Americas,2011-04-04,2011-05-31
Storm,Canada,Northern America,Americas,2011-08-21,2011-08-24
Storm,Canada,Northern America,Americas,2011-08-28,2011-08-29
Wildfire,Canada,Northern America,Americas,2011-05-14,2011-05-16
Flood,Canada,Northern America,Americas,2012-03-25,2012-03-30
Storm,Canada,Northern America,Americas,2012-12-24,2012-12-27
Storm,Canada,Northern America,Americas,2012-08-12,2012-08-12
Flood,Canada,Northern America,Americas,2013-06-20,2013-06-27
Extreme_temperature,Canada,Northern America,Americas,2013-12-21,2013-12-22
Storm,Canada,Northern America,Americas,2013-07-08,2013-07-09
Extreme_temperature,Canada,Northern America,Americas,2014-01-01,2014-01-09
Flood,Canada,Northern America,Americas,2014-08-04,2014-08-04
Wildfire,Canada,Northern America,Americas,2015-07-01,2015-07-10
Wildfire,Canada,Northern America,Americas,2016-05-01,2016-07-04
Flood,Canada,Northern America,Americas,2016-06-14,2016-06-21
Flood,Canada,Northern America,Americas,2017-05-05,2017-05-20
Wildfire,Canada,Northern America,Americas,2017-07-07,2017-09-15
Flood,Canada,Northern America,Americas,2017-08-28,2017-08-29
Flood,Canada,Northern America,Americas,2018-05-10,2018-05-14
Extreme_temperature,Canada,Northern America,Americas,2018-06-29,2018-07-05
Wildfire,Canada,Northern America,Americas,2018-07-13,2018-08-15
Storm,Canada,Northern America,Americas,2018-09-21,2018-09-21
Flood,Canada,Northern America,Americas,2019-04-27,2019-05-05
Storm,Canada,Northern America,Americas,2019-10-31,2019-11-02
Flood,Canada,Northern America,Americas,2020-04-26,2020-04-30
Storm,Canada,Northern America,Americas,2020-06-13,2020-06-14
Storm,Canada,Northern America,Americas,2021-06-21,2021-06-22
Wildfire,Canada,Northern America,Americas,2021-06-30,2021-07-02
Extreme_temperature,Canada,Northern America,Americas,2021-06-26,2021-07-20
Flood,Canada,Northern America,Americas,2021-11-13,2021-11-16
Storm,Canada,Northern America,Americas,2022-04-21,2022-04-24
Flood,Canada,Northern America,Americas,2022-04-22,2022-04-25
Flood,Canada,Northern America,Americas,2022-05-30,2022-05-31
Storm,Canada,Northern America,Americas,2022-05-19,2022-05-26
Storm,Canada,Northern America,Americas,2022-09-24,2022-09-25
Storm,Canada,Northern America,Americas,2022-12-21,2022-12-26
Extreme_temperature,Canada,Northern America,Americas,2023-01-30,2023-02-05
Flood,Canada,Northern America,Americas,2023-05-01,2023-05-04
Wildfire,Canada,Northern America,Americas,2023-05-06,2023-07-15
Flood,Canada,Northern America,Americas,2023-07-21,2023-07-22
Wildfire,Canada,Northern America,Americas,2024-05-12,2024-05-13
Storm,Canada,Northern America,Americas,2024-07-12,2024-07-12
Wildfire,Canada,Northern America,Americas,2024-06-21,2024-06-25
Wildfire,Canada,Northern America,Americas,2024-07-22,2024-08-07
Storm,Canada,Northern America,Americas,2024-08-08,2024-08-10
