Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Central African Republic,Sub-Saharan Africa,Africa,2000-03-11,2000-03-15
Epidemic,Central African Republic,Sub-Saharan Africa,Africa,2000-05-10,2000-05-15
Epidemic,Central African Republic,Sub-Saharan Africa,Africa,2000-07-11,2000-07-15
Storm,Central African Republic,Sub-Saharan Africa,Africa,2001-03-15,2001-03-17
Epidemic,Central African Republic,Sub-Saharan Africa,Africa,2001-02-18,2001-03-30
Wildfire,Central African Republic,Sub-Saharan Africa,Africa,2002-01-30,2002-01-30
Epidemic,Central African Republic,Sub-Saharan Africa,Africa,2002-07-22,2002-07-22
Epidemic,Central African Republic,Sub-Saharan Africa,Africa,2003-06-16,2003-10-29
Flood,Central African Republic,Sub-Saharan Africa,Africa,2003-09-05,2003-09-05
Flood,Central African Republic,Sub-Saharan Africa,Africa,2004-10-24,2004-11-02
Flood,Central African Republic,Sub-Saharan Africa,Africa,2005-08-08,2005-08-25
Flood,Central African Republic,Sub-Saharan Africa,Africa,2007-07-13,2007-08-11
Flood,Central African Republic,Sub-Saharan Africa,Africa,2008-07-14,2008-09-17
Storm,Central African Republic,Sub-Saharan Africa,Africa,2009-01-17,2009-01-18
Storm,Central African Republic,Sub-Saharan Africa,Africa,2009-03-23,2009-04-16
Flood,Central African Republic,Sub-Saharan Africa,Africa,2009-07-03,2009-07-10
Flood,Central African Republic,Sub-Saharan Africa,Africa,2010-07-11,2010-08-07
Epidemic,Central African Republic,Sub-Saharan Africa,Africa,2011-09-10,2011-10-14
Storm,Central African Republic,Sub-Saharan Africa,Africa,2011-06-11,2011-06-19
Flood,Central African Republic,Sub-Saharan Africa,Africa,2011-10-11,2011-10-11
Storm,Central African Republic,Sub-Saharan Africa,Africa,2012-02-15,2012-02-19
Storm,Central African Republic,Sub-Saharan Africa,Africa,2012-05-15,2012-05-16
Storm,Central African Republic,Sub-Saharan Africa,Africa,2013-03-04,2013-03-04
Epidemic,Central African Republic,Sub-Saharan Africa,Africa,2013-01-10,2013-04-16
Flood,Central African Republic,Sub-Saharan Africa,Africa,2013-09-03,2013-09-04
Storm,Central African Republic,Sub-Saharan Africa,Africa,2015-04-24,2015-04-24
Epidemic,Central African Republic,Sub-Saharan Africa,Africa,2016-07-05,2016-09-20
Storm,Central African Republic,Sub-Saharan Africa,Africa,2017-01-15,2017-04-03
Flood,Central African Republic,Sub-Saharan Africa,Africa,2017-08-23,2017-08-31
Epidemic,Central African Republic,Sub-Saharan Africa,Africa,2018-09-10,2018-11-18
Flood,Central African Republic,Sub-Saharan Africa,Africa,2019-09-14,2019-11-13
Epidemic,Central African Republic,Sub-Saharan Africa,Africa,2019-01-01,2020-02-02
Flood,Central African Republic,Sub-Saharan Africa,Africa,2021-08-07,2021-08-07
Wildfire,Central African Republic,Sub-Saharan Africa,Africa,2022-02-24,2022-02-25
Flood,Central African Republic,Sub-Saharan Africa,Africa,2022-07-01,2022-10-31
Drought,Central African Republic,Sub-Saharan Africa,Africa,2022-05-01,2022-11-23
Storm,Central African Republic,Sub-Saharan Africa,Africa,2023-10-31,2023-11-01
Flood,Central African Republic,Sub-Saharan Africa,Africa,2024-08-18,2024-08-18
