Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Chad,Sub-Saharan Africa,Africa,2000-01-07,2000-01-15
Epidemic,Chad,Sub-Saharan Africa,Africa,2000-12-25,2001-03-25
Epidemic,Chad,Sub-Saharan Africa,Africa,2001-06-26,2001-09-04
Flood,Chad,Sub-Saharan Africa,Africa,2001-08-19,2001-10-11
Drought,Chad,Sub-Saharan Africa,Africa,2001-01-01,2001-07-31
Epidemic,Chad,Sub-Saharan Africa,Africa,2003-11-24,2004-01-05
Infestation,Chad,Sub-Saharan Africa,Africa,2004-07-01,2004-07-31
Epidemic,Chad,Sub-Saharan Africa,Africa,2004-06-14,2004-09-09
Epidemic,Chad,Sub-Saharan Africa,Africa,2004-07-17,2004-09-17
Epidemic,Chad,Sub-Saharan Africa,Africa,2005-01-03,2005-05-15
Epidemic,Chad,Sub-Saharan Africa,Africa,2006-06-13,2006-06-30
Flood,Chad,Sub-Saharan Africa,Africa,2006-09-05,2006-10-17
Storm,Chad,Sub-Saharan Africa,Africa,2007-05-07,2007-05-07
Flood,Chad,Sub-Saharan Africa,Africa,2007-08-25,2007-09-09
Flood,Chad,Sub-Saharan Africa,Africa,2007-08-09,2007-08-15
Flood,Chad,Sub-Saharan Africa,Africa,2008-07-20,2008-08-25
Flood,Chad,Sub-Saharan Africa,Africa,2008-09-15,2008-09-15
Epidemic,Chad,Sub-Saharan Africa,Africa,2008-01-01,2008-10-01
Epidemic,Chad,Sub-Saharan Africa,Africa,2009-01-10,2009-04-16
Flood,Chad,Sub-Saharan Africa,Africa,2009-09-12,2009-09-14
Flood,Chad,Sub-Saharan Africa,Africa,2009-08-10,2009-08-11
Drought,Chad,Sub-Saharan Africa,Africa,2009-12-01,2010-07-31
Epidemic,Chad,Sub-Saharan Africa,Africa,2010-01-12,2010-03-15
Epidemic,Chad,Sub-Saharan Africa,Africa,2010-01-11,2010-03-22
Flood,Chad,Sub-Saharan Africa,Africa,2010-08-15,2010-09-17
Epidemic,Chad,Sub-Saharan Africa,Africa,2010-06-10,2010-09-21
Epidemic,Chad,Sub-Saharan Africa,Africa,2011-03-18,2011-03-20
Epidemic,Chad,Sub-Saharan Africa,Africa,2011-08-09,2011-10-14
Epidemic,Chad,Sub-Saharan Africa,Africa,2012-01-12,2012-03-25
Flood,Chad,Sub-Saharan Africa,Africa,2012-07-15,2012-09-24
Flood,Chad,Sub-Saharan Africa,Africa,2012-09-15,2012-10-15
Drought,Chad,Sub-Saharan Africa,Africa,2012-06-01,2013-02-28
Epidemic,Chad,Sub-Saharan Africa,Africa,2017-08-14,2017-10-11
Drought,Chad,Sub-Saharan Africa,Africa,2017-03-01,2017-05-30
Epidemic,Chad,Sub-Saharan Africa,Africa,2018-05-30,2019-04-12
Flood,Chad,Sub-Saharan Africa,Africa,2019-09-14,2019-09-18
Mass_movement_wet,Chad,Sub-Saharan Africa,Africa,2019-09-27,2019-09-27
Flood,Chad,Sub-Saharan Africa,Africa,2020-04-20,2020-04-21
Flood,Chad,Sub-Saharan Africa,Africa,2020-08-01,2020-10-12
Flood,Chad,Sub-Saharan Africa,Africa,2021-06-26,2021-08-31
Flood,Chad,Sub-Saharan Africa,Africa,2022-06-06,2022-10-31
Drought,Chad,Sub-Saharan Africa,Africa,2022-06-07,2022-08-31
Flood,Chad,Sub-Saharan Africa,Africa,2024-03-14,2024-04-29
Flood,Chad,Sub-Saharan Africa,Africa,2024-05-15,2024-08-15
