Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Chile,Latin America and the Caribbean,Americas,2000-06-05,2000-06-16
Flood,Chile,Latin America and the Caribbean,Americas,2000-06-12,2000-06-26
Extreme_temperature,Chile,Latin America and the Caribbean,Americas,2000-07-03,2000-07-03
Flood,Chile,Latin America and the Caribbean,Americas,2001-02-16,2001-02-16
Storm,Chile,Latin America and the Caribbean,Americas,2001-05-29,2001-05-29
Flood,Chile,Latin America and the Caribbean,Americas,2001-05-26,2001-05-26
Wildfire,Chile,Latin America and the Caribbean,Americas,2002-02-12,2002-02-16
Flood,Chile,Latin America and the Caribbean,Americas,2002-05-24,2002-06-05
Extreme_temperature,Chile,Latin America and the Caribbean,Americas,2002-07-08,2002-07-23
Flood,Chile,Latin America and the Caribbean,Americas,2002-08-24,2002-08-29
Flood,Chile,Latin America and the Caribbean,Americas,2002-10-12,2002-11-02
Wildfire,Chile,Latin America and the Caribbean,Americas,2003-01-23,2003-01-23
Flood,Chile,Latin America and the Caribbean,Americas,2004-06-30,2004-07-01
Extreme_temperature,Chile,Latin America and the Caribbean,Americas,2004-07-08,2004-07-23
Storm,Chile,Latin America and the Caribbean,Americas,2005-05-18,2005-05-19
Earthquake,Chile,Latin America and the Caribbean,Americas,2005-06-13,2005-06-13
Flood,Chile,Latin America and the Caribbean,Americas,2005-06-26,2005-06-28
Flood,Chile,Latin America and the Caribbean,Americas,2005-08-26,2005-08-29
Flood,Chile,Latin America and the Caribbean,Americas,2006-07-11,2006-07-17
Earthquake,Chile,Latin America and the Caribbean,Americas,2007-04-21,2007-04-21
Extreme_temperature,Chile,Latin America and the Caribbean,Americas,2007-07-08,2007-07-23
Earthquake,Chile,Latin America and the Caribbean,Americas,2007-11-14,2007-11-14
Volcanic_activity,Chile,Latin America and the Caribbean,Americas,2008-05-02,2008-05-06
Flood,Chile,Latin America and the Caribbean,Americas,2008-05-19,2008-05-27
Flood,Chile,Latin America and the Caribbean,Americas,2008-08-29,2008-09-04
Earthquake,Chile,Latin America and the Caribbean,Americas,2010-02-27,2010-02-27
Extreme_temperature,Chile,Latin America and the Caribbean,Americas,2010-07-08,2010-07-23
Wildfire,Chile,Latin America and the Caribbean,Americas,2011-02-12,2011-02-16
Volcanic_activity,Chile,Latin America and the Caribbean,Americas,2011-06-04,2011-06-17
Wildfire,Chile,Latin America and the Caribbean,Americas,2011-12-29,2012-01-06
Extreme_temperature,Chile,Latin America and the Caribbean,Americas,2011-07-13,2011-07-19
Flood,Chile,Latin America and the Caribbean,Americas,2012-03-01,2012-03-15
Earthquake,Chile,Latin America and the Caribbean,Americas,2012-03-25,2012-03-25
Wildfire,Chile,Latin America and the Caribbean,Americas,2012-01-01,2012-01-06
Extreme_temperature,Chile,Latin America and the Caribbean,Americas,2013-09-10,2013-09-30
Earthquake,Chile,Latin America and the Caribbean,Americas,2014-04-01,2014-04-01
Wildfire,Chile,Latin America and the Caribbean,Americas,2014-04-12,2014-04-21
Flood,Chile,Latin America and the Caribbean,Americas,2014-06-11,2014-06-11
Wildfire,Chile,Latin America and the Caribbean,Americas,2015-03-13,2015-03-21
Flood,Chile,Latin America and the Caribbean,Americas,2015-03-25,2015-04-08
Volcanic_activity,Chile,Latin America and the Caribbean,Americas,2015-04-24,2015-04-30
Volcanic_activity,Chile,Latin America and the Caribbean,Americas,2015-03-15,2015-03-17
Flood,Chile,Latin America and the Caribbean,Americas,2015-05-17,2015-05-21
Storm,Chile,Latin America and the Caribbean,Americas,2015-08-08,2015-08-09
Earthquake,Chile,Latin America and the Caribbean,Americas,2015-09-16,2015-09-16
Flood,Chile,Latin America and the Caribbean,Americas,2016-04-15,2016-04-18
Wildfire,Chile,Latin America and the Caribbean,Americas,2017-01-15,2017-03-16
Flood,Chile,Latin America and the Caribbean,Americas,2017-02-24,2017-03-03
Flood,Chile,Latin America and the Caribbean,Americas,2017-06-16,2017-06-17
Flood,Chile,Latin America and the Caribbean,Americas,2017-05-11,2017-05-15
Mass_movement_wet,Chile,Latin America and the Caribbean,Americas,2017-12-17,2017-12-18
Earthquake,Chile,Latin America and the Caribbean,Americas,2019-01-19,2019-01-19
Flood,Chile,Latin America and the Caribbean,Americas,2019-02-01,2019-02-10
Wildfire,Chile,Latin America and the Caribbean,Americas,2019-12-24,2019-12-26
Storm,Chile,Latin America and the Caribbean,Americas,2021-01-29,2021-02-02
Flood,Chile,Latin America and the Caribbean,Americas,2021-06-01,2021-06-02
Wildfire,Chile,Latin America and the Caribbean,Americas,2022-12-12,2022-12-12
Wildfire,Chile,Latin America and the Caribbean,Americas,2022-12-22,2022-12-29
Wildfire,Chile,Latin America and the Caribbean,Americas,2023-02-01,2023-03-06
Flood,Chile,Latin America and the Caribbean,Americas,2023-06-21,2023-06-25
Flood,Chile,Latin America and the Caribbean,Americas,2023-08-17,2023-08-21
Wildfire,Chile,Latin America and the Caribbean,Americas,2023-12-06,2023-12-11
Wildfire,Chile,Latin America and the Caribbean,Americas,2024-02-01,2024-02-07
Wildfire,Chile,Latin America and the Caribbean,Americas,2024-03-13,2024-03-15
Flood,Chile,Latin America and the Caribbean,Americas,2024-06-04,2024-06-14
Storm,Chile,Latin America and the Caribbean,Americas,2024-06-10,2024-06-16
