Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,2003-07-26,2003-07-26
Storm,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,2003-09-02,2003-09-02
Storm,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,2008-08-05,2008-08-05
Storm,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,2008-09-22,2008-09-22
Storm,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,2008-09-25,2008-09-25
Storm,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,2009-09-15,2009-09-15
Storm,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,2010-07-21,2010-07-23
Storm,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,2017-08-24,2017-08-24
Storm,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,2017-08-27,2017-08-27
Storm,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,2018-09-17,2018-09-17
Storm,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,2021-10-08,2021-10-10
Storm,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,2021-10-13,2021-10-14
Storm,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,2023-09-01,2023-09-02
Flood,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,2023-09-08,2023-09-08
Storm,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,2023-10-06,2023-10-09
