Disaster_Type,Country,Subregion,Region,Start Date,End Date
Earthquake,China,Eastern Asia,Asia,2000-01-14,2000-01-14
Earthquake,China,Eastern Asia,Asia,2000-01-26,2000-01-26
Earthquake,China,Eastern Asia,Asia,2000-01-11,2000-01-11
Storm,China,Eastern Asia,Asia,2000-03-28,2000-03-28
Storm,China,Eastern Asia,Asia,2000-01-10,2000-01-10
Flood,China,Eastern Asia,Asia,2000-04-13,2000-04-17
Storm,China,Eastern Asia,Asia,2000-05-01,2000-05-05
Earthquake,China,Eastern Asia,Asia,2000-06-06,2000-06-06
Flood,China,Eastern Asia,Asia,2000-05-31,2000-06-19
Mass_movement_wet,China,Eastern Asia,Asia,2000-06-05,2000-06-05
Flood,China,Eastern Asia,Asia,2000-06-01,2000-06-01
Storm,China,Eastern Asia,Asia,2000-06-17,2000-06-17
Flood,China,Eastern Asia,Asia,2000-06-17,2000-06-30
Flood,China,Eastern Asia,Asia,2000-06-08,2000-06-08
Storm,China,Eastern Asia,Asia,2000-07-13,2000-07-13
Flood,China,Eastern Asia,Asia,2000-07-18,2000-07-18
Flood,China,Eastern Asia,Asia,2000-07-11,2000-07-14
Earthquake,China,Eastern Asia,Asia,2000-08-21,2000-08-21
Storm,China,Eastern Asia,Asia,2000-08-15,2000-08-16
Storm,China,Eastern Asia,Asia,2000-08-23,2000-08-23
Storm,China,Eastern Asia,Asia,2000-08-15,2000-08-16
Storm,China,Eastern Asia,Asia,2000-09-01,2000-09-06
Mass_movement_wet,China,Eastern Asia,Asia,2000-08-13,2000-08-13
Storm,China,Eastern Asia,Asia,2000-09-09,2000-09-09
Flood,China,Eastern Asia,Asia,2000-10-12,2000-10-18
Drought,China,Eastern Asia,Asia,2000-04-01,2000-07-26
Drought,China,Eastern Asia,Asia,2000-08-01,2000-05-31
Drought,China,Eastern Asia,Asia,2000-09-01,2000-05-31
Storm,China,Eastern Asia,Asia,2001-01-01,2001-02-17
Earthquake,China,Eastern Asia,Asia,2001-02-23,2001-02-23
Earthquake,China,Eastern Asia,Asia,2001-04-12,2001-04-12
Earthquake,China,Eastern Asia,Asia,2001-05-23,2001-05-23
Mass_movement_wet,China,Eastern Asia,Asia,2001-05-01,2001-05-01
Flood,China,Eastern Asia,Asia,2001-06-02,2001-06-02
Storm,China,Eastern Asia,Asia,2001-06-23,2001-06-25
Flood,China,Eastern Asia,Asia,2001-04-20,2001-04-20
Storm,China,Eastern Asia,Asia,2001-07-01,2001-07-01
Infestation,China,Eastern Asia,Asia,2001-06-01,2001-06-30
Flood,China,Eastern Asia,Asia,2001-06-27,2001-06-27
Flood,China,Eastern Asia,Asia,2001-08-25,2001-08-25
Mass_movement_wet,China,Eastern Asia,Asia,2001-07-02,2001-07-02
Earthquake,China,Eastern Asia,Asia,2001-07-14,2001-07-14
Flood,China,Eastern Asia,Asia,2001-07-25,2001-07-26
Storm,China,Eastern Asia,Asia,2001-07-25,2001-08-01
Storm,China,Eastern Asia,Asia,2001-07-24,2001-07-24
Mass_movement_wet,China,Eastern Asia,Asia,2001-08-01,2001-08-01
Storm,China,Eastern Asia,Asia,2001-06-19,2001-06-19
Storm,China,Eastern Asia,Asia,2001-07-07,2001-07-07
Storm,China,Eastern Asia,Asia,2001-09-01,2001-09-01
Flood,China,Eastern Asia,Asia,2001-09-19,2001-09-22
Mass_movement_wet,China,Eastern Asia,Asia,2001-09-25,2001-09-25
Mass_movement_wet,China,Eastern Asia,Asia,2001-09-28,2001-09-28
Earthquake,China,Eastern Asia,Asia,2001-10-27,2001-10-27
Flood,China,Eastern Asia,Asia,2001-12-17,2001-12-18
Flood,China,Eastern Asia,Asia,2001-06-15,2001-06-15
Flood,China,Eastern Asia,Asia,2001-06-19,2001-06-23
Mass_movement_wet,China,Eastern Asia,Asia,2001-07-28,2001-07-28
Storm,China,Eastern Asia,Asia,2001-03-25,2001-03-26
Storm,China,Eastern Asia,Asia,2001-08-28,2001-09-09
Drought,China,Eastern Asia,Asia,2001-02-01,2001-07-30
Drought,China,Eastern Asia,Asia,2001-03-01,2001-07-30
Storm,China,Eastern Asia,Asia,2002-03-14,2002-03-21
Flood,China,Eastern Asia,Asia,2002-05-16,2002-05-15
Flood,China,Eastern Asia,Asia,2002-05-22,2002-05-29
Flood,China,Eastern Asia,Asia,2002-05-23,2002-06-22
Flood,China,Eastern Asia,Asia,2002-06-08,2002-06-18
Mass_movement_wet,China,Eastern Asia,Asia,2002-06-14,2002-06-14
