Disaster_Type,Country,Subregion,Region,Start Date,End Date
Earthquake,Colombia,Latin America and the Caribbean,Americas,2000-11-08,2000-11-08
Flood,Colombia,Latin America and the Caribbean,Americas,2000-02-14,2000-02-17
Flood,Colombia,Latin America and the Caribbean,Americas,2000-05-18,2000-05-24
Flood,Colombia,Latin America and the Caribbean,Americas,2000-09-20,2000-09-20
Flood,Colombia,Latin America and the Caribbean,Americas,2001-04-09,2001-04-09
Storm,Colombia,Latin America and the Caribbean,Americas,2001-06-01,2001-06-01
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2001-06-05,2001-06-05
Wildfire,Colombia,Latin America and the Caribbean,Americas,2001-08-12,2001-08-12
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2001-11-22,2001-11-22
Flood,Colombia,Latin America and the Caribbean,Americas,2001-12-15,2001-12-25
Flood,Colombia,Latin America and the Caribbean,Americas,2002-04-24,2002-04-29
Flood,Colombia,Latin America and the Caribbean,Americas,2002-06-04,2002-06-13
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2002-10-27,2002-10-29
Flood,Colombia,Latin America and the Caribbean,Americas,2002-07-05,2002-08-08
Flood,Colombia,Latin America and the Caribbean,Americas,2002-11-15,2002-11-20
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2003-03-19,2003-03-19
Flood,Colombia,Latin America and the Caribbean,Americas,2003-06-14,2003-06-16
Flood,Colombia,Latin America and the Caribbean,Americas,2003-08-15,2003-12-18
Flood,Colombia,Latin America and the Caribbean,Americas,2003-05-14,2003-05-28
Flood,Colombia,Latin America and the Caribbean,Americas,2004-01-14,2004-06-28
Earthquake,Colombia,Latin America and the Caribbean,Americas,2004-08-18,2004-08-18
Flood,Colombia,Latin America and the Caribbean,Americas,2004-10-11,2004-10-26
Earthquake,Colombia,Latin America and the Caribbean,Americas,2004-11-15,2004-11-15
Flood,Colombia,Latin America and the Caribbean,Americas,2005-02-11,2005-02-26
Flood,Colombia,Latin America and the Caribbean,Americas,2005-04-12,2005-05-07
Flood,Colombia,Latin America and the Caribbean,Americas,2005-09-15,2005-11-17
Storm,Colombia,Latin America and the Caribbean,Americas,2005-10-29,2005-10-29
Volcanic_activity,Colombia,Latin America and the Caribbean,Americas,2005-11-24,2005-11-24
Flood,Colombia,Latin America and the Caribbean,Americas,2006-01-01,2006-04-27
Volcanic_activity,Colombia,Latin America and the Caribbean,Americas,2006-03-28,2006-07-12
Volcanic_activity,Colombia,Latin America and the Caribbean,Americas,2006-07-12,2006-07-12
Volcanic_activity,Colombia,Latin America and the Caribbean,Americas,2007-04-18,2007-04-18
Flood,Colombia,Latin America and the Caribbean,Americas,2007-03-06,2007-09-30
Flood,Colombia,Latin America and the Caribbean,Americas,2007-05-19,2007-06-12
Flood,Colombia,Latin America and the Caribbean,Americas,2007-04-26,2007-05-01
Earthquake,Colombia,Latin America and the Caribbean,Americas,2007-09-10,2007-09-10
Flood,Colombia,Latin America and the Caribbean,Americas,2007-10-20,2007-10-26
Volcanic_activity,Colombia,Latin America and the Caribbean,Americas,2008-01-17,2008-01-17
Flood,Colombia,Latin America and the Caribbean,Americas,2008-03-11,2008-03-14
Volcanic_activity,Colombia,Latin America and the Caribbean,Americas,2008-04-14,2008-04-14
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2008-05-31,2008-05-31
Mass_movement_dry,Colombia,Latin America and the Caribbean,Americas,2008-11-16,2008-11-16
Volcanic_activity,Colombia,Latin America and the Caribbean,Americas,2008-11-20,2008-11-20
Flood,Colombia,Latin America and the Caribbean,Americas,2008-09-15,2009-01-12
Earthquake,Colombia,Latin America and the Caribbean,Americas,2008-05-24,2008-05-24
Flood,Colombia,Latin America and the Caribbean,Americas,2009-02-15,2009-02-17
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2009-02-07,2009-02-07
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2009-07-23,2009-07-23
Flood,Colombia,Latin America and the Caribbean,Americas,2010-04-06,2011-03-07
Wildfire,Colombia,Latin America and the Caribbean,Americas,2010-01-12,2010-04-06
Flood,Colombia,Latin America and the Caribbean,Americas,2010-08-09,2010-08-13
Flood,Colombia,Latin America and the Caribbean,Americas,2010-07-01,2010-07-12
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2010-09-27,2010-09-27
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2010-12-05,2010-12-05
Flood,Colombia,Latin America and the Caribbean,Americas,2011-04-15,2011-07-17
Flood,Colombia,Latin America and the Caribbean,Americas,2011-09-01,2011-12-29
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2011-11-04,2011-11-05
Epidemic,Colombia,Latin America and the Caribbean,Americas,2012-04-12,2012-06-14
Flood,Colombia,Latin America and the Caribbean,Americas,2012-04-20,2012-04-26
Flood,Colombia,Latin America and the Caribbean,Americas,2012-03-15,2012-05-14
Flood,Colombia,Latin America and the Caribbean,Americas,2012-10-05,2012-10-19
Earthquake,Colombia,Latin America and the Caribbean,Americas,2013-02-09,2013-02-09
Epidemic,Colombia,Latin America and the Caribbean,Americas,2013-07-15,2013-10-14
Flood,Colombia,Latin America and the Caribbean,Americas,2013-09-15,2013-12-01
Flood,Colombia,Latin America and the Caribbean,Americas,2014-01-06,2014-01-06
Storm,Colombia,Latin America and the Caribbean,Americas,2014-10-06,2014-10-06
Flood,Colombia,Latin America and the Caribbean,Americas,2014-03-15,2014-05-15
Flood,Colombia,Latin America and the Caribbean,Americas,2014-06-14,2014-06-14
Flood,Colombia,Latin America and the Caribbean,Americas,2014-11-01,2014-12-20
Earthquake,Colombia,Latin America and the Caribbean,Americas,2015-03-10,2015-03-10
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2015-05-17,2015-05-18
Flood,Colombia,Latin America and the Caribbean,Americas,2015-07-22,2015-08-06
Wildfire,Colombia,Latin America and the Caribbean,Americas,2015-07-10,2015-10-12
Drought,Colombia,Latin America and the Caribbean,Americas,2015-10-01,2016-02-28
Epidemic,Colombia,Latin America and the Caribbean,Americas,2016-04-03,2017-01-10
Flood,Colombia,Latin America and the Caribbean,Americas,2016-11-26,2016-12-05
Flood,Colombia,Latin America and the Caribbean,Americas,2016-10-18,2016-10-22
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2017-03-31,2017-04-01
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2017-04-17,2017-04-21
Flood,Colombia,Latin America and the Caribbean,Americas,2017-03-17,2017-03-27
Flood,Colombia,Latin America and the Caribbean,Americas,2017-02-23,2017-03-03
Flood,Colombia,Latin America and the Caribbean,Americas,2017-01-05,2017-02-07
Storm,Colombia,Latin America and the Caribbean,Americas,2017-10-04,2017-10-04
Flood,Colombia,Latin America and the Caribbean,Americas,2017-11-09,2017-11-09
Flood,Colombia,Latin America and the Caribbean,Americas,2018-03-12,2018-04-17
Flood,Colombia,Latin America and the Caribbean,Americas,2018-10-01,2018-10-17
Flood,Colombia,Latin America and the Caribbean,Americas,2019-02-20,2019-02-26
Flood,Colombia,Latin America and the Caribbean,Americas,2019-04-07,2019-04-15
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2019-04-21,2019-04-21
Epidemic,Colombia,Latin America and the Caribbean,Americas,2019-01-15,2019-08-31
Flood,Colombia,Latin America and the Caribbean,Americas,2019-10-27,2019-11-17
Flood,Colombia,Latin America and the Caribbean,Americas,2019-12-06,2019-12-11
Flood,Colombia,Latin America and the Caribbean,Americas,2019-12-26,2019-12-26
Flood,Colombia,Latin America and the Caribbean,Americas,2020-02-26,2020-02-27
Flood,Colombia,Latin America and the Caribbean,Americas,2020-07-01,2020-07-15
Storm,Colombia,Latin America and the Caribbean,Americas,2020-11-02,2020-11-04
Flood,Colombia,Latin America and the Caribbean,Americas,2020-10-31,2020-11-02
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2020-11-23,2020-11-23
Storm,Colombia,Latin America and the Caribbean,Americas,2020-11-14,2020-11-17
Flood,Colombia,Latin America and the Caribbean,Americas,2021-04-01,2021-04-05
Flood,Colombia,Latin America and the Caribbean,Americas,2021-04-14,2021-04-14
Flood,Colombia,Latin America and the Caribbean,Americas,2021-04-11,2021-04-16
Flood,Colombia,Latin America and the Caribbean,Americas,2021-04-27,2021-04-29
Flood,Colombia,Latin America and the Caribbean,Americas,2021-06-04,2021-06-04
Flood,Colombia,Latin America and the Caribbean,Americas,2021-09-22,2021-09-29
Flood,Colombia,Latin America and the Caribbean,Americas,2021-09-15,2021-10-22
Flood,Colombia,Latin America and the Caribbean,Americas,2021-10-26,2021-10-29
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2021-11-02,2021-11-02
Flood,Colombia,Latin America and the Caribbean,Americas,2021-11-19,2021-11-20
Flood,Colombia,Latin America and the Caribbean,Americas,2021-11-30,2021-12-06
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2022-02-01,2022-02-08
Flood,Colombia,Latin America and the Caribbean,Americas,2022-02-18,2022-02-22
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2022-03-01,2022-03-15
Flood,Colombia,Latin America and the Caribbean,Americas,2022-03-15,2022-04-03
Flood,Colombia,Latin America and the Caribbean,Americas,2022-04-07,2022-04-08
Flood,Colombia,Latin America and the Caribbean,Americas,2022-04-14,2022-04-21
Flood,Colombia,Latin America and the Caribbean,Americas,2022-04-21,2022-04-22
Flood,Colombia,Latin America and the Caribbean,Americas,2022-05-25,2022-05-27
Storm,Colombia,Latin America and the Caribbean,Americas,2022-10-09,2022-10-10
Flood,Colombia,Latin America and the Caribbean,Americas,2022-08-27,2022-10-18
Flood,Colombia,Latin America and the Caribbean,Americas,2022-10-19,2022-10-31
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2022-11-06,2022-11-09
Flood,Colombia,Latin America and the Caribbean,Americas,2022-11-14,2022-11-15
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2022-12-04,2022-12-04
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2023-01-10,2023-01-10
Flood,Colombia,Latin America and the Caribbean,Americas,2023-03-28,2023-03-31
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2023-07-18,2023-07-18
Flood,Colombia,Latin America and the Caribbean,Americas,2023-10-30,2023-11-28
Mass_movement_wet,Colombia,Latin America and the Caribbean,Americas,2024-01-12,2024-01-12
Storm,Colombia,Latin America and the Caribbean,Americas,2024-05-16,2024-05-18
Volcanic_activity,Colombia,Latin America and the Caribbean,Americas,2024-11-11,2024-11-12
Storm,Colombia,Latin America and the Caribbean,Americas,2024-10-15,2024-11-11
