Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Comoros,Sub-Saharan Africa,Africa,2003-04-25,2003-04-27
Epidemic,Comoros,Sub-Saharan Africa,Africa,2005-03-12,2005-03-12
Volcanic_activity,Comoros,Sub-Saharan Africa,Africa,2005-04-16,2005-04-16
Volcanic_activity,Comoros,Sub-Saharan Africa,Africa,2005-11-24,2005-12-10
Volcanic_activity,Comoros,Sub-Saharan Africa,Africa,2006-05-28,2006-05-28
Epidemic,Comoros,Sub-Saharan Africa,Africa,2007-03-10,2007-09-15
Flood,Comoros,Sub-Saharan Africa,Africa,2009-04-20,2009-04-24
Flood,Comoros,Sub-Saharan Africa,Africa,2012-04-20,2012-04-28
Storm,Comoros,Sub-Saharan Africa,Africa,2014-03-27,2014-03-29
Earthquake,Comoros,Sub-Saharan Africa,Africa,2014-03-12,2014-03-12
Storm,Comoros,Sub-Saharan Africa,Africa,2019-04-24,2019-04-25
Storm,Comoros,Sub-Saharan Africa,Africa,2019-12-05,2019-12-08
Storm,Comoros,Sub-Saharan Africa,Africa,2024-12-13,2024-12-17
