Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Congo,Sub-Saharan Africa,Africa,2000-01-07,2000-01-15
Epidemic,Congo,Sub-Saharan Africa,Africa,2001-11-12,2002-03-21
Flood,Congo,Sub-Saharan Africa,Africa,2002-11-10,2003-01-05
Epidemic,Congo,Sub-Saharan Africa,Africa,2002-12-31,2003-05-06
Epidemic,Congo,Sub-Saharan Africa,Africa,2003-10-12,2003-12-24
Epidemic,Congo,Sub-Saharan Africa,Africa,2005-04-25,2005-06-15
Flood,Congo,Sub-Saharan Africa,Africa,2005-12-24,2005-12-28
Flood,Congo,Sub-Saharan Africa,Africa,2006-11-04,2006-11-18
Epidemic,Congo,Sub-Saharan Africa,Africa,2006-12-04,2007-04-04
Flood,Congo,Sub-Saharan Africa,Africa,2007-10-26,2007-10-26
Epidemic,Congo,Sub-Saharan Africa,Africa,2008-06-05,2008-06-25
Epidemic,Congo,Sub-Saharan Africa,Africa,2008-02-11,2008-08-17
Epidemic,Congo,Sub-Saharan Africa,Africa,2010-10-17,2010-11-22
Epidemic,Congo,Sub-Saharan Africa,Africa,2011-06-14,2011-12-27
Epidemic,Congo,Sub-Saharan Africa,Africa,2011-05-11,2011-07-15
Epidemic,Congo,Sub-Saharan Africa,Africa,2011-06-10,2011-06-16
Epidemic,Congo,Sub-Saharan Africa,Africa,2012-01-12,2012-02-15
Flood,Congo,Sub-Saharan Africa,Africa,2012-11-17,2012-11-18
Flood,Congo,Sub-Saharan Africa,Africa,2012-12-08,2012-12-09
Epidemic,Congo,Sub-Saharan Africa,Africa,2013-04-10,2013-06-16
Epidemic,Congo,Sub-Saharan Africa,Africa,2019-01-13,2019-02-15
Epidemic,Congo,Sub-Saharan Africa,Africa,2019-01-10,2019-06-16
Epidemic,Congo,Sub-Saharan Africa,Africa,2019-01-10,2019-09-16
Flood,Congo,Sub-Saharan Africa,Africa,2019-11-20,2019-11-25
Flood,Congo,Sub-Saharan Africa,Africa,2019-12-13,2020-03-22
Flood,Congo,Sub-Saharan Africa,Africa,2020-03-30,2020-04-02
Flood,Congo,Sub-Saharan Africa,Africa,2020-11-02,2020-11-02
Flood,Congo,Sub-Saharan Africa,Africa,2021-11-29,2021-12-08
Flood,Congo,Sub-Saharan Africa,Africa,2022-09-14,2022-11-18
Epidemic,Congo,Sub-Saharan Africa,Africa,2023-07-17,2023-08-30
Flood,Congo,Sub-Saharan Africa,Africa,2023-12-07,2024-01-15
