Disaster_Type,Country,Subregion,Region,Start Date,End Date
Mass_movement_wet,Costa Rica,Latin America and the Caribbean,Americas,2000-06-27,2000-06-27
Flood,Costa Rica,Latin America and the Caribbean,Americas,2001-10-19,2001-10-19
Flood,Costa Rica,Latin America and the Caribbean,Americas,2002-05-06,2002-05-11
Flood,Costa Rica,Latin America and the Caribbean,Americas,2002-11-23,2002-12-13
Earthquake,Costa Rica,Latin America and the Caribbean,Americas,2003-12-25,2003-12-25
Flood,Costa Rica,Latin America and the Caribbean,Americas,2003-12-12,2003-12-14
Flood,Costa Rica,Latin America and the Caribbean,Americas,2004-05-10,2004-05-11
Flood,Costa Rica,Latin America and the Caribbean,Americas,2004-11-15,2004-11-20
Earthquake,Costa Rica,Latin America and the Caribbean,Americas,2004-11-20,2004-11-20
Flood,Costa Rica,Latin America and the Caribbean,Americas,2005-01-11,2005-01-18
Flood,Costa Rica,Latin America and the Caribbean,Americas,2005-09-18,2005-09-27
Storm,Costa Rica,Latin America and the Caribbean,Americas,2005-10-01,2005-10-16
Flood,Costa Rica,Latin America and the Caribbean,Americas,2007-09-20,2007-09-26
Flood,Costa Rica,Latin America and the Caribbean,Americas,2007-10-12,2007-10-26
Storm,Costa Rica,Latin America and the Caribbean,Americas,2008-05-28,2008-05-28
Flood,Costa Rica,Latin America and the Caribbean,Americas,2008-09-02,2008-09-05
Flood,Costa Rica,Latin America and the Caribbean,Americas,2008-10-13,2008-10-18
Flood,Costa Rica,Latin America and the Caribbean,Americas,2008-11-22,2008-11-25
Earthquake,Costa Rica,Latin America and the Caribbean,Americas,2009-01-08,2009-01-08
Flood,Costa Rica,Latin America and the Caribbean,Americas,2010-09-06,2010-09-14
Flood,Costa Rica,Latin America and the Caribbean,Americas,2010-11-01,2010-11-05
Flood,Costa Rica,Latin America and the Caribbean,Americas,2011-10-17,2011-10-19
Flood,Costa Rica,Latin America and the Caribbean,Americas,2012-07-29,2012-07-29
Earthquake,Costa Rica,Latin America and the Caribbean,Americas,2012-09-05,2012-09-05
Epidemic,Costa Rica,Latin America and the Caribbean,Americas,2013-07-12,2013-07-14
Drought,Costa Rica,Latin America and the Caribbean,Americas,2015-08-07,2015-08-31
Volcanic_activity,Costa Rica,Latin America and the Caribbean,Americas,2015-03-12,2015-03-12
Flood,Costa Rica,Latin America and the Caribbean,Americas,2015-06-27,2015-07-09
Storm,Costa Rica,Latin America and the Caribbean,Americas,2016-11-23,2016-11-25
Storm,Costa Rica,Latin America and the Caribbean,Americas,2017-09-04,2017-10-06
Flood,Costa Rica,Latin America and the Caribbean,Americas,2018-10-02,2018-10-11
Drought,Costa Rica,Latin America and the Caribbean,Americas,2019-03-01,2019-03-30
Epidemic,Costa Rica,Latin America and the Caribbean,Americas,2019-01-13,2019-08-09
Storm,Costa Rica,Latin America and the Caribbean,Americas,2020-11-03,2020-11-04
Flood,Costa Rica,Latin America and the Caribbean,Americas,2021-07-22,2021-07-28
Storm,Costa Rica,Latin America and the Caribbean,Americas,2022-10-08,2022-10-20
Epidemic,Costa Rica,Latin America and the Caribbean,Americas,2023-08-15,2023-10-14
Storm,Costa Rica,Latin America and the Caribbean,Americas,2024-11-15,2024-11-16
