Disaster_Type,Country,Subregion,Region,Start Date,End Date
Extreme_temperature,Croatia,Southern Europe,Europe,2000-06-26,2000-06-22
Wildfire,Croatia,Southern Europe,Europe,2000-08-18,2000-08-24
Flood,Croatia,Southern Europe,Europe,2000-12-28,2000-12-30
Flood,Croatia,Southern Europe,Europe,2001-09-06,2001-09-06
Wildfire,Croatia,Southern Europe,Europe,2003-07-18,2003-07-23
Extreme_temperature,Croatia,Southern Europe,Europe,2003-07-20,2003-07-22
Drought,Croatia,Southern Europe,Europe,2003-02-01,2003-05-21
Storm,Croatia,Southern Europe,Europe,2005-02-16,2005-02-18
Extreme_temperature,Croatia,Southern Europe,Europe,2005-12-27,2005-12-30
Flood,Croatia,Southern Europe,Europe,2005-08-13,2005-08-11
Flood,Croatia,Southern Europe,Europe,2006-04-04,2006-05-11
Wildfire,Croatia,Southern Europe,Europe,2007-08-04,2007-08-05
Wildfire,Croatia,Southern Europe,Europe,2007-08-30,2007-08-30
Flood,Croatia,Southern Europe,Europe,2010-06-03,2010-06-03
Flood,Croatia,Southern Europe,Europe,2010-12-03,2010-12-03
Extreme_temperature,Croatia,Southern Europe,Europe,2010-12-18,2010-12-25
Extreme_temperature,Croatia,Southern Europe,Europe,2012-02-23,2012-02-15
Extreme_temperature,Croatia,Southern Europe,Europe,2012-12-07,2012-12-31
Flood,Croatia,Southern Europe,Europe,2012-11-05,2012-11-06
Flood,Croatia,Southern Europe,Europe,2014-05-15,2014-05-20
Flood,Croatia,Southern Europe,Europe,2014-09-14,2014-09-15
Flood,Croatia,Southern Europe,Europe,2015-10-14,2015-10-16
Wildfire,Croatia,Southern Europe,Europe,2017-07-16,2017-07-18
Storm,Croatia,Southern Europe,Europe,2017-09-11,2017-09-11
Flood,Croatia,Southern Europe,Europe,2018-03-18,2018-03-18
Flood,Croatia,Southern Europe,Europe,2019-05-12,2019-05-15
Earthquake,Croatia,Southern Europe,Europe,2020-03-22,2020-03-22
Earthquake,Croatia,Southern Europe,Europe,2020-12-29,2020-12-29
Extreme_temperature,Croatia,Southern Europe,Europe,2022-05-30,2022-09-04
Flood,Croatia,Southern Europe,Europe,2022-12-11,2022-12-11
Flood,Croatia,Southern Europe,Europe,2023-05-12,2023-05-17
Extreme_temperature,Croatia,Southern Europe,Europe,2023-07-18,2023-08-22
Storm,Croatia,Southern Europe,Europe,2023-07-18,2023-07-20
