Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Czechia,Eastern Europe,Europe,2000-03-08,2000-03-13
Storm,Czechia,Eastern Europe,Europe,2002-01-19,2002-01-19
Flood,Czechia,Eastern Europe,Europe,2002-08-07,2002-08-28
Storm,Czechia,Eastern Europe,Europe,2002-10-26,2002-10-28
Extreme_temperature,Czechia,Eastern Europe,Europe,2003-07-19,2003-07-22
Storm,Czechia,Eastern Europe,Europe,2005-02-18,2005-02-19
Flood,Czechia,Eastern Europe,Europe,2005-03-17,2005-03-25
Extreme_temperature,Czechia,Eastern Europe,Europe,2005-12-27,2006-01-30
Flood,Czechia,Eastern Europe,Europe,2006-03-28,2006-04-17
Flood,Czechia,Eastern Europe,Europe,2006-06-30,2006-06-30
Storm,Czechia,Eastern Europe,Europe,2007-01-18,2007-01-18
Storm,Czechia,Eastern Europe,Europe,2008-02-29,2008-03-02
Flood,Czechia,Eastern Europe,Europe,2009-06-22,2009-06-28
Storm,Czechia,Eastern Europe,Europe,2009-07-23,2009-07-24
Flood,Czechia,Eastern Europe,Europe,2010-05-15,2010-05-26
Flood,Czechia,Eastern Europe,Europe,2010-06-01,2010-06-01
Flood,Czechia,Eastern Europe,Europe,2010-08-07,2010-08-08
Extreme_temperature,Czechia,Eastern Europe,Europe,2010-11-19,2010-12-21
Extreme_temperature,Czechia,Eastern Europe,Europe,2012-01-20,2012-02-20
Extreme_temperature,Czechia,Eastern Europe,Europe,2012-12-07,2012-12-07
Flood,Czechia,Eastern Europe,Europe,2013-06-01,2013-06-07
Storm,Czechia,Eastern Europe,Europe,2017-08-10,2017-08-11
Extreme_temperature,Czechia,Eastern Europe,Europe,2018-02-23,2018-02-28
Storm,Czechia,Eastern Europe,Europe,2020-02-07,2020-02-08
Storm,Czechia,Eastern Europe,Europe,2021-06-24,2021-06-25
Flood,Czechia,Eastern Europe,Europe,2021-07-13,2021-07-17
Storm,Czechia,Eastern Europe,Europe,2021-10-21,2021-10-22
Storm,Czechia,Eastern Europe,Europe,2022-01-28,2022-01-31
Storm,Czechia,Eastern Europe,Europe,2022-02-16,2022-02-17
Extreme_temperature,Czechia,Eastern Europe,Europe,2022-05-30,2022-09-04
Flood,Czechia,Eastern Europe,Europe,2023-05-13,2023-05-13
Extreme_temperature,Czechia,Eastern Europe,Europe,2023-07-19,2023-08-17
Storm,Czechia,Eastern Europe,Europe,2024-09-13,2024-09-14
