Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Côte d’Ivoire,Sub-Saharan Africa,Africa,2001-03-23,2001-10-08
Epidemic,Côte d’Ivoire,Sub-Saharan Africa,Africa,2001-05-10,2001-09-21
Epidemic,Côte d’Ivoire,Sub-Saharan Africa,Africa,2002-01-07,2002-01-15
Epidemic,Côte d’Ivoire,Sub-Saharan Africa,Africa,2002-01-10,2002-07-14
Epidemic,Côte d’Ivoire,Sub-Saharan Africa,Africa,2002-12-22,2003-01-05
Epidemic,Côte d’Ivoire,Sub-Saharan Africa,Africa,2005-01-11,2005-03-16
Epidemic,Côte d’Ivoire,Sub-Saharan Africa,Africa,2006-02-25,2006-02-25
Epidemic,Côte d’Ivoire,Sub-Saharan Africa,Africa,2006-01-11,2006-08-16
Epidemic,Côte d’Ivoire,Sub-Saharan Africa,Africa,2007-01-11,2007-02-17
Flood,Côte d’Ivoire,Sub-Saharan Africa,Africa,2007-07-27,2007-07-27
Epidemic,Côte d’Ivoire,Sub-Saharan Africa,Africa,2008-01-13,2008-02-15
Flood,Côte d’Ivoire,Sub-Saharan Africa,Africa,2008-07-03,2008-07-03
Mass_movement_wet,Côte d’Ivoire,Sub-Saharan Africa,Africa,2009-06-11,2009-06-12
Flood,Côte d’Ivoire,Sub-Saharan Africa,Africa,2010-06-24,2010-06-27
Flood,Côte d’Ivoire,Sub-Saharan Africa,Africa,2010-08-14,2010-08-18
Flood,Côte d’Ivoire,Sub-Saharan Africa,Africa,2014-06-19,2014-07-11
Flood,Côte d’Ivoire,Sub-Saharan Africa,Africa,2014-06-02,2014-06-07
Flood,Côte d’Ivoire,Sub-Saharan Africa,Africa,2015-06-07,2015-06-21
Flood,Côte d’Ivoire,Sub-Saharan Africa,Africa,2016-09-28,2016-09-28
Flood,Côte d’Ivoire,Sub-Saharan Africa,Africa,2017-06-10,2017-06-21
Epidemic,Côte d’Ivoire,Sub-Saharan Africa,Africa,2017-04-22,2017-07-11
Flood,Côte d’Ivoire,Sub-Saharan Africa,Africa,2018-06-18,2018-06-19
Flood,Côte d’Ivoire,Sub-Saharan Africa,Africa,2019-10-11,2019-10-13
Flood,Côte d’Ivoire,Sub-Saharan Africa,Africa,2020-06-15,2020-06-17
Flood,Côte d’Ivoire,Sub-Saharan Africa,Africa,2022-06-16,2022-06-21
Flood,Côte d’Ivoire,Sub-Saharan Africa,Africa,2024-06-13,2024-06-25
