Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Democratic People's Republic of Korea,Eastern Asia,Asia,2000-08-31,2000-09-04
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2001-08-01,2001-08-04
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2001-10-09,2001-10-11
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2002-08-05,2002-08-11
Storm,Democratic People's Republic of Korea,Eastern Asia,Asia,2002-08-31,2002-09-06
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2004-07-24,2004-07-25
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2004-09-11,2004-09-13
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2005-06-30,2005-07-02
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2006-07-12,2006-07-20
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2006-10-21,2006-10-25
Epidemic,Democratic People's Republic of Korea,Eastern Asia,Asia,2006-11-01,2007-02-12
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2007-08-07,2007-08-25
Storm,Democratic People's Republic of Korea,Eastern Asia,Asia,2007-09-17,2007-09-25
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2010-07-27,2010-08-08
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2010-08-21,2010-08-21
Storm,Democratic People's Republic of Korea,Eastern Asia,Asia,2010-09-02,2010-09-02
Storm,Democratic People's Republic of Korea,Eastern Asia,Asia,2011-08-07,2011-08-09
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2011-06-23,2011-07-16
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2011-07-25,2011-07-28
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2012-07-18,2012-07-29
Storm,Democratic People's Republic of Korea,Eastern Asia,Asia,2012-08-28,2012-08-30
Drought,Democratic People's Republic of Korea,Eastern Asia,Asia,2012-04-01,2012-07-26
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2013-07-12,2013-07-23
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2015-08-01,2015-08-05
Drought,Democratic People's Republic of Korea,Eastern Asia,Asia,2015-06-01,2015-07-31
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2016-08-29,2016-09-06
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2016-07-22,2016-07-24
Epidemic,Democratic People's Republic of Korea,Eastern Asia,Asia,2017-12-01,2018-01-23
Drought,Democratic People's Republic of Korea,Eastern Asia,Asia,2017-01-01,2017-07-30
Extreme_temperature,Democratic People's Republic of Korea,Eastern Asia,Asia,2018-07-11,2018-08-03
Storm,Democratic People's Republic of Korea,Eastern Asia,Asia,2018-08-23,2018-08-24
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2018-08-24,2018-09-06
Storm,Democratic People's Republic of Korea,Eastern Asia,Asia,2019-09-06,2019-09-07
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2020-08-04,2020-08-10
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2021-08-07,2021-08-09
Flood,Democratic People's Republic of Korea,Eastern Asia,Asia,2024-07-27,2024-07-28
