Disaster_Type,Country,Subregion,Region,Start Date,End Date
Drought,Djibouti,Sub-Saharan Africa,Africa,2001-06-07,2001-08-31
Epidemic,Djibouti,Sub-Saharan Africa,Africa,2000-06-10,2000-06-16
Flood,Djibouti,Sub-Saharan Africa,Africa,2004-04-12,2004-04-16
Drought,Djibouti,Sub-Saharan Africa,Africa,2005-04-01,2006-04-26
Epidemic,Djibouti,Sub-Saharan Africa,Africa,2007-01-11,2007-11-16
Drought,Djibouti,Sub-Saharan Africa,Africa,2007-01-01,2007-01-31
Drought,Djibouti,Sub-Saharan Africa,Africa,2008-07-01,2009-07-31
Drought,Djibouti,Sub-Saharan Africa,Africa,2010-11-01,2011-07-31
Storm,Djibouti,Sub-Saharan Africa,Africa,2018-05-20,2018-05-21
Flood,Djibouti,Sub-Saharan Africa,Africa,2019-11-21,2019-11-28
Infestation,Djibouti,Sub-Saharan Africa,Africa,2020-02-01,2020-02-28
Flood,Djibouti,Sub-Saharan Africa,Africa,2020-04-20,2020-04-26
Drought,Djibouti,Sub-Saharan Africa,Africa,2022-06-01,2022-07-31
