Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Ecuador,Latin America and the Caribbean,Americas,2000-03-10,2000-03-14
Epidemic,Ecuador,Latin America and the Caribbean,Americas,2000-03-10,2000-03-14
Mass_movement_wet,Ecuador,Latin America and the Caribbean,Americas,2000-04-12,2000-04-12
Flood,Ecuador,Latin America and the Caribbean,Americas,2000-05-22,2000-05-22
Mass_movement_wet,Ecuador,Latin America and the Caribbean,Americas,2000-10-14,2000-10-14
Flood,Ecuador,Latin America and the Caribbean,Americas,2001-03-08,2001-03-10
Flood,Ecuador,Latin America and the Caribbean,Americas,2001-06-11,2001-06-20
Volcanic_activity,Ecuador,Latin America and the Caribbean,Americas,2001-08-14,2001-08-14
Flood,Ecuador,Latin America and the Caribbean,Americas,2002-03-06,2002-04-29
Flood,Ecuador,Latin America and the Caribbean,Americas,2002-03-19,2002-03-19
Mass_movement_dry,Ecuador,Latin America and the Caribbean,Americas,2002-07-16,2002-07-16
Epidemic,Ecuador,Latin America and the Caribbean,Americas,2002-01-12,2002-08-02
Volcanic_activity,Ecuador,Latin America and the Caribbean,Americas,2002-11-03,2002-11-04
Volcanic_activity,Ecuador,Latin America and the Caribbean,Americas,2002-10-02,2002-10-02
Volcanic_activity,Ecuador,Latin America and the Caribbean,Americas,2003-06-05,2003-07-05
Flood,Ecuador,Latin America and the Caribbean,Americas,2003-05-06,2003-05-06
Flood,Ecuador,Latin America and the Caribbean,Americas,2006-02-16,2006-05-06
Volcanic_activity,Ecuador,Latin America and the Caribbean,Americas,2006-05-10,2006-05-23
Volcanic_activity,Ecuador,Latin America and the Caribbean,Americas,2006-07-14,2006-08-17
Flood,Ecuador,Latin America and the Caribbean,Americas,2008-01-30,2008-03-03
Flood,Ecuador,Latin America and the Caribbean,Americas,2009-01-19,2009-03-02
Drought,Ecuador,Latin America and the Caribbean,Americas,2009-11-01,2010-06-30
Flood,Ecuador,Latin America and the Caribbean,Americas,2010-01-14,2010-02-17
Flood,Ecuador,Latin America and the Caribbean,Americas,2010-04-06,2010-04-06
Volcanic_activity,Ecuador,Latin America and the Caribbean,Americas,2010-05-28,2010-05-28
Flood,Ecuador,Latin America and the Caribbean,Americas,2011-02-14,2011-02-17
Mass_movement_wet,Ecuador,Latin America and the Caribbean,Americas,2011-07-17,2011-07-17
Flood,Ecuador,Latin America and the Caribbean,Americas,2012-01-01,2012-03-26
Epidemic,Ecuador,Latin America and the Caribbean,Americas,2012-04-13,2012-05-14
Wildfire,Ecuador,Latin America and the Caribbean,Americas,2012-05-01,2012-09-25
Mass_movement_wet,Ecuador,Latin America and the Caribbean,Americas,2013-01-24,2013-01-24
Mass_movement_wet,Ecuador,Latin America and the Caribbean,Americas,2013-04-23,2013-04-23
Flood,Ecuador,Latin America and the Caribbean,Americas,2013-01-15,2013-04-17
Drought,Ecuador,Latin America and the Caribbean,Americas,2013-02-01,2013-06-30
Earthquake,Ecuador,Latin America and the Caribbean,Americas,2014-08-13,2014-08-13
Flood,Ecuador,Latin America and the Caribbean,Americas,2015-03-23,2015-03-23
Volcanic_activity,Ecuador,Latin America and the Caribbean,Americas,2015-08-14,2015-08-22
Volcanic_activity,Ecuador,Latin America and the Caribbean,Americas,2015-11-17,2016-03-22
Flood,Ecuador,Latin America and the Caribbean,Americas,2016-01-01,2016-01-25
Flood,Ecuador,Latin America and the Caribbean,Americas,2016-01-24,2016-01-26
Earthquake,Ecuador,Latin America and the Caribbean,Americas,2016-04-16,2016-04-16
Earthquake,Ecuador,Latin America and the Caribbean,Americas,2016-05-18,2016-05-18
Flood,Ecuador,Latin America and the Caribbean,Americas,2019-02-21,2019-03-05
Earthquake,Ecuador,Latin America and the Caribbean,Americas,2019-05-26,2019-05-26
Mass_movement_wet,Ecuador,Latin America and the Caribbean,Americas,2019-06-22,2019-06-22
Earthquake,Ecuador,Latin America and the Caribbean,Americas,2019-02-22,2019-02-22
Flood,Ecuador,Latin America and the Caribbean,Americas,2020-02-22,2020-02-24
Volcanic_activity,Ecuador,Latin America and the Caribbean,Americas,2020-09-20,2020-09-20
Flood,Ecuador,Latin America and the Caribbean,Americas,2021-02-01,2021-03-14
Volcanic_activity,Ecuador,Latin America and the Caribbean,Americas,2021-03-14,2021-03-15
Flood,Ecuador,Latin America and the Caribbean,Americas,2021-05-15,2021-05-16
Earthquake,Ecuador,Latin America and the Caribbean,Americas,2021-11-28,2021-11-28
Flood,Ecuador,Latin America and the Caribbean,Americas,2022-01-28,2022-02-07
Flood,Ecuador,Latin America and the Caribbean,Americas,2022-03-07,2022-03-08
Earthquake,Ecuador,Latin America and the Caribbean,Americas,2022-03-26,2022-03-26
Flood,Ecuador,Latin America and the Caribbean,Americas,2022-03-27,2022-03-28
Flood,Ecuador,Latin America and the Caribbean,Americas,2022-03-15,2022-04-17
Flood,Ecuador,Latin America and the Caribbean,Americas,2022-07-03,2022-07-05
Flood,Ecuador,Latin America and the Caribbean,Americas,2023-01-01,2023-04-23
Earthquake,Ecuador,Latin America and the Caribbean,Americas,2023-03-18,2023-03-18
Mass_movement_wet,Ecuador,Latin America and the Caribbean,Americas,2023-03-26,2023-03-26
Flood,Ecuador,Latin America and the Caribbean,Americas,2023-06-01,2023-06-08
Flood,Ecuador,Latin America and the Caribbean,Americas,2024-01-29,2024-02-27
Mass_movement_wet,Ecuador,Latin America and the Caribbean,Americas,2024-06-14,2024-07-01
