Disaster_Type,Country,Subregion,Region,Start Date,End Date
Extreme_temperature,Egypt,Northern Africa,Africa,2000-01-15,2000-01-23
Flood,Egypt,Northern Africa,Africa,2002-03-03,2002-03-11
Earthquake,Egypt,Northern Africa,Africa,2002-08-24,2002-08-24
Flood,Egypt,Northern Africa,Africa,2002-12-20,2002-12-20
Storm,Egypt,Northern Africa,Africa,2004-01-22,2004-01-26
Epidemic,Egypt,Northern Africa,Africa,2004-06-10,2004-07-31
Mass_movement_dry,Egypt,Northern Africa,Africa,2008-09-06,2008-09-06
Flood,Egypt,Northern Africa,Africa,2010-01-18,2010-01-19
Storm,Egypt,Northern Africa,Africa,2010-12-12,2010-12-12
Flood,Egypt,Northern Africa,Africa,2010-12-30,2010-12-30
Extreme_temperature,Egypt,Northern Africa,Africa,2015-08-09,2015-08-09
Storm,Egypt,Northern Africa,Africa,2015-10-24,2015-10-25
Storm,Egypt,Northern Africa,Africa,2015-11-03,2015-11-04
Storm,Egypt,Northern Africa,Africa,2016-10-27,2016-10-29
Flood,Egypt,Northern Africa,Africa,2020-03-11,2020-03-15
Flood,Egypt,Northern Africa,Africa,2021-11-12,2021-11-14
