Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Eswatini,Sub-Saharan Africa,Africa,2000-01-12,2000-01-17
Epidemic,Eswatini,Sub-Saharan Africa,Africa,2000-12-12,2000-12-12
Storm,Eswatini,Sub-Saharan Africa,Africa,2005-01-23,2005-01-23
Storm,Eswatini,Sub-Saharan Africa,Africa,2006-08-01,2006-08-03
Wildfire,Eswatini,Sub-Saharan Africa,Africa,2007-07-27,2007-07-30
Drought,Eswatini,Sub-Saharan Africa,Africa,2007-07-01,2007-07-31
Flood,Eswatini,Sub-Saharan Africa,Africa,2008-02-04,2008-02-04
Flood,Eswatini,Sub-Saharan Africa,Africa,2014-12-16,2014-12-18
Drought,Eswatini,Sub-Saharan Africa,Africa,2019-05-01,2019-12-23
Storm,Eswatini,Sub-Saharan Africa,Africa,2021-01-23,2021-01-23
Storm,Eswatini,Sub-Saharan Africa,Africa,2022-11-05,2022-11-05
