Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2000-01-07,2000-01-15
Wildfire,Ethiopia,Sub-Saharan Africa,Africa,2000-02-12,2000-02-12
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2000-01-01,2000-03-31
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2000-05-10,2000-05-15
Flood,Ethiopia,Sub-Saharan Africa,Africa,2000-06-29,2000-06-29
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2000-03-11,2000-08-17
Flood,Ethiopia,Sub-Saharan Africa,Africa,2000-08-10,2000-08-21
Mass_movement_wet,Ethiopia,Sub-Saharan Africa,Africa,2000-07-04,2000-07-04
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2000-11-11,2000-11-14
Flood,Ethiopia,Sub-Saharan Africa,Africa,2001-08-10,2001-08-10
Flood,Ethiopia,Sub-Saharan Africa,Africa,2001-07-14,2001-07-17
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2001-01-10,2001-05-31
Flood,Ethiopia,Sub-Saharan Africa,Africa,2001-08-14,2001-08-18
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2001-09-10,2002-02-03
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2002-01-15,2002-01-15
Flood,Ethiopia,Sub-Saharan Africa,Africa,2002-04-16,2002-04-21
Flood,Ethiopia,Sub-Saharan Africa,Africa,2003-04-28,2003-05-20
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2005-04-10,2005-04-16
Flood,Ethiopia,Sub-Saharan Africa,Africa,2005-04-23,2005-04-26
Flood,Ethiopia,Sub-Saharan Africa,Africa,2005-05-20,2005-05-22
Flood,Ethiopia,Sub-Saharan Africa,Africa,2005-08-19,2005-09-01
Flood,Ethiopia,Sub-Saharan Africa,Africa,2005-09-01,2005-09-01
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2005-07-12,2005-12-15
Volcanic_activity,Ethiopia,Sub-Saharan Africa,Africa,2005-09-19,2005-10-18
Drought,Ethiopia,Sub-Saharan Africa,Africa,2005-11-01,2006-07-31
Flood,Ethiopia,Sub-Saharan Africa,Africa,2006-04-09,2006-04-25
Flood,Ethiopia,Sub-Saharan Africa,Africa,2006-08-05,2006-08-08
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2006-04-15,2006-04-22
Flood,Ethiopia,Sub-Saharan Africa,Africa,2006-08-09,2006-08-09
Flood,Ethiopia,Sub-Saharan Africa,Africa,2006-08-13,2006-09-11
Flood,Ethiopia,Sub-Saharan Africa,Africa,2006-08-13,2006-09-26
Flood,Ethiopia,Sub-Saharan Africa,Africa,2006-08-23,2006-08-23
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2006-04-15,2007-02-19
Flood,Ethiopia,Sub-Saharan Africa,Africa,2006-10-27,2006-12-18
Flood,Ethiopia,Sub-Saharan Africa,Africa,2007-06-06,2007-07-11
Flood,Ethiopia,Sub-Saharan Africa,Africa,2007-07-29,2007-10-05
Volcanic_activity,Ethiopia,Sub-Saharan Africa,Africa,2007-08-12,2007-08-12
Flood,Ethiopia,Sub-Saharan Africa,Africa,2008-05-30,2008-05-31
Flood,Ethiopia,Sub-Saharan Africa,Africa,2008-08-20,2008-08-28
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2008-09-11,2008-10-15
Flood,Ethiopia,Sub-Saharan Africa,Africa,2008-11-16,2008-11-17
Drought,Ethiopia,Sub-Saharan Africa,Africa,2008-05-01,2009-10-23
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2009-08-10,2009-09-15
Drought,Ethiopia,Sub-Saharan Africa,Africa,2009-01-07,2010-08-30
Flood,Ethiopia,Sub-Saharan Africa,Africa,2010-03-01,2010-03-11
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2010-01-01,2010-03-22
Flood,Ethiopia,Sub-Saharan Africa,Africa,2010-08-22,2010-08-24
Drought,Ethiopia,Sub-Saharan Africa,Africa,2011-01-01,2012-01-31
Flood,Ethiopia,Sub-Saharan Africa,Africa,2011-11-07,2011-11-15
Flood,Ethiopia,Sub-Saharan Africa,Africa,2013-04-10,2013-04-30
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2013-07-11,2013-07-22
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2013-07-11,2013-07-22
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2013-10-14,2013-12-15
Flood,Ethiopia,Sub-Saharan Africa,Africa,2015-11-14,2015-11-18
Drought,Ethiopia,Sub-Saharan Africa,Africa,2015-09-01,2017-04-30
Flood,Ethiopia,Sub-Saharan Africa,Africa,2016-04-02,2016-04-07
Flood,Ethiopia,Sub-Saharan Africa,Africa,2016-05-09,2016-05-20
Mass_movement_wet,Ethiopia,Sub-Saharan Africa,Africa,2018-05-20,2018-05-26
Mass_movement_wet,Ethiopia,Sub-Saharan Africa,Africa,2018-09-04,2018-09-04
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2018-10-10,2019-04-15
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2019-04-25,2019-06-23
Mass_movement_wet,Ethiopia,Sub-Saharan Africa,Africa,2019-10-15,2019-10-15
Flood,Ethiopia,Sub-Saharan Africa,Africa,2019-10-01,2019-10-13
Infestation,Ethiopia,Sub-Saharan Africa,Africa,2019-11-01,2020-02-28
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2019-12-08,2020-01-22
Flood,Ethiopia,Sub-Saharan Africa,Africa,2020-04-20,2020-05-08
Mass_movement_wet,Ethiopia,Sub-Saharan Africa,Africa,2020-05-28,2020-05-28
Mass_movement_wet,Ethiopia,Sub-Saharan Africa,Africa,2020-05-09,2020-05-09
Flood,Ethiopia,Sub-Saharan Africa,Africa,2020-06-14,2020-09-17
Flood,Ethiopia,Sub-Saharan Africa,Africa,2021-05-01,2021-05-31
Drought,Ethiopia,Sub-Saharan Africa,Africa,2021-05-01,2022-02-23
Epidemic,Ethiopia,Sub-Saharan Africa,Africa,2022-09-16,2023-08-31
Flood,Ethiopia,Sub-Saharan Africa,Africa,2022-08-14,2022-10-18
Flood,Ethiopia,Sub-Saharan Africa,Africa,2023-03-25,2023-05-12
Flood,Ethiopia,Sub-Saharan Africa,Africa,2023-10-14,2023-11-30
Flood,Ethiopia,Sub-Saharan Africa,Africa,2024-04-13,2024-05-24
Mass_movement_wet,Ethiopia,Sub-Saharan Africa,Africa,2024-07-21,2024-07-22
Mass_movement_wet,Ethiopia,Sub-Saharan Africa,Africa,2024-08-05,2024-08-05
