Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Fiji,Melanesia,Oceania,2001-03-01,2001-03-01
Storm,Fiji,Melanesia,Oceania,2003-01-14,2003-01-14
Storm,Fiji,Melanesia,Oceania,2004-04-08,2004-04-08
Flood,Fiji,Melanesia,Oceania,2004-06-05,2004-06-05
Flood,Fiji,Melanesia,Oceania,2006-02-04,2006-02-09
Storm,Fiji,Melanesia,Oceania,2006-01-29,2006-02-06
Flood,Fiji,Melanesia,Oceania,2007-02-03,2007-02-20
Storm,Fiji,Melanesia,Oceania,2007-04-05,2007-04-05
Flood,Fiji,Melanesia,Oceania,2007-03-09,2007-03-12
Storm,Fiji,Melanesia,Oceania,2007-12-05,2007-12-07
Storm,Fiji,Melanesia,Oceania,2008-01-28,2008-01-29
Flood,Fiji,Melanesia,Oceania,2009-01-08,2009-01-19
Storm,Fiji,Melanesia,Oceania,2009-12-14,2009-12-15
Storm,Fiji,Melanesia,Oceania,2010-03-14,2010-03-16
Flood,Fiji,Melanesia,Oceania,2012-01-22,2012-02-06
Flood,Fiji,Melanesia,Oceania,2012-03-29,2012-03-30
Storm,Fiji,Melanesia,Oceania,2012-12-16,2012-12-18
Drought,Fiji,Melanesia,Oceania,2015-09-01,2015-10-31
Storm,Fiji,Melanesia,Oceania,2016-02-20,2016-02-21
Storm,Fiji,Melanesia,Oceania,2016-04-04,2016-04-07
Storm,Fiji,Melanesia,Oceania,2018-04-02,2018-04-02
Storm,Fiji,Melanesia,Oceania,2018-04-09,2018-04-11
Epidemic,Fiji,Melanesia,Oceania,2019-11-08,2019-11-18
Storm,Fiji,Melanesia,Oceania,2019-12-26,2019-12-26
Storm,Fiji,Melanesia,Oceania,2020-01-17,2020-01-18
Storm,Fiji,Melanesia,Oceania,2020-04-08,2020-04-09
Storm,Fiji,Melanesia,Oceania,2020-12-17,2020-12-18
Storm,Fiji,Melanesia,Oceania,2021-01-30,2021-01-31
Storm,Fiji,Melanesia,Oceania,2022-01-08,2022-01-11
Storm,Fiji,Melanesia,Oceania,2023-11-14,2023-11-15
