Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,France,Western Europe,Europe,2000-06-10,2000-06-10
Flood,France,Western Europe,Europe,2000-05-19,2000-05-15
Storm,France,Western Europe,Europe,2000-09-19,2000-09-19
Flood,France,Western Europe,Europe,2000-07-10,2000-07-10
Flood,France,Western Europe,Europe,2000-12-02,2000-12-02
Flood,France,Western Europe,Europe,2000-12-13,2000-12-13
Flood,France,Western Europe,Europe,2000-11-14,2000-11-05
Flood,France,Western Europe,Europe,2001-01-05,2001-01-07
Flood,France,Western Europe,Europe,2001-03-21,2001-03-28
Flood,France,Western Europe,Europe,2001-04-07,2001-05-02
Flood,France,Western Europe,Europe,2001-07-04,2001-07-04
Storm,France,Western Europe,Europe,2001-07-06,2001-07-06
Storm,France,Western Europe,Europe,2001-10-20,2001-10-21
Flood,France,Western Europe,Europe,2001-07-08,2001-07-08
Flood,France,Western Europe,Europe,2002-01-14,2002-01-14
Flood,France,Western Europe,Europe,2002-08-25,2002-08-25
Flood,France,Western Europe,Europe,2002-09-08,2002-09-12
Storm,France,Western Europe,Europe,2002-10-27,2002-10-27
Storm,France,Western Europe,Europe,2002-11-18,2002-11-18
Flood,France,Western Europe,Europe,2003-01-01,2003-01-08
Storm,France,Western Europe,Europe,2003-01-02,2003-01-03
Wildfire,France,Western Europe,Europe,2003-07-28,2003-07-30
Extreme_temperature,France,Western Europe,Europe,2003-08-01,2003-08-20
Storm,France,Western Europe,Europe,2003-07-15,2003-07-15
Flood,France,Western Europe,Europe,2003-12-02,2003-12-03
Storm,France,Western Europe,Europe,2004-08-17,2004-08-18
Wildfire,France,Western Europe,Europe,2005-06-20,2005-08-26
Flood,France,Western Europe,Europe,2005-09-07,2005-09-09
Flood,France,Western Europe,Europe,2005-11-15,2005-11-17
Extreme_temperature,France,Western Europe,Europe,2005-11-23,2005-11-27
Extreme_temperature,France,Western Europe,Europe,2005-12-27,2005-12-30
Storm,France,Western Europe,Europe,2006-03-17,2006-03-21
Extreme_temperature,France,Western Europe,Europe,2006-07-15,2006-07-23
Storm,France,Western Europe,Europe,2006-10-23,2006-10-24
Storm,France,Western Europe,Europe,2007-01-18,2007-01-18
Storm,France,Western Europe,Europe,2007-01-23,2007-01-26
Storm,France,Western Europe,Europe,2007-05-25,2007-05-27
Storm,France,Western Europe,Europe,2008-03-10,2008-03-10
Storm,France,Western Europe,Europe,2008-06-10,2008-06-10
Storm,France,Western Europe,Europe,2008-08-03,2008-08-04
Extreme_temperature,France,Western Europe,Europe,2009-01-06,2009-01-08
Storm,France,Western Europe,Europe,2009-01-23,2009-01-26
Extreme_temperature,France,Western Europe,Europe,2009-01-14,2009-01-14
