Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Gabon,Sub-Saharan Africa,Africa,2001-11-11,2002-05-06
Epidemic,Gabon,Sub-Saharan Africa,Africa,2004-12-12,2004-12-14
Epidemic,Gabon,Sub-Saharan Africa,Africa,2007-05-10,2007-07-01
Storm,Gabon,Sub-Saharan Africa,Africa,2009-04-05,2009-04-06
Storm,Gabon,Sub-Saharan Africa,Africa,2010-04-17,2010-04-18
Epidemic,Gabon,Sub-Saharan Africa,Africa,2010-04-10,2010-06-22
Epidemic,Gabon,Sub-Saharan Africa,Africa,2010-04-11,2010-10-16
Storm,Gabon,Sub-Saharan Africa,Africa,2010-12-18,2011-01-25
Flood,Gabon,Sub-Saharan Africa,Africa,2012-06-13,2012-06-18
Storm,Gabon,Sub-Saharan Africa,Africa,2023-05-15,2023-05-15
