Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Gambia,Sub-Saharan Africa,Africa,2000-11-11,2001-03-26
Flood,Gambia,Sub-Saharan Africa,Africa,2001-07-05,2001-07-05
Drought,Gambia,Sub-Saharan Africa,Africa,2002-05-01,2002-10-23
Storm,Gambia,Sub-Saharan Africa,Africa,2003-08-24,2003-08-24
Storm,Gambia,Sub-Saharan Africa,Africa,2004-05-24,2004-05-24
Infestation,Gambia,Sub-Saharan Africa,Africa,2004-08-01,2004-08-31
Flood,Gambia,Sub-Saharan Africa,Africa,2007-07-18,2007-07-19
Storm,Gambia,Sub-Saharan Africa,Africa,2008-06-02,2008-06-02
Flood,Gambia,Sub-Saharan Africa,Africa,2008-09-14,2008-10-18
Storm,Gambia,Sub-Saharan Africa,Africa,2009-07-02,2009-07-02
Flood,Gambia,Sub-Saharan Africa,Africa,2009-09-14,2009-09-18
Flood,Gambia,Sub-Saharan Africa,Africa,2010-07-15,2010-08-17
Flood,Gambia,Sub-Saharan Africa,Africa,2010-09-05,2010-09-06
Drought,Gambia,Sub-Saharan Africa,Africa,2012-03-07,2012-08-26
Flood,Gambia,Sub-Saharan Africa,Africa,2013-08-12,2013-08-13
Epidemic,Gambia,Sub-Saharan Africa,Africa,2014-02-11,2014-12-22
Drought,Gambia,Sub-Saharan Africa,Africa,2015-01-01,2015-12-31
Flood,Gambia,Sub-Saharan Africa,Africa,2017-08-14,2017-08-18
Storm,Gambia,Sub-Saharan Africa,Africa,2019-06-19,2019-06-19
Storm,Gambia,Sub-Saharan Africa,Africa,2021-07-02,2021-07-08
Flood,Gambia,Sub-Saharan Africa,Africa,2022-07-30,2022-10-31
