Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Germany,Western Europe,Europe,2001-07-06,2001-07-07
Storm,Germany,Western Europe,Europe,2002-01-28,2002-01-29
Epidemic,Germany,Western Europe,Europe,2002-02-01,2002-02-01
Storm,Germany,Western Europe,Europe,2002-07-10,2002-07-10
Flood,Germany,Western Europe,Europe,2002-08-11,2002-08-20
Storm,Germany,Western Europe,Europe,2002-10-26,2002-10-26
Storm,Germany,Western Europe,Europe,2003-01-02,2003-01-02
Extreme_temperature,Germany,Western Europe,Europe,2003-08-21,2003-08-27
Storm,Germany,Western Europe,Europe,2003-06-07,2003-06-08
Earthquake,Germany,Western Europe,Europe,2004-12-05,2004-12-05
Storm,Germany,Western Europe,Europe,2004-01-12,2004-01-13
Storm,Germany,Western Europe,Europe,2005-01-08,2005-01-08
Flood,Germany,Western Europe,Europe,2005-07-10,2005-07-13
Flood,Germany,Western Europe,Europe,2005-08-21,2005-08-26
Extreme_temperature,Germany,Western Europe,Europe,2005-11-25,2005-11-27
Extreme_temperature,Germany,Western Europe,Europe,2006-01-22,2006-01-28
Storm,Germany,Western Europe,Europe,2006-03-17,2006-03-21
Flood,Germany,Western Europe,Europe,2006-03-28,2006-04-17
Storm,Germany,Western Europe,Europe,2006-06-28,2006-06-29
Storm,Germany,Western Europe,Europe,2006-07-07,2006-07-07
Extreme_temperature,Germany,Western Europe,Europe,2006-07-15,2006-07-23
Storm,Germany,Western Europe,Europe,2007-01-18,2007-01-18
Storm,Germany,Western Europe,Europe,2007-01-23,2007-01-25
Flood,Germany,Western Europe,Europe,2007-08-09,2007-08-12
Storm,Germany,Western Europe,Europe,2008-02-29,2008-03-02
Extreme_temperature,Germany,Western Europe,Europe,2009-01-05,2009-01-19
Storm,Germany,Western Europe,Europe,2008-05-29,2008-06-02
Flood,Germany,Western Europe,Europe,2009-06-22,2009-06-26
Storm,Germany,Western Europe,Europe,2009-07-23,2009-07-24
Extreme_temperature,Germany,Western Europe,Europe,2009-12-18,2010-01-25
Storm,Germany,Western Europe,Europe,2010-02-28,2010-02-28
Flood,Germany,Western Europe,Europe,2010-08-07,2010-08-07
Extreme_temperature,Germany,Western Europe,Europe,2010-11-28,2010-12-01
Storm,Germany,Western Europe,Europe,2010-12-23,2010-12-24
Extreme_temperature,Germany,Western Europe,Europe,2012-02-16,2012-02-19
Extreme_temperature,Germany,Western Europe,Europe,2012-12-07,2012-12-31
Flood,Germany,Western Europe,Europe,2013-05-28,2013-06-18
Storm,Germany,Western Europe,Europe,2013-10-27,2013-10-28
Storm,Germany,Western Europe,Europe,2013-12-04,2013-12-07
Storm,Germany,Western Europe,Europe,2013-07-27,2013-07-28
Storm,Germany,Western Europe,Europe,2014-06-08,2014-06-10
Storm,Germany,Western Europe,Europe,2014-07-28,2014-07-29
Flood,Germany,Western Europe,Europe,2016-05-31,2016-06-07
Flood,Germany,Western Europe,Europe,2017-07-24,2017-07-27
Storm,Germany,Western Europe,Europe,2017-08-18,2017-08-19
Storm,Germany,Western Europe,Europe,2017-06-22,2017-06-23
Storm,Germany,Western Europe,Europe,2018-01-17,2018-01-18
Extreme_temperature,Germany,Western Europe,Europe,2018-07-21,2018-07-25
Storm,Germany,Western Europe,Europe,2019-01-05,2019-01-17
Extreme_temperature,Germany,Western Europe,Europe,2019-06-24,2019-06-30
Extreme_temperature,Germany,Western Europe,Europe,2019-07-24,2019-07-25
Storm,Germany,Western Europe,Europe,2020-02-09,2020-02-09
Storm,Germany,Western Europe,Europe,2021-06-28,2021-06-29
Flood,Germany,Western Europe,Europe,2021-07-12,2021-07-15
Storm,Germany,Western Europe,Europe,2021-10-21,2021-10-22
Storm,Germany,Western Europe,Europe,2022-01-28,2022-01-31
Storm,Germany,Western Europe,Europe,2022-02-16,2022-02-17
Storm,Germany,Western Europe,Europe,2022-02-18,2022-02-18
Extreme_temperature,Germany,Western Europe,Europe,2022-05-30,2022-09-04
Extreme_temperature,Germany,Western Europe,Europe,2023-07-21,2023-08-25
Storm,Germany,Western Europe,Europe,2023-07-21,2023-07-25
Storm,Germany,Western Europe,Europe,2023-11-01,2023-11-02
Storm,Germany,Western Europe,Europe,2023-11-27,2023-11-28
Flood,Germany,Western Europe,Europe,2024-05-31,2024-06-04
