Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Ghana,Sub-Saharan Africa,Africa,2001-01-07,2001-01-15
Flood,Ghana,Sub-Saharan Africa,Africa,2001-06-27,2001-06-30
Epidemic,Ghana,Sub-Saharan Africa,Africa,2001-04-01,2001-04-01
Flood,Ghana,Sub-Saharan Africa,Africa,2002-04-08,2002-04-08
Flood,Ghana,Sub-Saharan Africa,Africa,2002-06-10,2002-06-12
Epidemic,Ghana,Sub-Saharan Africa,Africa,2005-11-12,2005-12-14
Flood,Ghana,Sub-Saharan Africa,Africa,2007-08-10,2007-10-10
Flood,Ghana,Sub-Saharan Africa,Africa,2008-07-14,2008-08-17
Flood,Ghana,Sub-Saharan Africa,Africa,2009-06-06,2009-07-08
Flood,Ghana,Sub-Saharan Africa,Africa,2009-09-17,2009-09-21
Epidemic,Ghana,Sub-Saharan Africa,Africa,2010-02-13,2010-03-02
Flood,Ghana,Sub-Saharan Africa,Africa,2010-06-20,2010-07-05
Flood,Ghana,Sub-Saharan Africa,Africa,2010-09-14,2010-10-18
Flood,Ghana,Sub-Saharan Africa,Africa,2011-07-22,2011-07-29
Epidemic,Ghana,Sub-Saharan Africa,Africa,2011-09-10,2011-10-14
Flood,Ghana,Sub-Saharan Africa,Africa,2011-10-26,2011-10-29
Epidemic,Ghana,Sub-Saharan Africa,Africa,2012-01-01,2012-09-01
Epidemic,Ghana,Sub-Saharan Africa,Africa,2012-01-01,2012-07-16
Epidemic,Ghana,Sub-Saharan Africa,Africa,2013-01-08,2013-01-21
Flood,Ghana,Sub-Saharan Africa,Africa,2013-03-03,2013-04-30
Epidemic,Ghana,Sub-Saharan Africa,Africa,2014-06-10,2015-06-16
Flood,Ghana,Sub-Saharan Africa,Africa,2015-06-02,2015-06-15
Epidemic,Ghana,Sub-Saharan Africa,Africa,2015-12-08,2016-02-10
Flood,Ghana,Sub-Saharan Africa,Africa,2016-06-10,2016-06-14
Epidemic,Ghana,Sub-Saharan Africa,Africa,2016-10-21,2016-11-14
Storm,Ghana,Sub-Saharan Africa,Africa,2017-03-19,2017-03-19
Flood,Ghana,Sub-Saharan Africa,Africa,2017-04-01,2017-07-21
Flood,Ghana,Sub-Saharan Africa,Africa,2018-08-31,2018-10-02
Flood,Ghana,Sub-Saharan Africa,Africa,2019-06-04,2019-06-04
Flood,Ghana,Sub-Saharan Africa,Africa,2019-10-06,2019-10-09
Flood,Ghana,Sub-Saharan Africa,Africa,2020-06-08,2020-06-10
Flood,Ghana,Sub-Saharan Africa,Africa,2020-09-05,2020-09-06
Flood,Ghana,Sub-Saharan Africa,Africa,2021-06-26,2021-06-28
Flood,Ghana,Sub-Saharan Africa,Africa,2021-08-26,2021-09-28
Flood,Ghana,Sub-Saharan Africa,Africa,2022-10-04,2022-10-06
Flood,Ghana,Sub-Saharan Africa,Africa,2023-06-21,2023-06-26
Flood,Ghana,Sub-Saharan Africa,Africa,2023-10-13,2023-10-19
