Disaster_Type,Country,Subregion,Region,Start Date,End Date
Earthquake,Greece,Southern Europe,Europe,2000-05-26,2000-05-26
Extreme_temperature,Greece,Southern Europe,Europe,2000-07-20,2000-07-22
Wildfire,Greece,Southern Europe,Europe,2000-07-18,2000-07-18
Wildfire,Greece,Southern Europe,Europe,2000-08-24,2000-08-24
Flood,Greece,Southern Europe,Europe,2000-10-31,2000-10-31
Flood,Greece,Southern Europe,Europe,2000-11-19,2000-11-19
Flood,Greece,Southern Europe,Europe,2001-01-20,2001-01-12
Flood,Greece,Southern Europe,Europe,2001-11-29,2001-11-29
Earthquake,Greece,Southern Europe,Europe,2001-07-26,2001-07-26
Storm,Greece,Southern Europe,Europe,2002-01-04,2002-01-04
Flood,Greece,Southern Europe,Europe,2002-11-07,2002-11-07
Earthquake,Greece,Southern Europe,Europe,2002-12-02,2002-12-02
Flood,Greece,Southern Europe,Europe,2002-12-06,2002-12-10
Flood,Greece,Southern Europe,Europe,2002-12-13,2002-12-13
Flood,Greece,Southern Europe,Europe,2002-12-27,2002-12-27
Flood,Greece,Southern Europe,Europe,2003-01-25,2003-01-25
Flood,Greece,Southern Europe,Europe,2003-02-02,2003-02-02
Flood,Greece,Southern Europe,Europe,2003-02-19,2003-02-19
Earthquake,Greece,Southern Europe,Europe,2003-08-14,2003-08-14
Storm,Greece,Southern Europe,Europe,2004-01-22,2004-01-25
Storm,Greece,Southern Europe,Europe,2004-02-13,2004-02-16
Flood,Greece,Southern Europe,Europe,2006-10-08,2006-10-12
Storm,Greece,Southern Europe,Europe,2006-10-17,2006-10-18
Flood,Greece,Southern Europe,Europe,2006-10-21,2006-10-22
Extreme_temperature,Greece,Southern Europe,Europe,2007-06-20,2007-07-22
Wildfire,Greece,Southern Europe,Europe,2007-06-01,2007-07-30
Wildfire,Greece,Southern Europe,Europe,2007-08-24,2007-08-30
Flood,Greece,Southern Europe,Europe,2007-11-16,2007-12-02
Earthquake,Greece,Southern Europe,Europe,2008-06-08,2008-06-08
Wildfire,Greece,Southern Europe,Europe,2009-07-18,2009-07-18
Wildfire,Greece,Southern Europe,Europe,2009-08-21,2009-08-25
Flood,Greece,Southern Europe,Europe,2010-11-29,2010-12-05
Extreme_temperature,Greece,Southern Europe,Europe,2012-02-23,2012-02-15
Flood,Greece,Southern Europe,Europe,2012-02-03,2012-02-06
Earthquake,Greece,Southern Europe,Europe,2014-01-26,2014-02-03
Earthquake,Greece,Southern Europe,Europe,2014-05-24,2014-05-24
Flood,Greece,Southern Europe,Europe,2014-10-24,2014-10-24
Flood,Greece,Southern Europe,Europe,2015-01-30,2015-02-01
Flood,Greece,Southern Europe,Europe,2015-02-01,2015-02-09
Flood,Greece,Southern Europe,Europe,2016-09-05,2016-09-08
Extreme_temperature,Greece,Southern Europe,Europe,2017-01-20,2017-01-20
Earthquake,Greece,Southern Europe,Europe,2017-06-12,2017-06-12
Earthquake,Greece,Southern Europe,Europe,2017-07-21,2017-07-21
Flood,Greece,Southern Europe,Europe,2017-11-11,2017-11-20
Wildfire,Greece,Southern Europe,Europe,2018-07-23,2018-07-24
Storm,Greece,Southern Europe,Europe,2019-07-10,2019-07-10
Flood,Greece,Southern Europe,Europe,2020-08-08,2020-08-09
Earthquake,Greece,Southern Europe,Europe,2020-10-30,2020-10-30
Flood,Greece,Southern Europe,Europe,2020-11-11,2020-11-12
Earthquake,Greece,Southern Europe,Europe,2021-03-03,2021-03-03
Wildfire,Greece,Southern Europe,Europe,2021-07-29,2021-08-12
Earthquake,Greece,Southern Europe,Europe,2021-09-27,2021-09-27
Wildfire,Greece,Southern Europe,Europe,2022-07-03,2022-07-23
Extreme_temperature,Greece,Southern Europe,Europe,2022-05-30,2022-09-04
Extreme_temperature,Greece,Southern Europe,Europe,2023-07-20,2023-07-22
Wildfire,Greece,Southern Europe,Europe,2023-07-17,2023-07-26
Wildfire,Greece,Southern Europe,Europe,2023-08-19,2023-08-27
Flood,Greece,Southern Europe,Europe,2023-09-04,2023-09-07
Storm,Greece,Southern Europe,Europe,2023-09-27,2023-09-28
Flood,Greece,Southern Europe,Europe,2024-02-13,2024-02-13
Wildfire,Greece,Southern Europe,Europe,2024-08-10,2024-08-14
