Disaster_Type,Country,Subregion,Region,Start Date,End Date
Volcanic_activity,Guatemala,Latin America and the Caribbean,Americas,2000-01-16,2000-01-16
Flood,Guatemala,Latin America and the Caribbean,Americas,2000-06-06,2000-06-21
Flood,Guatemala,Latin America and the Caribbean,Americas,2000-09-15,2000-09-17
Earthquake,Guatemala,Latin America and the Caribbean,Americas,2001-01-13,2001-01-13
Storm,Guatemala,Latin America and the Caribbean,Americas,2001-10-08,2001-10-11
Extreme_temperature,Guatemala,Latin America and the Caribbean,Americas,2001-11-11,2001-11-22
Drought,Guatemala,Latin America and the Caribbean,Americas,2001-09-07,2001-08-31
Volcanic_activity,Guatemala,Latin America and the Caribbean,Americas,2002-02-13,2002-02-13
Flood,Guatemala,Latin America and the Caribbean,Americas,2002-02-04,2002-02-04
Epidemic,Guatemala,Latin America and the Caribbean,Americas,2002-07-12,2002-07-14
Mass_movement_wet,Guatemala,Latin America and the Caribbean,Americas,2002-09-13,2002-09-13
Storm,Guatemala,Latin America and the Caribbean,Americas,2002-09-20,2002-09-24
Mass_movement_wet,Guatemala,Latin America and the Caribbean,Americas,2003-04-23,2003-04-23
Wildfire,Guatemala,Latin America and the Caribbean,Americas,2003-03-12,2003-03-17
Mass_movement_wet,Guatemala,Latin America and the Caribbean,Americas,2005-06-15,2005-06-16
Mass_movement_wet,Guatemala,Latin America and the Caribbean,Americas,2005-07-12,2005-07-13
Storm,Guatemala,Latin America and the Caribbean,Americas,2005-10-01,2005-10-13
Flood,Guatemala,Latin America and the Caribbean,Americas,2005-10-03,2005-10-03
Extreme_temperature,Guatemala,Latin America and the Caribbean,Americas,2006-11-11,2006-11-23
Storm,Guatemala,Latin America and the Caribbean,Americas,2007-09-04,2007-09-12
Flood,Guatemala,Latin America and the Caribbean,Americas,2007-09-22,2007-09-24
Flood,Guatemala,Latin America and the Caribbean,Americas,2007-10-12,2007-10-26
Mass_movement_wet,Guatemala,Latin America and the Caribbean,Americas,2008-06-20,2008-06-20
Flood,Guatemala,Latin America and the Caribbean,Americas,2008-07-02,2008-07-03
Storm,Guatemala,Latin America and the Caribbean,Americas,2008-07-21,2008-07-21
Flood,Guatemala,Latin America and the Caribbean,Americas,2008-10-22,2008-11-17
Mass_movement_dry,Guatemala,Latin America and the Caribbean,Americas,2009-01-04,2009-01-04
Flood,Guatemala,Latin America and the Caribbean,Americas,2009-06-19,2009-06-22
Drought,Guatemala,Latin America and the Caribbean,Americas,2009-03-01,2009-12-30
Storm,Guatemala,Latin America and the Caribbean,Americas,2010-05-28,2010-06-01
Volcanic_activity,Guatemala,Latin America and the Caribbean,Americas,2010-05-27,2010-05-27
Storm,Guatemala,Latin America and the Caribbean,Americas,2010-06-27,2010-06-27
Flood,Guatemala,Latin America and the Caribbean,Americas,2010-08-27,2010-08-28
Mass_movement_wet,Guatemala,Latin America and the Caribbean,Americas,2010-09-04,2010-09-04
Storm,Guatemala,Latin America and the Caribbean,Americas,2010-09-25,2010-09-25
Storm,Guatemala,Latin America and the Caribbean,Americas,2011-07-20,2011-07-20
Flood,Guatemala,Latin America and the Caribbean,Americas,2011-08-29,2011-08-29
Mass_movement_wet,Guatemala,Latin America and the Caribbean,Americas,2011-09-20,2011-09-22
Earthquake,Guatemala,Latin America and the Caribbean,Americas,2011-09-19,2011-09-19
Flood,Guatemala,Latin America and the Caribbean,Americas,2011-10-12,2011-11-18
Extreme_temperature,Guatemala,Latin America and the Caribbean,Americas,2011-12-13,2011-12-22
Flood,Guatemala,Latin America and the Caribbean,Americas,2011-07-18,2011-07-18
Volcanic_activity,Guatemala,Latin America and the Caribbean,Americas,2012-09-13,2012-09-13
Earthquake,Guatemala,Latin America and the Caribbean,Americas,2012-11-07,2012-11-07
Drought,Guatemala,Latin America and the Caribbean,Americas,2012-06-07,2012-08-31
Epidemic,Guatemala,Latin America and the Caribbean,Americas,2013-07-15,2013-11-23
Earthquake,Guatemala,Latin America and the Caribbean,Americas,2013-09-07,2013-09-07
Storm,Guatemala,Latin America and the Caribbean,Americas,2014-05-30,2014-06-06
Earthquake,Guatemala,Latin America and the Caribbean,Americas,2014-07-07,2014-07-07
Flood,Guatemala,Latin America and the Caribbean,Americas,2014-10-15,2014-10-17
Extreme_temperature,Guatemala,Latin America and the Caribbean,Americas,2014-11-07,2015-01-22
Drought,Guatemala,Latin America and the Caribbean,Americas,2014-08-07,2016-08-31
Flood,Guatemala,Latin America and the Caribbean,Americas,2015-08-10,2015-08-10
Epidemic,Guatemala,Latin America and the Caribbean,Americas,2015-01-12,2015-07-14
Mass_movement_wet,Guatemala,Latin America and the Caribbean,Americas,2015-10-02,2015-10-03
Flood,Guatemala,Latin America and the Caribbean,Americas,2015-09-27,2015-09-28
Storm,Guatemala,Latin America and the Caribbean,Americas,2016-08-06,2016-08-06
Mass_movement_wet,Guatemala,Latin America and the Caribbean,Americas,2016-09-06,2016-09-07
Mass_movement_wet,Guatemala,Latin America and the Caribbean,Americas,2017-06-20,2017-06-20
Flood,Guatemala,Latin America and the Caribbean,Americas,2017-06-10,2017-06-11
Earthquake,Guatemala,Latin America and the Caribbean,Americas,2017-09-08,2017-09-08
Storm,Guatemala,Latin America and the Caribbean,Americas,2017-10-05,2017-10-05
Flood,Guatemala,Latin America and the Caribbean,Americas,2017-09-18,2017-09-18
Flood,Guatemala,Latin America and the Caribbean,Americas,2017-10-23,2017-10-26
Flood,Guatemala,Latin America and the Caribbean,Americas,2017-09-15,2017-10-28
Flood,Guatemala,Latin America and the Caribbean,Americas,2018-05-18,2018-05-22
Volcanic_activity,Guatemala,Latin America and the Caribbean,Americas,2018-06-03,2018-06-03
Flood,Guatemala,Latin America and the Caribbean,Americas,2018-10-01,2018-10-18
Drought,Guatemala,Latin America and the Caribbean,Americas,2018-06-01,2019-03-31
Epidemic,Guatemala,Latin America and the Caribbean,Americas,2019-06-29,2019-08-08
Storm,Guatemala,Latin America and the Caribbean,Americas,2019-08-17,2019-08-23
Storm,Guatemala,Latin America and the Caribbean,Americas,2019-10-16,2019-10-17
Flood,Guatemala,Latin America and the Caribbean,Americas,2020-05-09,2020-05-11
Storm,Guatemala,Latin America and the Caribbean,Americas,2020-05-30,2020-05-31
Flood,Guatemala,Latin America and the Caribbean,Americas,2020-06-17,2020-06-17
Storm,Guatemala,Latin America and the Caribbean,Americas,2020-11-03,2020-11-04
Storm,Guatemala,Latin America and the Caribbean,Americas,2020-11-17,2020-11-17
Flood,Guatemala,Latin America and the Caribbean,Americas,2021-04-18,2021-04-26
Flood,Guatemala,Latin America and the Caribbean,Americas,2021-05-21,2021-07-25
Flood,Guatemala,Latin America and the Caribbean,Americas,2021-09-13,2021-09-14
Earthquake,Guatemala,Latin America and the Caribbean,Americas,2022-02-16,2022-02-16
Flood,Guatemala,Latin America and the Caribbean,Americas,2022-05-01,2022-09-11
Storm,Guatemala,Latin America and the Caribbean,Americas,2022-10-09,2022-10-10
Volcanic_activity,Guatemala,Latin America and the Caribbean,Americas,2023-05-05,2023-05-05
Flood,Guatemala,Latin America and the Caribbean,Americas,2023-05-15,2023-10-11
Mass_movement_wet,Guatemala,Latin America and the Caribbean,Americas,2023-11-22,2023-11-27
Wildfire,Guatemala,Latin America and the Caribbean,Americas,2024-01-01,2024-04-11
Wildfire,Guatemala,Latin America and the Caribbean,Americas,2024-05-12,2024-05-13
Flood,Guatemala,Latin America and the Caribbean,Americas,2024-06-07,2024-07-17
Storm,Guatemala,Latin America and the Caribbean,Americas,2024-06-21,2024-06-22
Storm,Guatemala,Latin America and the Caribbean,Americas,2024-11-15,2024-11-17
