Disaster_Type,Country,Subregion,Region,Start Date,End Date
Drought,Guinea-Bissau,Sub-Saharan Africa,Africa,2002-05-01,2002-05-23
Flood,Guinea-Bissau,Sub-Saharan Africa,Africa,2003-10-14,2003-10-18
Flood,Guinea-Bissau,Sub-Saharan Africa,Africa,2004-09-27,2004-09-28
Epidemic,Guinea-Bissau,Sub-Saharan Africa,Africa,2004-10-10,2004-11-19
Epidemic,Guinea-Bissau,Sub-Saharan Africa,Africa,2005-06-06,2005-11-22
Drought,Guinea-Bissau,Sub-Saharan Africa,Africa,2006-05-01,2006-05-23
Flood,Guinea-Bissau,Sub-Saharan Africa,Africa,2008-07-21,2008-07-21
Epidemic,Guinea-Bissau,Sub-Saharan Africa,Africa,2008-05-10,2008-11-19
Flood,Guinea-Bissau,Sub-Saharan Africa,Africa,2010-08-14,2010-08-18
Storm,Guinea-Bissau,Sub-Saharan Africa,Africa,2018-06-27,2018-06-27
