Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Guinea,Sub-Saharan Africa,Africa,2000-06-11,2000-06-11
Epidemic,Guinea,Sub-Saharan Africa,Africa,2000-10-12,2000-12-27
Epidemic,Guinea,Sub-Saharan Africa,Africa,2001-08-06,2001-09-23
Flood,Guinea,Sub-Saharan Africa,Africa,2001-08-18,2001-10-09
Epidemic,Guinea,Sub-Saharan Africa,Africa,2002-01-07,2002-01-15
Epidemic,Guinea,Sub-Saharan Africa,Africa,2003-01-01,2003-01-23
Epidemic,Guinea,Sub-Saharan Africa,Africa,2004-06-11,2004-10-16
Wildfire,Guinea,Sub-Saharan Africa,Africa,2004-01-10,2004-01-10
Epidemic,Guinea,Sub-Saharan Africa,Africa,2005-04-11,2005-10-30
Epidemic,Guinea,Sub-Saharan Africa,Africa,2006-01-01,2006-03-31
Epidemic,Guinea,Sub-Saharan Africa,Africa,2006-01-10,2006-10-22
Flood,Guinea,Sub-Saharan Africa,Africa,2006-08-31,2006-09-01
Epidemic,Guinea,Sub-Saharan Africa,Africa,2007-01-11,2007-08-16
Flood,Guinea,Sub-Saharan Africa,Africa,2007-09-14,2007-09-18
Flood,Guinea,Sub-Saharan Africa,Africa,2008-08-08,2008-08-08
Flood,Guinea,Sub-Saharan Africa,Africa,2009-08-03,2009-08-03
Flood,Guinea,Sub-Saharan Africa,Africa,2010-07-06,2010-07-06
Flood,Guinea,Sub-Saharan Africa,Africa,2010-09-15,2010-09-18
Flood,Guinea,Sub-Saharan Africa,Africa,2011-09-14,2011-09-18
Epidemic,Guinea,Sub-Saharan Africa,Africa,2012-02-02,2012-09-01
Flood,Guinea,Sub-Saharan Africa,Africa,2013-08-01,2013-08-17
Epidemic,Guinea,Sub-Saharan Africa,Africa,2013-12-12,2013-12-14
Epidemic,Guinea,Sub-Saharan Africa,Africa,2014-02-12,2015-12-29
Mass_movement_wet,Guinea,Sub-Saharan Africa,Africa,2015-09-06,2015-09-07
Flood,Guinea,Sub-Saharan Africa,Africa,2015-07-24,2015-08-03
Epidemic,Guinea,Sub-Saharan Africa,Africa,2017-01-11,2017-03-16
Flood,Guinea,Sub-Saharan Africa,Africa,2017-07-04,2017-07-04
Flood,Guinea,Sub-Saharan Africa,Africa,2020-09-06,2020-09-07
Epidemic,Guinea,Sub-Saharan Africa,Africa,2021-08-06,2021-08-17
Flood,Guinea,Sub-Saharan Africa,Africa,2021-08-30,2021-08-31
Flood,Guinea,Sub-Saharan Africa,Africa,2022-08-25,2022-08-26
Flood,Guinea,Sub-Saharan Africa,Africa,2023-08-06,2023-08-11
Flood,Guinea,Sub-Saharan Africa,Africa,2024-08-21,2024-08-21
