Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Haiti,Latin America and the Caribbean,Americas,2000-12-15,2000-12-25
Flood,Haiti,Latin America and the Caribbean,Americas,2001-05-16,2001-05-18
Storm,Haiti,Latin America and the Caribbean,Americas,2001-10-30,2001-11-05
Flood,Haiti,Latin America and the Caribbean,Americas,2002-05-23,2002-06-05
Storm,Haiti,Latin America and the Caribbean,Americas,2002-09-30,2002-09-30
Epidemic,Haiti,Latin America and the Caribbean,Americas,2003-04-13,2003-05-14
Flood,Haiti,Latin America and the Caribbean,Americas,2003-08-29,2003-08-30
Storm,Haiti,Latin America and the Caribbean,Americas,2003-10-06,2003-10-06
Flood,Haiti,Latin America and the Caribbean,Americas,2003-12-20,2003-12-22
Flood,Haiti,Latin America and the Caribbean,Americas,2003-03-27,2003-03-29
Drought,Haiti,Latin America and the Caribbean,Americas,2003-02-01,2004-07-30
Flood,Haiti,Latin America and the Caribbean,Americas,2004-05-23,2004-06-01
Storm,Haiti,Latin America and the Caribbean,Americas,2004-09-13,2004-09-13
Storm,Haiti,Latin America and the Caribbean,Americas,2004-09-17,2004-09-18
Storm,Haiti,Latin America and the Caribbean,Americas,2005-07-07,2005-07-07
Flood,Haiti,Latin America and the Caribbean,Americas,2005-07-14,2005-07-15
Storm,Haiti,Latin America and the Caribbean,Americas,2005-07-17,2005-07-17
Storm,Haiti,Latin America and the Caribbean,Americas,2005-10-18,2005-10-17
Storm,Haiti,Latin America and the Caribbean,Americas,2005-10-19,2005-10-24
Flood,Haiti,Latin America and the Caribbean,Americas,2005-10-15,2005-10-17
Storm,Haiti,Latin America and the Caribbean,Americas,2005-10-22,2005-10-24
Flood,Haiti,Latin America and the Caribbean,Americas,2005-06-07,2005-06-15
Storm,Haiti,Latin America and the Caribbean,Americas,2006-08-25,2006-08-26
Flood,Haiti,Latin America and the Caribbean,Americas,2006-11-28,2006-12-01
Flood,Haiti,Latin America and the Caribbean,Americas,2006-07-30,2006-07-31
Flood,Haiti,Latin America and the Caribbean,Americas,2007-03-26,2007-03-30
Flood,Haiti,Latin America and the Caribbean,Americas,2007-05-30,2007-06-03
Flood,Haiti,Latin America and the Caribbean,Americas,2007-07-23,2007-07-24
Storm,Haiti,Latin America and the Caribbean,Americas,2007-08-18,2007-08-24
Flood,Haiti,Latin America and the Caribbean,Americas,2007-10-07,2007-10-17
Storm,Haiti,Latin America and the Caribbean,Americas,2007-10-28,2007-11-02
Storm,Haiti,Latin America and the Caribbean,Americas,2007-12-11,2007-12-17
Storm,Haiti,Latin America and the Caribbean,Americas,2008-08-18,2008-08-18
Storm,Haiti,Latin America and the Caribbean,Americas,2008-08-26,2008-08-26
Storm,Haiti,Latin America and the Caribbean,Americas,2008-09-02,2008-09-03
Storm,Haiti,Latin America and the Caribbean,Americas,2008-09-06,2008-09-08
Flood,Haiti,Latin America and the Caribbean,Americas,2009-05-15,2009-05-21
Flood,Haiti,Latin America and the Caribbean,Americas,2009-09-18,2009-09-18
Flood,Haiti,Latin America and the Caribbean,Americas,2009-10-20,2009-10-20
Earthquake,Haiti,Latin America and the Caribbean,Americas,2010-01-12,2010-01-12
Flood,Haiti,Latin America and the Caribbean,Americas,2010-02-15,2010-02-15
Flood,Haiti,Latin America and the Caribbean,Americas,2010-02-18,2010-03-02
Storm,Haiti,Latin America and the Caribbean,Americas,2010-09-24,2010-09-24
Flood,Haiti,Latin America and the Caribbean,Americas,2010-10-18,2010-10-18
Epidemic,Haiti,Latin America and the Caribbean,Americas,2010-10-22,2011-12-15
Storm,Haiti,Latin America and the Caribbean,Americas,2010-11-04,2010-11-05
Flood,Haiti,Latin America and the Caribbean,Americas,2011-06-06,2011-06-07
Storm,Haiti,Latin America and the Caribbean,Americas,2011-08-04,2011-08-04
