Disaster_Type,Country,Subregion,Region,Start Date,End Date
Wildfire,Honduras,Latin America and the Caribbean,Americas,2000-02-12,2000-02-16
Drought,Honduras,Latin America and the Caribbean,Americas,2000-07-07,2000-08-31
Storm,Honduras,Latin America and the Caribbean,Americas,2001-10-30,2001-11-04
Drought,Honduras,Latin America and the Caribbean,Americas,2001-07-07,2004-08-31
Flood,Honduras,Latin America and the Caribbean,Americas,2002-05-23,2002-06-05
Epidemic,Honduras,Latin America and the Caribbean,Americas,2002-01-01,2002-06-29
Flood,Honduras,Latin America and the Caribbean,Americas,2002-09-09,2002-09-09
Drought,Honduras,Latin America and the Caribbean,Americas,2002-01-01,2002-07-31
Flood,Honduras,Latin America and the Caribbean,Americas,2003-09-14,2003-09-15
Flood,Honduras,Latin America and the Caribbean,Americas,2003-11-28,2003-12-24
Drought,Honduras,Latin America and the Caribbean,Americas,2004-07-07,2004-08-31
Flood,Honduras,Latin America and the Caribbean,Americas,2005-06-24,2005-06-27
Storm,Honduras,Latin America and the Caribbean,Americas,2005-09-28,2005-10-10
Storm,Honduras,Latin America and the Caribbean,Americas,2005-10-21,2005-10-21
Storm,Honduras,Latin America and the Caribbean,Americas,2005-10-30,2005-11-15
Storm,Honduras,Latin America and the Caribbean,Americas,2005-11-18,2005-11-20
Flood,Honduras,Latin America and the Caribbean,Americas,2006-06-25,2006-07-01
Storm,Honduras,Latin America and the Caribbean,Americas,2007-09-04,2007-09-12
Earthquake,Honduras,Latin America and the Caribbean,Americas,2007-09-15,2007-09-15
Flood,Honduras,Latin America and the Caribbean,Americas,2007-10-12,2007-10-26
Flood,Honduras,Latin America and the Caribbean,Americas,2007-11-04,2007-11-06
Storm,Honduras,Latin America and the Caribbean,Americas,2008-05-28,2008-05-28
Flood,Honduras,Latin America and the Caribbean,Americas,2008-10-19,2008-11-12
Earthquake,Honduras,Latin America and the Caribbean,Americas,2009-05-28,2009-05-28
Epidemic,Honduras,Latin America and the Caribbean,Americas,2009-01-15,2009-11-14
Drought,Honduras,Latin America and the Caribbean,Americas,2009-11-01,2011-02-28
Storm,Honduras,Latin America and the Caribbean,Americas,2010-05-29,2010-05-29
Epidemic,Honduras,Latin America and the Caribbean,Americas,2010-01-15,2010-09-14
Flood,Honduras,Latin America and the Caribbean,Americas,2010-08-30,2010-08-30
Flood,Honduras,Latin America and the Caribbean,Americas,2010-08-15,2010-08-18
Storm,Honduras,Latin America and the Caribbean,Americas,2010-09-25,2010-09-25
Flood,Honduras,Latin America and the Caribbean,Americas,2011-10-17,2011-10-17
Drought,Honduras,Latin America and the Caribbean,Americas,2012-09-01,2012-09-30
Epidemic,Honduras,Latin America and the Caribbean,Americas,2013-07-12,2013-07-14
Flood,Honduras,Latin America and the Caribbean,Americas,2014-01-08,2014-01-08
Flood,Honduras,Latin America and the Caribbean,Americas,2014-10-15,2014-10-17
Drought,Honduras,Latin America and the Caribbean,Americas,2014-04-01,2015-07-26
Storm,Honduras,Latin America and the Caribbean,Americas,2016-08-06,2016-08-06
Flood,Honduras,Latin America and the Caribbean,Americas,2016-10-18,2016-10-20
Flood,Honduras,Latin America and the Caribbean,Americas,2017-06-10,2017-06-11
Flood,Honduras,Latin America and the Caribbean,Americas,2017-01-07,2017-01-21
Storm,Honduras,Latin America and the Caribbean,Americas,2017-10-05,2017-10-06
Flood,Honduras,Latin America and the Caribbean,Americas,2017-10-23,2017-10-29
Flood,Honduras,Latin America and the Caribbean,Americas,2018-10-11,2018-10-11
Drought,Honduras,Latin America and the Caribbean,Americas,2018-06-01,2019-03-31
Epidemic,Honduras,Latin America and the Caribbean,Americas,2019-04-13,2019-08-09
Flood,Honduras,Latin America and the Caribbean,Americas,2020-02-28,2020-03-02
Storm,Honduras,Latin America and the Caribbean,Americas,2020-05-30,2020-05-31
Storm,Honduras,Latin America and the Caribbean,Americas,2020-11-03,2020-11-04
Storm,Honduras,Latin America and the Caribbean,Americas,2020-11-17,2020-11-18
Wildfire,Honduras,Latin America and the Caribbean,Americas,2021-10-02,2021-10-03
Flood,Honduras,Latin America and the Caribbean,Americas,2022-02-14,2022-02-15
Storm,Honduras,Latin America and the Caribbean,Americas,2022-10-09,2022-10-09
Flood,Honduras,Latin America and the Caribbean,Americas,2022-07-02,2022-09-28
Storm,Honduras,Latin America and the Caribbean,Americas,2023-10-29,2023-11-01
Storm,Honduras,Latin America and the Caribbean,Americas,2023-11-03,2023-11-10
Drought,Honduras,Latin America and the Caribbean,Americas,2023-01-01,2023-07-31
Storm,Honduras,Latin America and the Caribbean,Americas,2024-06-17,2024-06-22
Storm,Honduras,Latin America and the Caribbean,Americas,2024-11-15,2024-11-17
