Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Hungary,Eastern Europe,Europe,2000-04-06,2000-05-01
Flood,Hungary,Eastern Europe,Europe,2001-03-04,2001-03-17
Extreme_temperature,Hungary,Eastern Europe,Europe,2001-12-19,2001-12-30
Flood,Hungary,Eastern Europe,Europe,2002-08-07,2002-08-28
Storm,Hungary,Eastern Europe,Europe,2003-02-01,2003-02-01
Drought,Hungary,Eastern Europe,Europe,2003-07-07,2003-08-31
Flood,Hungary,Eastern Europe,Europe,2004-07-27,2004-08-02
Storm,Hungary,Eastern Europe,Europe,2005-01-18,2005-02-19
Flood,Hungary,Eastern Europe,Europe,2005-03-17,2005-03-25
Flood,Hungary,Eastern Europe,Europe,2005-08-14,2005-08-26
Extreme_temperature,Hungary,Eastern Europe,Europe,2005-12-27,2006-01-30
Flood,Hungary,Eastern Europe,Europe,2006-03-28,2006-05-09
Storm,Hungary,Eastern Europe,Europe,2006-08-20,2006-08-20
Extreme_temperature,Hungary,Eastern Europe,Europe,2007-07-18,2007-07-17
Extreme_temperature,Hungary,Eastern Europe,Europe,2008-01-14,2008-01-20
Flood,Hungary,Eastern Europe,Europe,2010-05-15,2010-06-07
Extreme_temperature,Hungary,Eastern Europe,Europe,2012-02-20,2012-02-13
Earthquake,Hungary,Eastern Europe,Europe,2013-04-14,2013-04-23
Flood,Hungary,Eastern Europe,Europe,2013-06-03,2013-06-09
Storm,Hungary,Eastern Europe,Europe,2013-03-15,2013-03-15
Flood,Hungary,Eastern Europe,Europe,2014-09-14,2014-09-26
Flood,Hungary,Eastern Europe,Europe,2016-06-21,2016-06-21
Storm,Hungary,Eastern Europe,Europe,2017-06-21,2017-06-21
Storm,Hungary,Eastern Europe,Europe,2019-06-27,2019-06-27
Extreme_temperature,Hungary,Eastern Europe,Europe,2022-05-30,2022-09-04
Extreme_temperature,Hungary,Eastern Europe,Europe,2023-07-19,2023-08-17
