Disaster_Type,Country,Subregion,Region,Start Date,End Date
Extreme_temperature,India,Southern Asia,Asia,2000-01-15,2000-01-20
Epidemic,India,Southern Asia,Asia,2000-05-03,2000-05-16
Epidemic,India,Southern Asia,Asia,2000-05-03,2000-05-16
Storm,India,Southern Asia,Asia,2000-10-17,2000-10-17
Flood,India,Southern Asia,Asia,2000-06-10,2000-06-10
Mass_movement_wet,India,Southern Asia,Asia,2000-06-13,2000-06-15
Mass_movement_wet,India,Southern Asia,Asia,2000-07-12,2000-07-12
Flood,India,Southern Asia,Asia,2000-07-16,2000-07-16
Flood,India,Southern Asia,Asia,2000-08-02,2000-08-30
Epidemic,India,Southern Asia,Asia,2000-07-04,2000-07-14
Mass_movement_wet,India,Southern Asia,Asia,2000-08-11,2000-08-11
Flood,India,Southern Asia,Asia,2000-08-23,2000-08-31
Epidemic,India,Southern Asia,Asia,2000-08-07,2000-08-16
Flood,India,Southern Asia,Asia,2000-09-18,2000-10-21
Epidemic,India,Southern Asia,Asia,2000-10-12,2000-10-12
Epidemic,India,Southern Asia,Asia,2000-10-12,2000-10-12
Flood,India,Southern Asia,Asia,2000-10-19,2000-10-19
Storm,India,Southern Asia,Asia,2000-11-29,2000-11-29
Epidemic,India,Southern Asia,Asia,2000-10-26,2000-10-26
Epidemic,India,Southern Asia,Asia,2000-08-31,2000-08-31
Drought,India,Southern Asia,Asia,2000-04-01,2001-07-26
Extreme_temperature,India,Southern Asia,Asia,2001-01-15,2001-01-20
Earthquake,India,Southern Asia,Asia,2001-01-26,2001-01-26
Epidemic,India,Southern Asia,Asia,2001-02-01,2001-02-01
Flood,India,Southern Asia,Asia,2001-06-05,2001-06-22
Epidemic,India,Southern Asia,Asia,2001-06-18,2001-06-18
Flood,India,Southern Asia,Asia,2001-07-08,2001-07-10
Storm,India,Southern Asia,Asia,2001-05-24,2001-05-24
Flood,India,Southern Asia,Asia,2001-06-15,2001-06-16
Flood,India,Southern Asia,Asia,2001-07-04,2001-07-16
Epidemic,India,Southern Asia,Asia,2001-07-07,2001-08-14
Mass_movement_wet,India,Southern Asia,Asia,2001-07-16,2001-07-16
Epidemic,India,Southern Asia,Asia,2001-08-07,2001-08-16
Flood,India,Southern Asia,Asia,2001-08-15,2001-08-17
Mass_movement_wet,India,Southern Asia,Asia,2001-08-14,2001-08-14
Flood,India,Southern Asia,Asia,2001-08-15,2001-08-17
Flood,India,Southern Asia,Asia,2001-08-20,2001-08-20
Flood,India,Southern Asia,Asia,2001-09-15,2001-09-15
Storm,India,Southern Asia,Asia,2001-10-16,2001-10-16
Mass_movement_wet,India,Southern Asia,Asia,2001-11-09,2001-11-09
Extreme_temperature,India,Southern Asia,Asia,2001-12-13,2001-12-20
Storm,India,Southern Asia,Asia,2001-05-28,2001-05-28
Flood,India,Southern Asia,Asia,2001-09-07,2001-09-24
Epidemic,India,Southern Asia,Asia,2002-03-12,2002-03-12
Storm,India,Southern Asia,Asia,2002-04-03,2002-04-03
Storm,India,Southern Asia,Asia,2002-04-11,2002-04-11
Extreme_temperature,India,Southern Asia,Asia,2002-05-10,2002-05-22
Epidemic,India,Southern Asia,Asia,2002-05-01,2002-05-01
Storm,India,Southern Asia,Asia,2002-04-27,2002-04-27
Flood,India,Southern Asia,Asia,2002-06-21,2002-08-28
Flood,India,Southern Asia,Asia,2002-08-11,2002-08-13
Epidemic,India,Southern Asia,Asia,2002-08-13,2002-08-13
Flood,India,Southern Asia,Asia,2002-08-20,2002-08-20
Flood,India,Southern Asia,Asia,2002-09-03,2002-09-06
Earthquake,India,Southern Asia,Asia,2002-09-13,2002-09-13
Flood,India,Southern Asia,Asia,2002-10-10,2002-10-16
Storm,India,Southern Asia,Asia,2002-11-13,2002-11-13
Flood,India,Southern Asia,Asia,2002-10-01,2002-10-01
Epidemic,India,Southern Asia,Asia,2002-09-01,2002-09-01
Extreme_temperature,India,Southern Asia,Asia,2002-12-13,2002-12-20
Drought,India,Southern Asia,Asia,2002-07-07,2002-08-31
Storm,India,Southern Asia,Asia,2003-02-17,2003-02-17
Storm,India,Southern Asia,Asia,2003-02-19,2003-02-19
Storm,India,Southern Asia,Asia,2003-02-18,2003-02-18
Storm,India,Southern Asia,Asia,2003-03-12,2003-03-12
Mass_movement_wet,India,Southern Asia,Asia,2003-03-03,2003-03-03
