Disaster_Type,Country,Subregion,Region,Start Date,End Date
Mass_movement_wet,Indonesia,South-eastern Asia,Asia,2000-02-22,2000-02-24
Epidemic,Indonesia,South-eastern Asia,Asia,2000-01-01,2000-01-27
Wildfire,Indonesia,South-eastern Asia,Asia,2000-02-08,2000-02-09
Earthquake,Indonesia,South-eastern Asia,Asia,2000-05-04,2000-05-04
Flood,Indonesia,South-eastern Asia,Asia,2000-05-16,2000-05-24
Earthquake,Indonesia,South-eastern Asia,Asia,2000-06-04,2000-06-04
Epidemic,Indonesia,South-eastern Asia,Asia,2000-05-03,2000-05-22
Earthquake,Indonesia,South-eastern Asia,Asia,2000-07-12,2000-07-12
Mass_movement_wet,Indonesia,South-eastern Asia,Asia,2000-06-24,2000-06-24
Mass_movement_wet,Indonesia,South-eastern Asia,Asia,2000-10-29,2000-11-01
Mass_movement_wet,Indonesia,South-eastern Asia,Asia,2000-11-05,2000-11-07
Earthquake,Indonesia,South-eastern Asia,Asia,2000-10-25,2000-10-25
Earthquake,Indonesia,South-eastern Asia,Asia,2000-06-07,2000-06-07
Flood,Indonesia,South-eastern Asia,Asia,2000-11-28,2000-12-04
Flood,Indonesia,South-eastern Asia,Asia,2000-12-03,2000-12-06
Mass_movement_wet,Indonesia,South-eastern Asia,Asia,2001-02-08,2001-02-12
Mass_movement_wet,Indonesia,South-eastern Asia,Asia,2001-01-22,2001-01-22
Flood,Indonesia,South-eastern Asia,Asia,2001-02-04,2001-02-18
Flood,Indonesia,South-eastern Asia,Asia,2001-07-31,2001-08-01
Earthquake,Indonesia,South-eastern Asia,Asia,2001-06-28,2001-06-28
Mass_movement_wet,Indonesia,South-eastern Asia,Asia,2001-10-30,2001-10-30
Mass_movement_wet,Indonesia,South-eastern Asia,Asia,2001-10-23,2001-10-23
Earthquake,Indonesia,South-eastern Asia,Asia,2001-02-13,2001-02-13
Flood,Indonesia,South-eastern Asia,Asia,2001-12-28,2002-01-01
Flood,Indonesia,South-eastern Asia,Asia,2002-01-08,2002-01-12
Epidemic,Indonesia,South-eastern Asia,Asia,2002-01-10,2002-01-10
Flood,Indonesia,South-eastern Asia,Asia,2002-01-13,2002-01-18
Flood,Indonesia,South-eastern Asia,Asia,2002-01-27,2002-02-12
Flood,Indonesia,South-eastern Asia,Asia,2002-03-27,2002-03-30
Flood,Indonesia,South-eastern Asia,Asia,2002-04-17,2002-04-20
Flood,Indonesia,South-eastern Asia,Asia,2002-05-16,2002-05-15
Earthquake,Indonesia,South-eastern Asia,Asia,2002-08-15,2002-08-15
Wildfire,Indonesia,South-eastern Asia,Asia,2002-08-09,2002-08-09
Earthquake,Indonesia,South-eastern Asia,Asia,2002-10-10,2002-10-10
Volcanic_activity,Indonesia,South-eastern Asia,Asia,2002-11-11,2002-11-11
Flood,Indonesia,South-eastern Asia,Asia,2002-11-19,2002-12-03
Mass_movement_wet,Indonesia,South-eastern Asia,Asia,2002-12-11,2002-12-11
Earthquake,Indonesia,South-eastern Asia,Asia,2002-09-20,2002-09-20
Earthquake,Indonesia,South-eastern Asia,Asia,2002-11-02,2002-11-02
Flood,Indonesia,South-eastern Asia,Asia,2003-01-17,2003-01-16
Flood,Indonesia,South-eastern Asia,Asia,2003-01-08,2003-01-08
Mass_movement_wet,Indonesia,South-eastern Asia,Asia,2003-01-29,2003-01-29
Mass_movement_wet,Indonesia,South-eastern Asia,Asia,2003-01-31,2003-01-31
Flood,Indonesia,South-eastern Asia,Asia,2003-01-10,2003-01-10
Earthquake,Indonesia,South-eastern Asia,Asia,2003-01-23,2003-01-23
Flood,Indonesia,South-eastern Asia,Asia,2003-01-28,2003-01-28
Flood,Indonesia,South-eastern Asia,Asia,2003-02-13,2003-02-14
Mass_movement_wet,Indonesia,South-eastern Asia,Asia,2003-03-18,2003-03-18
Mass_movement_wet,Indonesia,South-eastern Asia,Asia,2003-03-31,2003-04-02
Earthquake,Indonesia,South-eastern Asia,Asia,2003-05-27,2003-05-27
Earthquake,Indonesia,South-eastern Asia,Asia,2003-08-11,2003-08-11
Flood,Indonesia,South-eastern Asia,Asia,2003-11-02,2003-11-03
Flood,Indonesia,South-eastern Asia,Asia,2003-11-30,2003-12-06
Flood,Indonesia,South-eastern Asia,Asia,2003-12-10,2004-01-05
Drought,Indonesia,South-eastern Asia,Asia,2003-08-01,2003-09-30
Earthquake,Indonesia,South-eastern Asia,Asia,2004-01-01,2004-01-01
Volcanic_activity,Indonesia,South-eastern Asia,Asia,2004-01-29,2004-01-29
Earthquake,Indonesia,South-eastern Asia,Asia,2004-02-05,2004-02-05
Mass_movement_wet,Indonesia,South-eastern Asia,Asia,2004-01-23,2004-01-30
Storm,Indonesia,South-eastern Asia,Asia,2004-02-03,2004-02-05
Earthquake,Indonesia,South-eastern Asia,Asia,2004-02-16,2004-02-16
Epidemic,Indonesia,South-eastern Asia,Asia,2004-01-01,2004-04-30
Flood,Indonesia,South-eastern Asia,Asia,2004-02-18,2004-02-23
Mass_movement_wet,Indonesia,South-eastern Asia,Asia,2004-03-27,2004-03-27
Storm,Indonesia,South-eastern Asia,Asia,2004-03-30,2004-03-30
Mass_movement_wet,Indonesia,South-eastern Asia,Asia,2004-04-22,2004-04-22
Mass_movement_wet,Indonesia,South-eastern Asia,Asia,2004-04-23,2004-04-23
Volcanic_activity,Indonesia,South-eastern Asia,Asia,2004-06-01,2004-06-07
Volcanic_activity,Indonesia,South-eastern Asia,Asia,2004-06-08,2004-06-08
Volcanic_activity,Indonesia,South-eastern Asia,Asia,2004-09-04,2004-09-04
Earthquake,Indonesia,South-eastern Asia,Asia,2004-11-11,2004-11-11
Earthquake,Indonesia,South-eastern Asia,Asia,2004-11-26,2004-11-26
Earthquake,Indonesia,South-eastern Asia,Asia,2004-12-26,2004-12-26
Earthquake,Indonesia,South-eastern Asia,Asia,2005-01-23,2005-01-23
Mass_movement_wet,Indonesia,South-eastern Asia,Asia,2005-02-21,2005-02-21
Earthquake,Indonesia,South-eastern Asia,Asia,2005-03-28,2005-03-28
Volcanic_activity,Indonesia,South-eastern Asia,Asia,2005-04-12,2005-04-12
Flood,Indonesia,South-eastern Asia,Asia,2005-04-26,2005-04-27
Epidemic,Indonesia,South-eastern Asia,Asia,2005-06-01,2006-01-31
Wildfire,Indonesia,South-eastern Asia,Asia,2005-08-09,2005-08-09
Mass_movement_wet,Indonesia,South-eastern Asia,Asia,2005-09-02,2005-09-02
Flood,Indonesia,South-eastern Asia,Asia,2005-10-18,2005-10-19
Flood,Indonesia,South-eastern Asia,Asia,2005-12-31,2006-01-03
Mass_movement_wet,Indonesia,South-eastern Asia,Asia,2006-01-01,2006-01-04
Mass_movement_wet,Indonesia,South-eastern Asia,Asia,2006-01-22,2006-01-27
Flood,Indonesia,South-eastern Asia,Asia,2006-01-26,2006-02-14
Flood,Indonesia,South-eastern Asia,Asia,2006-02-13,2006-02-23
Flood,Indonesia,South-eastern Asia,Asia,2006-04-19,2006-04-23
Volcanic_activity,Indonesia,South-eastern Asia,Asia,2006-04-18,2006-05-15
Earthquake,Indonesia,South-eastern Asia,Asia,2006-03-14,2006-03-14
Earthquake,Indonesia,South-eastern Asia,Asia,2006-05-26,2006-05-26
Flood,Indonesia,South-eastern Asia,Asia,2006-06-19,2006-06-23
Flood,Indonesia,South-eastern Asia,Asia,2006-06-24,2006-06-26
Flood,Indonesia,South-eastern Asia,Asia,2006-06-25,2006-06-29
