Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Iran (Islamic Republic of),Southern Asia,Asia,2000-01-18,2000-01-18
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2000-02-02,2000-02-02
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2000-02-14,2000-02-14
Epidemic,Iran (Islamic Republic of),Southern Asia,Asia,2000-05-02,2000-05-02
Flood,Iran (Islamic Republic of),Southern Asia,Asia,2000-08-08,2000-08-09
Flood,Iran (Islamic Republic of),Southern Asia,Asia,2001-05-06,2001-05-06
Flood,Iran (Islamic Republic of),Southern Asia,Asia,2001-07-20,2001-07-21
Flood,Iran (Islamic Republic of),Southern Asia,Asia,2001-08-10,2001-08-12
Flood,Iran (Islamic Republic of),Southern Asia,Asia,2001-10-01,2001-10-02
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2001-10-08,2001-10-08
Flood,Iran (Islamic Republic of),Southern Asia,Asia,2002-01-11,2002-01-13
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2002-02-17,2002-02-17
Flood,Iran (Islamic Republic of),Southern Asia,Asia,2002-04-14,2002-04-16
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2002-04-24,2002-04-24
Wildfire,Iran (Islamic Republic of),Southern Asia,Asia,2002-06-05,2002-06-09
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2002-06-22,2002-06-22
Flood,Iran (Islamic Republic of),Southern Asia,Asia,2002-08-10,2002-08-14
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2002-12-24,2002-12-24
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2002-09-25,2002-09-25
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2003-01-11,2003-01-11
Flood,Iran (Islamic Republic of),Southern Asia,Asia,2003-03-26,2003-03-27
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2003-07-03,2003-07-03
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2003-07-10,2003-07-10
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2003-12-26,2003-12-26
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2003-12-11,2003-12-11
Mass_movement_wet,Iran (Islamic Republic of),Southern Asia,Asia,2003-02-26,2003-02-26
Storm,Iran (Islamic Republic of),Southern Asia,Asia,2004-02-15,2004-02-15
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2004-05-28,2004-05-28
Flood,Iran (Islamic Republic of),Southern Asia,Asia,2004-12-09,2004-12-28
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2005-01-10,2005-01-10
Storm,Iran (Islamic Republic of),Southern Asia,Asia,2005-02-13,2005-02-13
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2005-02-22,2005-02-22
Flood,Iran (Islamic Republic of),Southern Asia,Asia,2005-03-11,2005-03-12
Flood,Iran (Islamic Republic of),Southern Asia,Asia,2005-07-31,2005-08-01
Flood,Iran (Islamic Republic of),Southern Asia,Asia,2005-08-09,2005-08-11
Flood,Iran (Islamic Republic of),Southern Asia,Asia,2005-08-15,2005-08-15
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2005-11-27,2005-11-27
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2005-03-13,2005-03-13
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2006-02-28,2006-02-28
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2006-03-31,2006-03-31
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2006-05-07,2006-05-07
Flood,Iran (Islamic Republic of),Southern Asia,Asia,2006-05-08,2006-05-13
Storm,Iran (Islamic Republic of),Southern Asia,Asia,2007-06-06,2007-06-10
Flood,Iran (Islamic Republic of),Southern Asia,Asia,2007-06-27,2007-06-29
Storm,Iran (Islamic Republic of),Southern Asia,Asia,2008-01-11,2008-01-16
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2008-05-01,2008-05-01
Flood,Iran (Islamic Republic of),Southern Asia,Asia,2008-09-09,2008-09-10
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2008-09-10,2008-09-10
Flood,Iran (Islamic Republic of),Southern Asia,Asia,2008-08-07,2008-08-08
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2009-11-03,2009-11-03
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2010-01-16,2010-01-17
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2010-07-30,2010-07-30
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2010-07-20,2010-07-20
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2010-11-06,2010-11-06
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2010-12-20,2010-12-20
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2010-08-27,2010-08-27
Earthquake,Iran (Islamic Republic of),Southern Asia,Asia,2012-08-11,2012-08-11
