Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Ireland,Northern Europe,Europe,2000-01-01,2000-07-29
Storm,Ireland,Northern Europe,Europe,2000-11-17,2000-11-26
Flood,Ireland,Northern Europe,Europe,2002-11-14,2002-11-25
Storm,Ireland,Northern Europe,Europe,2004-10-27,2004-10-31
Storm,Ireland,Northern Europe,Europe,2005-01-07,2005-01-08
Flood,Ireland,Northern Europe,Europe,2009-11-18,2009-11-20
Flood,Ireland,Northern Europe,Europe,2011-10-25,2011-10-25
Storm,Ireland,Northern Europe,Europe,2014-02-12,2014-02-14
Storm,Ireland,Northern Europe,Europe,2015-12-06,2015-12-06
Flood,Ireland,Northern Europe,Europe,2017-11-22,2017-11-23
Storm,Ireland,Northern Europe,Europe,2018-01-02,2018-01-03
Storm,Ireland,Northern Europe,Europe,2021-05-22,2021-05-22
Storm,Ireland,Northern Europe,Europe,2022-02-18,2022-02-18
Extreme_temperature,Ireland,Northern Europe,Europe,2022-05-30,2022-09-04
Extreme_temperature,Ireland,Northern Europe,Europe,2023-07-23,2023-08-25
Storm,Ireland,Northern Europe,Europe,2024-11-23,2024-11-27
