Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Israel,Western Asia,Asia,2000-01-19,2000-01-19
Extreme_temperature,Israel,Western Asia,Asia,2000-07-21,2000-07-17
Epidemic,Israel,Western Asia,Asia,2000-08-09,2000-09-19
Flood,Israel,Western Asia,Asia,2010-01-19,2010-01-19
Wildfire,Israel,Western Asia,Asia,2010-12-02,2010-12-05
Storm,Israel,Western Asia,Asia,2013-12-02,2013-12-15
Storm,Israel,Western Asia,Asia,2015-09-08,2015-09-10
Wildfire,Israel,Western Asia,Asia,2016-11-18,2016-11-26
Flood,Israel,Western Asia,Asia,2018-04-24,2018-04-27
Flood,Israel,Western Asia,Asia,2020-01-04,2020-01-09
Wildfire,Israel,Western Asia,Asia,2020-10-09,2020-10-09
