Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Italy,Southern Europe,Europe,2000-09-10,2000-09-10
Flood,Italy,Southern Europe,Europe,2000-09-20,2000-09-20
Flood,Italy,Southern Europe,Europe,2000-10-14,2000-10-22
Flood,Italy,Southern Europe,Europe,2000-11-20,2000-11-20
Volcanic_activity,Italy,Southern Europe,Europe,2001-07-18,2001-07-18
Storm,Italy,Southern Europe,Europe,2001-07-06,2001-07-08
Flood,Italy,Southern Europe,Europe,2001-09-14,2001-09-15
Flood,Italy,Southern Europe,Europe,2002-06-06,2002-06-09
Epidemic,Italy,Southern Europe,Europe,2002-06-08,2002-06-23
Flood,Italy,Southern Europe,Europe,2002-08-04,2002-08-14
Earthquake,Italy,Southern Europe,Europe,2002-10-29,2002-10-29
Earthquake,Italy,Southern Europe,Europe,2002-10-31,2002-10-31
Flood,Italy,Southern Europe,Europe,2002-11-22,2002-12-03
Earthquake,Italy,Southern Europe,Europe,2002-09-06,2002-09-06
Drought,Italy,Southern Europe,Europe,2002-05-07,2002-08-31
Flood,Italy,Southern Europe,Europe,2003-01-25,2003-01-27
Earthquake,Italy,Southern Europe,Europe,2003-04-11,2003-04-11
Extreme_temperature,Italy,Southern Europe,Europe,2003-07-16,2003-08-15
Flood,Italy,Southern Europe,Europe,2003-08-29,2003-08-31
Storm,Italy,Southern Europe,Europe,2004-11-13,2004-11-14
Extreme_temperature,Italy,Southern Europe,Europe,2005-12-27,2006-01-30
Storm,Italy,Southern Europe,Europe,2006-03-13,2006-03-18
Mass_movement_wet,Italy,Southern Europe,Europe,2006-04-30,2006-04-30
Extreme_temperature,Italy,Southern Europe,Europe,2007-06-26,2007-06-22
Wildfire,Italy,Southern Europe,Europe,2007-07-18,2007-08-18
Flood,Italy,Southern Europe,Europe,2008-05-29,2008-05-30
Flood,Italy,Southern Europe,Europe,2008-07-12,2008-07-12
Flood,Italy,Southern Europe,Europe,2008-12-11,2008-12-15
Storm,Italy,Southern Europe,Europe,2009-01-24,2009-01-25
Earthquake,Italy,Southern Europe,Europe,2009-04-06,2009-04-06
Wildfire,Italy,Southern Europe,Europe,2009-07-20,2009-07-27
Flood,Italy,Southern Europe,Europe,2009-10-01,2009-10-06
Extreme_temperature,Italy,Southern Europe,Europe,2009-12-21,2009-12-21
Flood,Italy,Southern Europe,Europe,2010-11-08,2010-11-11
Extreme_temperature,Italy,Southern Europe,Europe,2010-12-01,2010-12-01
Storm,Italy,Southern Europe,Europe,2010-10-31,2010-11-02
Extreme_temperature,Italy,Southern Europe,Europe,2011-08-17,2011-08-24
Flood,Italy,Southern Europe,Europe,2011-10-26,2011-10-26
Flood,Italy,Southern Europe,Europe,2011-11-04,2011-11-06
Extreme_temperature,Italy,Southern Europe,Europe,2012-02-23,2012-02-15
Earthquake,Italy,Southern Europe,Europe,2012-05-20,2012-05-20
Earthquake,Italy,Southern Europe,Europe,2012-05-29,2012-05-29
Flood,Italy,Southern Europe,Europe,2012-11-11,2012-11-18
Drought,Italy,Southern Europe,Europe,2012-06-01,2012-10-10
Flood,Italy,Southern Europe,Europe,2013-11-18,2013-11-19
Flood,Italy,Southern Europe,Europe,2014-01-18,2014-01-31
Flood,Italy,Southern Europe,Europe,2014-01-31,2014-02-01
Flood,Italy,Southern Europe,Europe,2014-05-02,2014-05-10
Flood,Italy,Southern Europe,Europe,2014-10-08,2014-10-11
Storm,Italy,Southern Europe,Europe,2014-11-12,2014-11-16
Storm,Italy,Southern Europe,Europe,2015-03-02,2015-03-09
Flood,Italy,Southern Europe,Europe,2015-10-14,2015-10-16
Flood,Italy,Southern Europe,Europe,2015-11-01,2015-11-13
Flood,Italy,Southern Europe,Europe,2015-08-11,2015-08-12
Earthquake,Italy,Southern Europe,Europe,2016-08-24,2016-08-24
Earthquake,Italy,Southern Europe,Europe,2016-10-26,2016-10-26
Earthquake,Italy,Southern Europe,Europe,2016-10-30,2016-10-30
Flood,Italy,Southern Europe,Europe,2016-11-23,2016-11-25
Earthquake,Italy,Southern Europe,Europe,2017-01-18,2017-01-19
Storm,Italy,Southern Europe,Europe,2017-08-05,2017-08-06
Earthquake,Italy,Southern Europe,Europe,2017-08-23,2017-08-23
Storm,Italy,Southern Europe,Europe,2017-09-09,2017-09-10
Flood,Italy,Southern Europe,Europe,2017-12-11,2017-12-12
Drought,Italy,Southern Europe,Europe,2017-07-01,2017-07-31
Extreme_temperature,Italy,Southern Europe,Europe,2018-02-23,2018-02-28
Extreme_temperature,Italy,Southern Europe,Europe,2018-08-18,2018-08-25
Flood,Italy,Southern Europe,Europe,2018-08-21,2018-08-21
Storm,Italy,Southern Europe,Europe,2018-10-29,2018-11-04
Volcanic_activity,Italy,Southern Europe,Europe,2018-12-24,2018-12-26
Flood,Italy,Southern Europe,Europe,2019-05-15,2019-05-15
Extreme_temperature,Italy,Southern Europe,Europe,2019-06-26,2019-06-30
Storm,Italy,Southern Europe,Europe,2019-11-03,2019-11-03
Storm,Italy,Southern Europe,Europe,2019-11-12,2019-11-18
Storm,Italy,Southern Europe,Europe,2019-11-23,2019-11-24
Storm,Italy,Southern Europe,Europe,2020-02-08,2020-02-09
Mass_movement_wet,Italy,Southern Europe,Europe,2020-08-12,2020-08-12
Storm,Italy,Southern Europe,Europe,2020-08-29,2020-08-30
Storm,Italy,Southern Europe,Europe,2020-10-02,2020-10-04
Flood,Italy,Southern Europe,Europe,2020-11-27,2020-11-28
Flood,Italy,Southern Europe,Europe,2020-12-04,2020-12-08
Flood,Italy,Southern Europe,Europe,2020-11-20,2020-11-22
Flood,Italy,Southern Europe,Europe,2021-07-13,2021-07-13
Wildfire,Italy,Southern Europe,Europe,2021-07-23,2021-07-25
Glacial_lake_outburst_flood,Italy,Southern Europe,Europe,2022-07-03,2022-07-03
Extreme_temperature,Italy,Southern Europe,Europe,2022-05-30,2022-09-04
Storm,Italy,Southern Europe,Europe,2022-08-14,2022-08-18
Flood,Italy,Southern Europe,Europe,2022-09-15,2022-09-16
Mass_movement_wet,Italy,Southern Europe,Europe,2022-11-26,2022-11-26
Drought,Italy,Southern Europe,Europe,2022-06-01,2022-12-31
