Disaster_Type,Country,Subregion,Region,Start Date,End Date
Drought,Jamaica,Latin America and the Caribbean,Americas,2000-03-07,2000-08-26
Storm,Jamaica,Latin America and the Caribbean,Americas,2001-11-06,2001-11-06
Flood,Jamaica,Latin America and the Caribbean,Americas,2002-05-23,2002-06-05
Storm,Jamaica,Latin America and the Caribbean,Americas,2002-09-30,2002-09-30
Storm,Jamaica,Latin America and the Caribbean,Americas,2002-09-18,2002-09-19
Storm,Jamaica,Latin America and the Caribbean,Americas,2004-08-13,2004-08-13
Storm,Jamaica,Latin America and the Caribbean,Americas,2004-09-11,2004-09-11
Storm,Jamaica,Latin America and the Caribbean,Americas,2005-07-07,2005-07-07
Storm,Jamaica,Latin America and the Caribbean,Americas,2005-07-18,2005-07-18
Storm,Jamaica,Latin America and the Caribbean,Americas,2005-10-19,2005-10-24
Flood,Jamaica,Latin America and the Caribbean,Americas,2006-11-22,2006-11-26
Epidemic,Jamaica,Latin America and the Caribbean,Americas,2006-11-06,2007-02-02
Storm,Jamaica,Latin America and the Caribbean,Americas,2007-08-20,2007-08-20
Storm,Jamaica,Latin America and the Caribbean,Americas,2007-10-28,2007-11-02
Storm,Jamaica,Latin America and the Caribbean,Americas,2008-08-18,2008-08-24
Storm,Jamaica,Latin America and the Caribbean,Americas,2008-08-28,2008-08-29
Storm,Jamaica,Latin America and the Caribbean,Americas,2010-09-29,2010-09-30
Storm,Jamaica,Latin America and the Caribbean,Americas,2012-10-24,2012-10-24
Storm,Jamaica,Latin America and the Caribbean,Americas,2016-09-27,2016-10-03
Storm,Jamaica,Latin America and the Caribbean,Americas,2017-04-20,2017-04-23
Storm,Jamaica,Latin America and the Caribbean,Americas,2024-07-03,2024-07-04
