Disaster_Type,Country,Subregion,Region,Start Date,End Date
Volcanic_activity,Japan,Eastern Asia,Asia,2000-03-31,2000-04-13
Storm,Japan,Eastern Asia,Asia,2000-05-24,2000-05-24
Earthquake,Japan,Eastern Asia,Asia,2000-07-01,2000-07-01
Storm,Japan,Eastern Asia,Asia,2000-07-08,2000-07-09
Volcanic_activity,Japan,Eastern Asia,Asia,2000-08-10,2000-08-10
Storm,Japan,Eastern Asia,Asia,2000-09-11,2000-09-14
Flood,Japan,Eastern Asia,Asia,2000-09-10,2000-09-17
Earthquake,Japan,Eastern Asia,Asia,2000-10-06,2000-10-06
Storm,Japan,Eastern Asia,Asia,2001-01-20,2001-01-20
Earthquake,Japan,Eastern Asia,Asia,2001-03-24,2001-03-24
Flood,Japan,Eastern Asia,Asia,2001-06-15,2001-06-15
Storm,Japan,Eastern Asia,Asia,2001-08-21,2001-08-23
Storm,Japan,Eastern Asia,Asia,2001-06-20,2001-06-20
Storm,Japan,Eastern Asia,Asia,2001-09-10,2001-09-13
Wildfire,Japan,Eastern Asia,Asia,2002-03-22,2002-03-22
Storm,Japan,Eastern Asia,Asia,2002-07-05,2002-07-07
Storm,Japan,Eastern Asia,Asia,2002-07-15,2002-07-15
Storm,Japan,Eastern Asia,Asia,2002-07-05,2002-07-05
Storm,Japan,Eastern Asia,Asia,2002-09-04,2002-09-08
Storm,Japan,Eastern Asia,Asia,2002-12-09,2002-12-09
Earthquake,Japan,Eastern Asia,Asia,2003-05-26,2003-05-26
Flood,Japan,Eastern Asia,Asia,2003-07-19,2003-07-21
Earthquake,Japan,Eastern Asia,Asia,2003-07-25,2003-07-25
Storm,Japan,Eastern Asia,Asia,2003-08-08,2003-08-11
Storm,Japan,Eastern Asia,Asia,2003-09-12,2003-09-13
Earthquake,Japan,Eastern Asia,Asia,2003-09-25,2003-09-25
Storm,Japan,Eastern Asia,Asia,2004-06-16,2004-06-19
Flood,Japan,Eastern Asia,Asia,2004-07-12,2004-07-14
Extreme_temperature,Japan,Eastern Asia,Asia,2004-07-12,2004-08-15
Storm,Japan,Eastern Asia,Asia,2004-08-17,2004-08-20
Storm,Japan,Eastern Asia,Asia,2004-08-23,2004-08-23
Storm,Japan,Eastern Asia,Asia,2004-08-30,2004-08-31
Storm,Japan,Eastern Asia,Asia,2004-09-03,2004-09-04
Storm,Japan,Eastern Asia,Asia,2004-09-23,2004-09-25
Storm,Japan,Eastern Asia,Asia,2004-10-03,2004-10-08
Storm,Japan,Eastern Asia,Asia,2004-10-15,2004-10-19
Earthquake,Japan,Eastern Asia,Asia,2004-10-23,2004-10-23
Flood,Japan,Eastern Asia,Asia,2004-11-11,2004-11-12
Earthquake,Japan,Eastern Asia,Asia,2005-03-20,2005-03-20
Earthquake,Japan,Eastern Asia,Asia,2005-04-19,2005-04-19
Flood,Japan,Eastern Asia,Asia,2005-06-28,2005-06-28
Storm,Japan,Eastern Asia,Asia,2005-08-25,2005-08-26
Storm,Japan,Eastern Asia,Asia,2005-09-02,2005-09-04
Storm,Japan,Eastern Asia,Asia,2005-12-09,2006-01-05
Flood,Japan,Eastern Asia,Asia,2006-06-19,2006-07-20
Flood,Japan,Eastern Asia,Asia,2006-07-22,2006-07-26
Storm,Japan,Eastern Asia,Asia,2006-09-15,2006-09-20
