Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Kazakhstan,Central Asia,Asia,2000-04-18,2000-04-14
Epidemic,Kazakhstan,Central Asia,Asia,2000-01-01,2000-01-18
Extreme_temperature,Kazakhstan,Central Asia,Asia,2001-01-15,2001-01-18
Flood,Kazakhstan,Central Asia,Asia,2001-05-13,2001-05-13
Earthquake,Kazakhstan,Central Asia,Asia,2003-05-23,2003-05-23
Mass_movement_wet,Kazakhstan,Central Asia,Asia,2004-03-14,2004-03-14
Flood,Kazakhstan,Central Asia,Asia,2005-02-24,2005-03-23
Flood,Kazakhstan,Central Asia,Asia,2008-02-20,2008-03-03
Flood,Kazakhstan,Central Asia,Asia,2010-02-20,2010-03-14
Flood,Kazakhstan,Central Asia,Asia,2010-03-17,2010-03-24
Flood,Kazakhstan,Central Asia,Asia,2011-04-09,2011-04-15
Flood,Kazakhstan,Central Asia,Asia,2012-02-18,2012-02-20
Extreme_temperature,Kazakhstan,Central Asia,Asia,2012-12-18,2013-01-13
Flood,Kazakhstan,Central Asia,Asia,2014-03-23,2014-04-15
Flood,Kazakhstan,Central Asia,Asia,2015-04-08,2015-04-12
Flood,Kazakhstan,Central Asia,Asia,2017-04-14,2017-04-21
Flood,Kazakhstan,Central Asia,Asia,2018-03-09,2018-03-14
Flood,Kazakhstan,Central Asia,Asia,2020-05-01,2020-05-04
Drought,Kazakhstan,Central Asia,Asia,2021-06-01,2021-07-31
Wildfire,Kazakhstan,Central Asia,Asia,2023-06-08,2023-06-15
Earthquake,Kazakhstan,Central Asia,Asia,2024-01-23,2024-01-23
Flood,Kazakhstan,Central Asia,Asia,2024-04-03,2024-04-12
