Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Kenya,Sub-Saharan Africa,Africa,2000-01-07,2000-01-15
Epidemic,Kenya,Sub-Saharan Africa,Africa,2000-01-06,2000-01-06
Epidemic,Kenya,Sub-Saharan Africa,Africa,2000-02-20,2000-02-20
Epidemic,Kenya,Sub-Saharan Africa,Africa,2000-06-10,2000-06-16
Epidemic,Kenya,Sub-Saharan Africa,Africa,2000-08-11,2000-08-15
Epidemic,Kenya,Sub-Saharan Africa,Africa,2001-02-11,2001-03-16
Epidemic,Kenya,Sub-Saharan Africa,Africa,2001-06-01,2001-06-01
Epidemic,Kenya,Sub-Saharan Africa,Africa,2001-08-11,2001-08-15
Epidemic,Kenya,Sub-Saharan Africa,Africa,2001-12-12,2001-12-14
Mass_movement_wet,Kenya,Sub-Saharan Africa,Africa,2002-04-30,2002-04-30
Flood,Kenya,Sub-Saharan Africa,Africa,2002-04-26,2002-05-28
Flood,Kenya,Sub-Saharan Africa,Africa,2002-10-29,2002-11-04
Flood,Kenya,Sub-Saharan Africa,Africa,2002-11-17,2002-11-20
Flood,Kenya,Sub-Saharan Africa,Africa,2002-12-21,2002-12-23
Flood,Kenya,Sub-Saharan Africa,Africa,2003-04-13,2003-05-18
Flood,Kenya,Sub-Saharan Africa,Africa,2003-01-04,2003-01-06
Flood,Kenya,Sub-Saharan Africa,Africa,2004-04-09,2004-04-12
Flood,Kenya,Sub-Saharan Africa,Africa,2004-04-09,2004-05-11
Epidemic,Kenya,Sub-Saharan Africa,Africa,2004-05-15,2004-07-14
Earthquake,Kenya,Sub-Saharan Africa,Africa,2004-12-26,2004-12-26
Drought,Kenya,Sub-Saharan Africa,Africa,2004-07-01,2004-07-31
Flood,Kenya,Sub-Saharan Africa,Africa,2005-04-23,2005-04-26
Flood,Kenya,Sub-Saharan Africa,Africa,2005-05-18,2005-05-24
Flood,Kenya,Sub-Saharan Africa,Africa,2005-06-17,2005-06-20
Epidemic,Kenya,Sub-Saharan Africa,Africa,2005-12-01,2006-02-15
Epidemic,Kenya,Sub-Saharan Africa,Africa,2005-11-10,2006-04-14
Drought,Kenya,Sub-Saharan Africa,Africa,2005-12-01,2006-07-31
Epidemic,Kenya,Sub-Saharan Africa,Africa,2006-01-01,2006-01-28
Flood,Kenya,Sub-Saharan Africa,Africa,2006-04-04,2006-05-22
Flood,Kenya,Sub-Saharan Africa,Africa,2006-04-25,2006-05-04
Epidemic,Kenya,Sub-Saharan Africa,Africa,2006-05-10,2006-05-15
Flood,Kenya,Sub-Saharan Africa,Africa,2006-10-15,2006-10-26
Flood,Kenya,Sub-Saharan Africa,Africa,2006-10-23,2006-12-19
Epidemic,Kenya,Sub-Saharan Africa,Africa,2006-11-30,2007-03-12
Flood,Kenya,Sub-Saharan Africa,Africa,2007-05-15,2007-06-11
Mass_movement_wet,Kenya,Sub-Saharan Africa,Africa,2007-08-10,2007-08-13
Flood,Kenya,Sub-Saharan Africa,Africa,2007-08-15,2007-10-31
Flood,Kenya,Sub-Saharan Africa,Africa,2007-12-12,2007-12-15
Epidemic,Kenya,Sub-Saharan Africa,Africa,2008-02-13,2008-02-15
Flood,Kenya,Sub-Saharan Africa,Africa,2008-03-17,2008-04-05
Flood,Kenya,Sub-Saharan Africa,Africa,2008-03-20,2008-04-02
Flood,Kenya,Sub-Saharan Africa,Africa,2008-06-13,2008-06-20
Flood,Kenya,Sub-Saharan Africa,Africa,2008-10-14,2008-10-16
Flood,Kenya,Sub-Saharan Africa,Africa,2008-10-04,2008-10-07
Mass_movement_wet,Kenya,Sub-Saharan Africa,Africa,2008-11-08,2008-11-08
Flood,Kenya,Sub-Saharan Africa,Africa,2008-11-10,2008-11-25
Drought,Kenya,Sub-Saharan Africa,Africa,2008-07-01,2009-07-31
Epidemic,Kenya,Sub-Saharan Africa,Africa,2009-01-10,2009-05-21
Flood,Kenya,Sub-Saharan Africa,Africa,2009-10-29,2009-11-04
Epidemic,Kenya,Sub-Saharan Africa,Africa,2009-11-23,2009-12-09
Epidemic,Kenya,Sub-Saharan Africa,Africa,2009-11-13,2009-12-14
Flood,Kenya,Sub-Saharan Africa,Africa,2009-12-24,2010-01-12
Flood,Kenya,Sub-Saharan Africa,Africa,2010-03-01,2010-05-14
Epidemic,Kenya,Sub-Saharan Africa,Africa,2010-01-01,2010-05-26
Mass_movement_wet,Kenya,Sub-Saharan Africa,Africa,2010-04-30,2010-04-30
Flood,Kenya,Sub-Saharan Africa,Africa,2010-05-08,2010-05-24
Epidemic,Kenya,Sub-Saharan Africa,Africa,2010-12-27,2011-04-14
Drought,Kenya,Sub-Saharan Africa,Africa,2011-01-01,2011-01-31
Flood,Kenya,Sub-Saharan Africa,Africa,2011-08-15,2011-09-08
Flood,Kenya,Sub-Saharan Africa,Africa,2011-11-04,2011-11-04
Flood,Kenya,Sub-Saharan Africa,Africa,2011-11-29,2011-12-22
Flood,Kenya,Sub-Saharan Africa,Africa,2012-04-20,2012-05-16
Flood,Kenya,Sub-Saharan Africa,Africa,2013-03-10,2013-04-30
Flood,Kenya,Sub-Saharan Africa,Africa,2013-08-05,2013-08-07
