Disaster_Type,Country,Subregion,Region,Start Date,End Date
Extreme_temperature,Kyrgyzstan,Central Asia,Asia,2000-10-16,2000-10-16
Mass_movement_wet,Kyrgyzstan,Central Asia,Asia,2002-05-02,2002-05-02
Mass_movement_wet,Kyrgyzstan,Central Asia,Asia,2003-04-20,2003-04-20
Mass_movement_wet,Kyrgyzstan,Central Asia,Asia,2004-04-17,2004-04-17
Mass_movement_wet,Kyrgyzstan,Central Asia,Asia,2004-04-26,2004-04-26
Mass_movement_wet,Kyrgyzstan,Central Asia,Asia,2004-08-05,2004-08-05
Flood,Kyrgyzstan,Central Asia,Asia,2005-06-10,2005-06-13
Storm,Kyrgyzstan,Central Asia,Asia,2006-01-14,2006-02-16
Earthquake,Kyrgyzstan,Central Asia,Asia,2006-12-26,2006-12-26
Flood,Kyrgyzstan,Central Asia,Asia,2007-04-17,2007-04-25
Earthquake,Kyrgyzstan,Central Asia,Asia,2008-01-13,2008-01-13
Earthquake,Kyrgyzstan,Central Asia,Asia,2008-10-05,2008-10-05
Mass_movement_wet,Kyrgyzstan,Central Asia,Asia,2010-06-03,2010-06-03
Epidemic,Kyrgyzstan,Central Asia,Asia,2010-03-04,2010-05-25
Earthquake,Kyrgyzstan,Central Asia,Asia,2011-07-19,2011-07-19
Flood,Kyrgyzstan,Central Asia,Asia,2012-04-23,2012-04-29
Extreme_temperature,Kyrgyzstan,Central Asia,Asia,2012-12-18,2012-12-22
Storm,Kyrgyzstan,Central Asia,Asia,2014-02-01,2014-02-07
Earthquake,Kyrgyzstan,Central Asia,Asia,2015-11-17,2015-11-17
Mass_movement_wet,Kyrgyzstan,Central Asia,Asia,2017-04-29,2017-04-29
Earthquake,Kyrgyzstan,Central Asia,Asia,2017-05-03,2017-05-03
Mass_movement_wet,Kyrgyzstan,Central Asia,Asia,2021-07-12,2021-07-13
Extreme_temperature,Kyrgyzstan,Central Asia,Asia,2022-07-18,2022-07-25
Epidemic,Kyrgyzstan,Central Asia,Asia,2023-01-10,2023-11-13
Flood,Kyrgyzstan,Central Asia,Asia,2024-04-21,2024-04-22
Flood,Kyrgyzstan,Central Asia,Asia,2024-05-05,2024-05-07
Flood,Kyrgyzstan,Central Asia,Asia,2024-07-14,2024-07-16
