Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Lao People's Democratic Republic,South-eastern Asia,Asia,2000-06-01,2000-06-22
Flood,Lao People's Democratic Republic,South-eastern Asia,Asia,2000-09-15,2000-09-16
Epidemic,Lao People's Democratic Republic,South-eastern Asia,Asia,2000-01-01,2000-01-27
Flood,Lao People's Democratic Republic,South-eastern Asia,Asia,2001-08-15,2001-08-15
Flood,Lao People's Democratic Republic,South-eastern Asia,Asia,2002-08-15,2002-08-15
Flood,Lao People's Democratic Republic,South-eastern Asia,Asia,2008-08-12,2008-08-18
Storm,Lao People's Democratic Republic,South-eastern Asia,Asia,2009-09-29,2009-10-01
Flood,Lao People's Democratic Republic,South-eastern Asia,Asia,2009-08-10,2009-08-11
Flood,Lao People's Democratic Republic,South-eastern Asia,Asia,2011-06-23,2011-06-29
Flood,Lao People's Democratic Republic,South-eastern Asia,Asia,2011-08-01,2011-10-13
Flood,Lao People's Democratic Republic,South-eastern Asia,Asia,2013-06-15,2013-08-16
Epidemic,Lao People's Democratic Republic,South-eastern Asia,Asia,2013-01-01,2013-08-27
Flood,Lao People's Democratic Republic,South-eastern Asia,Asia,2013-09-16,2013-09-18
Flood,Lao People's Democratic Republic,South-eastern Asia,Asia,2014-08-12,2014-08-18
Flood,Lao People's Democratic Republic,South-eastern Asia,Asia,2015-08-01,2015-08-15
Flood,Lao People's Democratic Republic,South-eastern Asia,Asia,2015-09-07,2015-09-11
Flood,Lao People's Democratic Republic,South-eastern Asia,Asia,2016-08-11,2016-08-20
Storm,Lao People's Democratic Republic,South-eastern Asia,Asia,2017-07-17,2017-07-19
Flood,Lao People's Democratic Republic,South-eastern Asia,Asia,2018-07-23,2018-07-23
Storm,Lao People's Democratic Republic,South-eastern Asia,Asia,2018-07-18,2018-07-19
Storm,Lao People's Democratic Republic,South-eastern Asia,Asia,2018-08-13,2018-08-16
Flood,Lao People's Democratic Republic,South-eastern Asia,Asia,2019-08-29,2019-09-03
Drought,Lao People's Democratic Republic,South-eastern Asia,Asia,2019-07-01,2019-07-31
Storm,Lao People's Democratic Republic,South-eastern Asia,Asia,2020-08-01,2020-08-03
Storm,Lao People's Democratic Republic,South-eastern Asia,Asia,2020-10-06,2020-10-20
Storm,Lao People's Democratic Republic,South-eastern Asia,Asia,2021-06-13,2021-06-13
Earthquake,Lao People's Democratic Republic,South-eastern Asia,Asia,2021-12-24,2021-12-24
Flood,Lao People's Democratic Republic,South-eastern Asia,Asia,2022-08-07,2022-08-10
Flood,Lao People's Democratic Republic,South-eastern Asia,Asia,2023-07-04,2023-08-21
Flood,Lao People's Democratic Republic,South-eastern Asia,Asia,2024-07-22,2024-08-08
Storm,Lao People's Democratic Republic,South-eastern Asia,Asia,2024-09-01,2024-09-08
