Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Latvia,Northern Europe,Europe,2000-08-21,2000-08-21
Extreme_temperature,Latvia,Northern Europe,Europe,2001-10-30,2001-10-25
Extreme_temperature,Latvia,Northern Europe,Europe,2003-01-20,2003-01-16
Storm,Latvia,Northern Europe,Europe,2005-01-08,2005-01-09
Storm,Latvia,Northern Europe,Europe,2005-01-09,2005-01-09
Extreme_temperature,Latvia,Northern Europe,Europe,2006-01-20,2006-01-16
Extreme_temperature,Latvia,Northern Europe,Europe,2012-02-20,2012-02-10
Wildfire,Latvia,Northern Europe,Europe,2018-07-18,2018-07-22
Extreme_temperature,Latvia,Northern Europe,Europe,2022-05-30,2022-09-04
Flood,Latvia,Northern Europe,Europe,2023-03-30,2023-04-02
Extreme_temperature,Latvia,Northern Europe,Europe,2023-07-23,2023-08-25
