Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Lebanon,Western Asia,Asia,2002-12-20,2002-12-20
Flood,Lebanon,Western Asia,Asia,2003-02-17,2003-03-16
Wildfire,Lebanon,Western Asia,Asia,2007-10-01,2007-10-04
Storm,Lebanon,Western Asia,Asia,2015-01-06,2015-01-10
Storm,Lebanon,Western Asia,Asia,2015-02-10,2015-02-17
Storm,Lebanon,Western Asia,Asia,2015-09-08,2015-09-08
Storm,Lebanon,Western Asia,Asia,2018-01-19,2018-01-20
Storm,Lebanon,Western Asia,Asia,2019-01-11,2019-01-17
Wildfire,Lebanon,Western Asia,Asia,2020-10-08,2020-10-10
Epidemic,Lebanon,Western Asia,Asia,2022-10-11,2022-10-25
Extreme_temperature,Lebanon,Western Asia,Asia,2023-01-24,2023-02-28
Extreme_temperature,Lebanon,Western Asia,Asia,2024-01-24,2024-01-29
