Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Lesotho,Sub-Saharan Africa,Africa,2000-01-07,2000-01-07
Storm,Lesotho,Sub-Saharan Africa,Africa,2001-12-19,2001-12-19
Storm,Lesotho,Sub-Saharan Africa,Africa,2001-12-15,2001-12-21
Drought,Lesotho,Sub-Saharan Africa,Africa,2002-04-01,2003-09-26
Drought,Lesotho,Sub-Saharan Africa,Africa,2007-07-01,2008-07-31
Storm,Lesotho,Sub-Saharan Africa,Africa,2008-01-18,2008-01-16
Flood,Lesotho,Sub-Saharan Africa,Africa,2011-02-01,2011-02-16
Flood,Lesotho,Sub-Saharan Africa,Africa,2011-03-14,2011-03-20
Drought,Lesotho,Sub-Saharan Africa,Africa,2011-12-01,2012-10-31
Storm,Lesotho,Sub-Saharan Africa,Africa,2014-10-11,2014-10-11
Drought,Lesotho,Sub-Saharan Africa,Africa,2016-02-01,2017-01-30
Drought,Lesotho,Sub-Saharan Africa,Africa,2019-05-01,2019-12-23
Drought,Lesotho,Sub-Saharan Africa,Africa,2020-09-01,2022-12-31
Storm,Lesotho,Sub-Saharan Africa,Africa,2021-08-27,2021-08-31
Storm,Lesotho,Sub-Saharan Africa,Africa,2023-12-22,2023-12-28
Drought,Lesotho,Sub-Saharan Africa,Africa,2023-12-01,2024-07-31
