Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Liberia,Sub-Saharan Africa,Africa,2000-05-10,2000-05-15
Epidemic,Liberia,Sub-Saharan Africa,Africa,2000-06-10,2000-06-16
Epidemic,Liberia,Sub-Saharan Africa,Africa,2002-07-01,2002-09-01
Epidemic,Liberia,Sub-Saharan Africa,Africa,2003-06-25,2003-09-28
Epidemic,Liberia,Sub-Saharan Africa,Africa,2003-08-11,2003-08-15
Epidemic,Liberia,Sub-Saharan Africa,Africa,2005-08-02,2005-08-13
Storm,Liberia,Sub-Saharan Africa,Africa,2007-03-21,2007-03-21
Flood,Liberia,Sub-Saharan Africa,Africa,2007-08-26,2007-08-30
Flood,Liberia,Sub-Saharan Africa,Africa,2008-07-14,2008-07-17
Infestation,Liberia,Sub-Saharan Africa,Africa,2009-01-15,2009-06-30
Flood,Liberia,Sub-Saharan Africa,Africa,2009-07-14,2009-07-17
Flood,Liberia,Sub-Saharan Africa,Africa,2010-06-25,2010-06-27
Epidemic,Liberia,Sub-Saharan Africa,Africa,2014-03-21,2016-01-14
Flood,Liberia,Sub-Saharan Africa,Africa,2016-06-29,2016-07-12
Epidemic,Liberia,Sub-Saharan Africa,Africa,2022-04-21,2022-07-20
Flood,Liberia,Sub-Saharan Africa,Africa,2024-06-28,2024-07-09
