Disaster_Type,Country,Subregion,Region,Start Date,End Date
Extreme_temperature,Lithuania,Northern Europe,Europe,2001-12-29,2001-12-31
Storm,Lithuania,Northern Europe,Europe,2005-01-08,2005-01-09
Flood,Lithuania,Northern Europe,Europe,2005-08-08,2005-08-10
Drought,Lithuania,Northern Europe,Europe,2006-08-01,2006-07-31
Flood,Lithuania,Northern Europe,Europe,2010-08-08,2010-08-08
Extreme_temperature,Lithuania,Northern Europe,Europe,2010-11-27,2010-12-01
Extreme_temperature,Lithuania,Northern Europe,Europe,2012-01-20,2012-02-16
Extreme_temperature,Lithuania,Northern Europe,Europe,2012-12-07,2012-12-31
Extreme_temperature,Lithuania,Northern Europe,Europe,2018-02-23,2018-02-28
Drought,Lithuania,Northern Europe,Europe,2018-05-01,2018-06-23
Extreme_temperature,Lithuania,Northern Europe,Europe,2022-05-30,2022-09-04
Extreme_temperature,Lithuania,Northern Europe,Europe,2023-07-23,2023-08-25
